corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,11g5q.0,1534,1575,_Stage,_Stage,Direktor,NN,direktor,36111,,(0)
qd,11g5q.0,1534,1575,_Stage,_Stage,.,$.,--,36111,,
qd,11g5q.0,1534,1575,_Stage,_Stage,Theaterdichter,NN,theaterdichter,36111,,
qd,11g5q.0,1534,1575,_Stage,_Stage,.,$.,--,36111,,
qd,11g5q.0,1534,1575,_Stage,_Stage,Lustige,ADJA,lustige,36111,,(2
qd,11g5q.0,1534,1575,_Stage,_Stage,Person,NN,person,36111,,2)
qd,11g5q.0,1534,1575,_Stage,_Stage,.,$.,--,36111,,
qd,11g5q.0,10303,10341,_Stage,_Stage,Der,ART,der,36111,,(7
qd,11g5q.0,10303,10341,_Stage,_Stage,Herr,NN,herr,36111,,7)
qd,11g5q.0,10303,10341,_Stage,_Stage,.,$.,--,36111,,
qd,11g5q.0,10303,10341,_Stage,_Stage,Die,ART,der,36111,,
qd,11g5q.0,10303,10341,_Stage,_Stage,himmlischen,ADJA,himmlisch,36111,,
qd,11g5q.0,10303,10341,_Stage,_Stage,Heerscharen,NN,heerscharen,36111,,
qd,11g5q.0,10303,10341,_Stage,_Stage,.,$.,--,36111,,
qd,11g5q.0,10344,10367,_Stage,_Stage,Nachher,ADV,nachher,36111,,
qd,11g5q.0,10344,10367,_Stage,_Stage,Mephistopheles,NE,mephistopheles,36111,,(6)
qd,11g5q.0,10344,10367,_Stage,_Stage,.,$.,--,36111,,
qd,11g5q.0,10370,10399,_Stage,_Stage,Die,ART,der,36111,,
qd,11g5q.0,10370,10399,_Stage,_Stage,drei,CARD,drei,36111,,
qd,11g5q.0,10370,10399,_Stage,_Stage,Erzengel,NN,erzengel,36111,,
qd,11g5q.0,10370,10399,_Stage,_Stage,treten,VVFIN,treten,36111,,
qd,11g5q.0,10370,10399,_Stage,_Stage,vor,PTKVZ,vor,36111,,
qd,11g5q.0,10370,10399,_Stage,_Stage,.,$.,--,36111,,
qd,11g5q.0,14990,15039,Der Herr,der_herr,Der,ART,der,36111,,
qd,11g5q.0,14990,15039,Der Herr,der_herr,Himmel,NN,himmel,36111,,
qd,11g5q.0,14990,15039,Der Herr,der_herr,schließt,VVFIN,schließen,36111,,
qd,11g5q.0,14990,15039,Der Herr,der_herr,",","$,",--,36111,,
qd,11g5q.0,14990,15039,Der Herr,der_herr,die,ART,der,36111,,
qd,11g5q.0,14990,15039,Der Herr,der_herr,Erzengel,NN,erzengel,36111,,
qd,11g5q.0,14990,15039,Der Herr,der_herr,verteilen,VVFIN,verteilen,36111,,
qd,11g5q.0,14990,15039,Der Herr,der_herr,sich,PRF,sich,36111,,
qd,11g5q.0,14990,15039,Der Herr,der_herr,.,$.,--,36111,,
qd,11g5q.0,15060,15067,Mephistopheles,mephistopheles,allein,ADV,allein,36111,,
qd,11g5q.0,15060,15067,Mephistopheles,mephistopheles,.,$.,--,36111,,
qd,11g5q.0,15258,15305,_Stage,_Stage,In,APPR,in,36111,,
qd,11g5q.0,15258,15305,_Stage,_Stage,einem,ART,ein,36111,,
qd,11g5q.0,15258,15305,_Stage,_Stage,hochgewölbten,ADJA,hochgewölbt,36111,,
qd,11g5q.0,15258,15305,_Stage,_Stage,",","$,",--,36111,,
qd,11g5q.0,15258,15305,_Stage,_Stage,engen,ADJA,engen,36111,,
qd,11g5q.0,15258,15305,_Stage,_Stage,gotischen,ADJA,gotisch,36111,,
qd,11g5q.0,15258,15305,_Stage,_Stage,Zimmer,NN,zimmer,36111,,
qd,11g5q.0,15258,15305,_Stage,_Stage,.,$.,--,36111,,
qd,11g5q.0,15308,15349,_Stage,_Stage,Faust,NN,faust,36111,,(8)
qd,11g5q.0,15308,15349,_Stage,_Stage,unruhig,ADJD,unruhig,36111,,
qd,11g5q.0,15308,15349,_Stage,_Stage,auf,APPR,auf,36111,,
qd,11g5q.0,15308,15349,_Stage,_Stage,seinem,PPOSAT,sein,36111,,
qd,11g5q.0,15308,15349,_Stage,_Stage,Sessel,NN,sessel,36111,,
qd,11g5q.0,15308,15349,_Stage,_Stage,am,APPRART,an,36111,,
qd,11g5q.0,15308,15349,_Stage,_Stage,Pulte,NN,pulte,36111,,
qd,11g5q.0,15308,15349,_Stage,_Stage,.,$.,--,36111,,
qd,11g5q.0,18076,18141,Faust,faust,Er,PPER,er,36111,,
qd,11g5q.0,18076,18141,Faust,faust,schlägt,VVFIN,schlagen,36111,,
qd,11g5q.0,18076,18141,Faust,faust,das,ART,der,36111,,
qd,11g5q.0,18076,18141,Faust,faust,Buch,NN,buch,36111,,
qd,11g5q.0,18076,18141,Faust,faust,auf,PTKVZ,auf,36111,,
qd,11g5q.0,18076,18141,Faust,faust,und,KON,und,36111,,
qd,11g5q.0,18076,18141,Faust,faust,erblickt,VVFIN,erblicken,36111,,
qd,11g5q.0,18076,18141,Faust,faust,das,ART,der,36111,,
qd,11g5q.0,18076,18141,Faust,faust,Zeichen,NN,zeichen,36111,,
qd,11g5q.0,18076,18141,Faust,faust,des,ART,der,36111,,
qd,11g5q.0,18076,18141,Faust,faust,Makrokosmus,NN,makrokosmus,36111,,
qd,11g5q.0,18076,18141,Faust,faust,.,$.,--,36111,,
qd,11g5q.0,18823,18847,Faust,faust,Er,PPER,er,36111,,
qd,11g5q.0,18823,18847,Faust,faust,beschaut,VVFIN,beschauen,36111,,
qd,11g5q.0,18823,18847,Faust,faust,das,ART,der,36111,,
qd,11g5q.0,18823,18847,Faust,faust,Zeichen,NN,zeichen,36111,,
qd,11g5q.0,18823,18847,Faust,faust,.,$.,--,36111,,
qd,11g5q.0,19365,19437,Faust,faust,Er,PPER,er,36111,,
qd,11g5q.0,19365,19437,Faust,faust,schlägt,VVFIN,schlagen,36111,,
qd,11g5q.0,19365,19437,Faust,faust,unwillig,ADJD,unwillig,36111,,
qd,11g5q.0,19365,19437,Faust,faust,das,ART,der,36111,,
qd,11g5q.0,19365,19437,Faust,faust,Buch,NN,buch,36111,,
qd,11g5q.0,19365,19437,Faust,faust,um,PTKVZ,um,36111,,
qd,11g5q.0,19365,19437,Faust,faust,und,KON,und,36111,,
qd,11g5q.0,19365,19437,Faust,faust,erblickt,VVFIN,erblicken,36111,,
qd,11g5q.0,19365,19437,Faust,faust,das,ART,der,36111,,
qd,11g5q.0,19365,19437,Faust,faust,Zeichen,NN,zeichen,36111,,
qd,11g5q.0,19365,19437,Faust,faust,des,ART,der,36111,,
qd,11g5q.0,19365,19437,Faust,faust,Erdgeistes,NN,erdgeist,36111,,
qd,11g5q.0,19365,19437,Faust,faust,.,$.,--,36111,,
qd,11g5q.0,20205,20342,Faust,faust,Er,PPER,er,36111,,
qd,11g5q.0,20205,20342,Faust,faust,faßt,VVFIN,fassen,36111,,
qd,11g5q.0,20205,20342,Faust,faust,das,ART,der,36111,,
qd,11g5q.0,20205,20342,Faust,faust,Buch,NN,buch,36111,,
qd,11g5q.0,20205,20342,Faust,faust,und,KON,und,36111,,
qd,11g5q.0,20205,20342,Faust,faust,spricht,VVFIN,sprechen,36111,,
qd,11g5q.0,20205,20342,Faust,faust,das,ART,der,36111,,
qd,11g5q.0,20205,20342,Faust,faust,Zeichen,NN,zeichen,36111,,
qd,11g5q.0,20205,20342,Faust,faust,des,ART,der,36111,,
qd,11g5q.0,20205,20342,Faust,faust,Geistes,NN,geist,36111,,
qd,11g5q.0,20205,20342,Faust,faust,geheimnisvoll,ADJD,geheimnisvoll,36111,,
qd,11g5q.0,20205,20342,Faust,faust,aus,PTKVZ,aus,36111,,
qd,11g5q.0,20205,20342,Faust,faust,.,$.,--,36111,,
qd,11g5q.0,20205,20342,Faust,faust,Es,PPER,es,36111,,
qd,11g5q.0,20205,20342,Faust,faust,zuckt,VVFIN,zucken,36111,,
qd,11g5q.0,20205,20342,Faust,faust,eine,ART,ein,36111,,
qd,11g5q.0,20205,20342,Faust,faust,rötliche,ADJA,rötlich,36111,,
qd,11g5q.0,20205,20342,Faust,faust,Flamme,NN,flamme,36111,,
qd,11g5q.0,20205,20342,Faust,faust,",","$,",--,36111,,
qd,11g5q.0,20205,20342,Faust,faust,der,ART,der,36111,,
qd,11g5q.0,20205,20342,Faust,faust,Geist,NN,geist,36111,,(9)
qd,11g5q.0,20205,20342,Faust,faust,erscheint,VVFIN,erscheinen,36111,,
qd,11g5q.0,20205,20342,Faust,faust,in,APPR,in,36111,,
qd,11g5q.0,20205,20342,Faust,faust,der,ART,der,36111,,
qd,11g5q.0,20205,20342,Faust,faust,Flamme,NN,flamme,36111,,
qd,11g5q.0,20205,20342,Faust,faust,.,$.,--,36111,,
qd,11g5q.0,20379,20390,Faust,faust,abgewendet,VVPP,abwenden,36111,,
qd,11g5q.0,20379,20390,Faust,faust,.,$.,--,36111,,
qd,11g5q.0,21621,21634,Geist,geist,Verschwindet,VVPP,verschwinden,36111,,
qd,11g5q.0,21621,21634,Geist,geist,.,$.,--,36111,,
qd,11g5q.0,21646,21663,Faust,faust,zusammenstürzend,ADJD,zusammenstürzend,36111,,
qd,11g5q.0,21646,21663,Faust,faust,.,$.,--,36111,,
qd,11g5q.0,21903,21996,Faust,faust,Wagner,NE,wagner,36111,,(10)
qd,11g5q.0,21903,21996,Faust,faust,im,APPRART,in,36111,,
qd,11g5q.0,21903,21996,Faust,faust,Schlafrocke,NN,schlafrock,36111,,
qd,11g5q.0,21903,21996,Faust,faust,und,KON,und,36111,,
qd,11g5q.0,21903,21996,Faust,faust,der,ART,der,36111,,
qd,11g5q.0,21903,21996,Faust,faust,Nachtmütze,NN,nachtmütze,36111,,
qd,11g5q.0,21903,21996,Faust,faust,",","$,",--,36111,,
qd,11g5q.0,21903,21996,Faust,faust,eine,ART,ein,36111,,
qd,11g5q.0,21903,21996,Faust,faust,Lampe,NN,lampe,36111,,
qd,11g5q.0,21903,21996,Faust,faust,in,APPR,in,36111,,
qd,11g5q.0,21903,21996,Faust,faust,der,ART,der,36111,,
qd,11g5q.0,21903,21996,Faust,faust,Hand,NN,hand,36111,,
qd,11g5q.0,21903,21996,Faust,faust,.,$.,--,36111,,
qd,11g5q.0,21903,21996,Faust,faust,Faust,NN,faust,36111,,(8)
qd,11g5q.0,21903,21996,Faust,faust,wendet,VVFIN,wenden,36111,,
qd,11g5q.0,21903,21996,Faust,faust,sich,PRF,sich,36111,,
qd,11g5q.0,21903,21996,Faust,faust,unwillig,ADJD,unwillig,36111,,
qd,11g5q.0,21903,21996,Faust,faust,.,$.,--,36111,,
qd,11g5q.0,25407,25410,Wagner,wagner,Ab,APPR,ab,36111,,
qd,11g5q.0,25407,25410,Wagner,wagner,.,$.,--,36111,,
qd,11g5q.0,25422,25429,Faust,faust,allein,ADV,allein,36111,,
qd,11g5q.0,25422,25429,Faust,faust,.,$.,--,36111,,
qd,11g5q.0,31235,31296,Faust,faust,Er,PPER,er,36111,,
qd,11g5q.0,31235,31296,Faust,faust,setzt,VVFIN,setzen,36111,,
qd,11g5q.0,31235,31296,Faust,faust,die,ART,der,36111,,
qd,11g5q.0,31235,31296,Faust,faust,Schale,NN,schale,36111,,
qd,11g5q.0,31235,31296,Faust,faust,an,APPR,an,36111,,
qd,11g5q.0,31235,31296,Faust,faust,den,ART,der,36111,,
qd,11g5q.0,31235,31296,Faust,faust,Mund,NN,mund,36111,,
qd,11g5q.0,31235,31296,Faust,faust,.,$.,--,36111,,
qd,11g5q.0,31235,31296,Faust,faust,Glockenklang,NN,glockenklang,36111,,
qd,11g5q.0,31235,31296,Faust,faust,und,KON,und,36111,,
qd,11g5q.0,31235,31296,Faust,faust,Chorgesang,NN,chorgesang,36111,,
qd,11g5q.0,31235,31296,Faust,faust,.,$.,--,36111,,
qd,11g5q.0,33611,33649,_Stage,_Stage,Spaziergänger,NN,spaziergänger,36111,,
qd,11g5q.0,33611,33649,_Stage,_Stage,aller,PIDAT,aller,36111,,
qd,11g5q.0,33611,33649,_Stage,_Stage,Art,NN,Art,36111,,
qd,11g5q.0,33611,33649,_Stage,_Stage,ziehen,VVINF,ziehen,36111,,
qd,11g5q.0,33611,33649,_Stage,_Stage,hinaus,PTKVZ,hinaus,36111,,
qd,11g5q.0,33611,33649,_Stage,_Stage,.,$.,--,36111,,
qd,11g5q.0,35007,35018,Zweiter Schüler,zweiter_schueler,zum,APPRART,zu,36111,,
qd,11g5q.0,35007,35018,Zweiter Schüler,zweiter_schueler,ersten,ADJA,erster,36111,,
qd,11g5q.0,35007,35018,Zweiter Schüler,zweiter_schueler,.,$.,--,36111,,
qd,11g5q.0,35703,35709,Bettler,bettler,singt,VVFIN,singen,36111,,
qd,11g5q.0,35703,35709,Bettler,bettler,.,$.,--,36111,,
