corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Ihr,PPER,ihr,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,denkt,VVFIN,denken,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,",","$,",--,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,ihr,PPOSAT,ihr,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Herrn,NN,herr,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,",","$,",--,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,ich,PPER,ich,3549,,(0)
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,bin,VAFIN,sein,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,allein,ADV,allein,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,",","$,",--,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Weil,KOUS,weil,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,ich,PPER,ich,3549,,(0)
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,nicht,PTKNEG,nicht,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,mag,VMFIN,mögen,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,in,APPR,in,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Städten,NN,stadt,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,sein,VAINF,sein,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,.,$.,--,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Ihr,PPOSAT,ihr,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,irrt,ADJD,irren,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,euch,PRF,euch,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,",","$,",--,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,liebe,VVFIN,lieb,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Herren,NN,herr,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,mein,PPOSAT,mein,3549,,(0)
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,"!",$.,--,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Ich,PPER,ich,3549,,(0)
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,hab,VAFIN,hab,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,mich,PPER,mich,3549,,(0)
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,nicht,PTKNEG,nicht,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,hierher,PROAV,hierher,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,begeben,VVFIN,begeben,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,",","$,",--,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Weil,KOUS,weil,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,sie,PPER,sie,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,in,APPR,in,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Städten,NN,stadt,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,so,ADV,so,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,ruchlos,ADJD,ruchlos,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,leben,VVFIN,leben,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Und,KON,und,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,alle,PIDAT,aller,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,wandeln,NN,wandeln,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,nach,APPR,nach,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,ihrem,PPOSAT,ihr,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Trieb,NE,trieb,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,",","$,",--,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Der,ART,der,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Schmeichler,NN,schmeichler,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,",","$,",--,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Heuchler,NN,heuchler,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,und,KON,und,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,der,ART,der,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Dieb,NN,dieb,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,:,$.,--,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Das,PDS,der,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,hätt,VVFIN,hätt,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,mich,PPER,mich,3549,,(0)
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,immerfort,ADJD,immerfort,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,ergetzt,VVFIN,ergetzen,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,",","$,",--,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Wollten,VMFIN,wollen,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,sie,PPER,sie,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,nur,ADV,nur,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,nicht,PTKNEG,nicht,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,sein,PPOSAT,sein,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,hochgeschätzt,NN,hochschätzen,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,;,$.,--,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Bestehlen,NN,bestehlen,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,und,KON,und,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,bescheißen,VVFIN,bescheißen,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,mich,PPER,mich,3549,,(0)
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,",","$,",--,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,wie,PWAV,wie,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,die,ART,der,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Raben,NN,rabe,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,",","$,",--,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Und,KON,und,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,noch,ADV,noch,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,dazu,PROAV,dazu,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Reverenzen,NN,reverenze,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,haben,VAFIN,haben,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,"!",$.,--,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Ihrer,PPOSAT,ihr,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,langweiligen,ADJA,langweilig,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,Narrheit,NN,narrheit,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,satt,ADJD,satt,3549,,
qd,11gn9.0,111,2244,EINSIEDLER,einsiedler,",","$,",--,3549,,
