corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Was,PWS,was,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,sträubst,VVFIN,sträuben,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,du,PPER,du,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,dich,PRF,dich,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,noch,ADV,noch,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,länger,ADJD,lang,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,?,$.,--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Ists,ADV,ist,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,nicht,PTKNEG,nicht,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,wahr,ADJD,wahr,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,",","$,",--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,daß,KOUS,daß,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,du,PPER,du,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Die,ART,der,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Zähne,NN,zahn,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,schon,ADV,schon,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,verlierst,VVPP,verliersen,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,?,$.,--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Daß,KOUS,daß,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,du,PPER,du,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,aus,APPR,aus,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Leder,NN,leder,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,nur,ADV,nur,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Und,KON,und,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Knochen,NN,knochen,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,noch,ADV,noch,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,bestehst,VVFIN,bestehst,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,",","$,",--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,und,KON,und,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,drei,CARD,drei,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Pfund,NN,pfund,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,schwerer,ADJA,schwer,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,wiegst,NN,wiegst,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,",","$,",--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Weil,KOUS,weil,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,du,PPER,du,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,die,ART,der,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Blase,NN,blase,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,voller,ADJA,voll,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Steine,NN,stein,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,hast,VAFIN,haben,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,?,$.,--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Fehlts,NE,fehlt,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,an,APPR,an,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Beweisen,NN,beweis,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,für,APPR,für,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,dein,PPOSAT,dein,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Greisentum,NN,greisentum,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,?,$.,--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,',$[,--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,s,PPER,--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,gab,VVFIN,geben,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,eine,ART,ein,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Zeit,NN,zeit,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,",","$,",--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Da,KOUS,da,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,du,PPER,du,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,noch,ADV,noch,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Bergeshäupter,NN,bergeshäupter,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,untern,VVFIN,untern,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Hammer,NE,hammer,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,nahmst,ADV,nahmsen,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Und,KON,und,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,dich,PRF,dich,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,bezähmen,VVFIN,bezähmen,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,mußtest,ADV,mußtest,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,",","$,",--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,auf,APPR,auf,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,der,ART,der,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Straße,NN,straße,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,nicht,PTKNEG,nicht,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,",","$,",--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Wenn,KOUS,wenn,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,dir,PPER,dir,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,ein,ART,ein,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,mißgestaltet,ADJA,mißgestalten,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Leib,NN,leib,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,begegnete,VVFIN,begegnen,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,",","$,",--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,An,APPR,an,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,ihm,PPER,ihm,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,dein,PPOSAT,dein,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Handwerkszeug,NN,handwerkszeug,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,zu,PTKZU,zu,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,prüfen,VVINF,prüfen,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,.,$.,--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,All,NE,all,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,das,PDS,der,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,ist,VAFIN,sein,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Vorbei,ADV,vorbei,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,.,$.,--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Jetzt,ADV,jetzt,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,bist,VAFIN,sein,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,du,PPER,du,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,nichts,PIS,nichts,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,mehr,ADV,mehr,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,als,KOKOM,als,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,ein,ART,ein,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Wiederkäuer,NN,wiederkäuer,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Des,ART,der,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,eignen,ADJA,eignen,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Selbst,ADV,selbst,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,und,KON,und,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,der,ART,der,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Vergangenheit,NN,vergangenheit,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,.,$.,--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Da,ADV,da,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,ist,VAFIN,sein,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Er,PPER,er,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,wieder,ADV,wieder,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,",","$,",--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Torrigiano,NN,torrigiano,11521,TORRIGIANO,torrigiano
qd,12675.0,342,1958,MICHELANGELO,michelangelo,"!",$.,--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,»,XY,»,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Torrigiano,NN,torrigiano,11521,TORRIGIANO,torrigiano
qd,12675.0,342,1958,MICHELANGELO,michelangelo,",","$,",--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,laß,ADJD,lassen,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Mich,PPER,mich,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,los,PTKVZ,los,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,"!",$.,--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Du,PPER,du,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,würgst,VVFIN,würgen,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,mich,PPER,mich,11521,MICHELANGELO,michelangelo
qd,12675.0,342,1958,MICHELANGELO,michelangelo,",","$,",--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Torrigiano,NN,torrigiano,11521,TORRIGIANO,torrigiano
qd,12675.0,342,1958,MICHELANGELO,michelangelo,",","$,",--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,«,XY,«,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,schreie,VVFIN,schreien,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,ich,PPER,ich,11521,MICHELANGELO,michelangelo
qd,12675.0,342,1958,MICHELANGELO,michelangelo,.,$.,--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Was,PWS,was,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,schreckt,VVFIN,schrecken,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,mich,PPER,mich,11521,MICHELANGELO,michelangelo
qd,12675.0,342,1958,MICHELANGELO,michelangelo,dieser,PDAT,dieser,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Name,NN,name,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,immer,ADV,immer,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,wieder,ADV,wieder,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,auf,PTKVZ,auf,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,?,$.,--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Ein,ART,ein,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Klümpchen,NN,klümpchen,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Watte,VVFIN,watte,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,",","$,",--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,fest,PTKVZ,fest,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,ins,APPRART,in,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Ohr,NN,ohr,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,gepfropft,VVPP,pfropfen,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,",","$,",--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,hätt,VVFIN,hätt,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,einst,ADV,einst,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Genügt,VVPP,genügt,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,",","$,",--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,derartiges,ADJA,derartig,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Gespenst,NN,gespenst,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,zu,PTKZU,zu,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,scheuchen,VVINF,scheuchen,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,.,$.,--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Jetzt,ADV,jetzt,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Hat,VAFIN,haben,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Freund,NN,freund,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Cellini,NE,cellini,11521,CELLINI,cellini
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Grund,NN,grund,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,",","$,",--,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,voll,ADJD,voll,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,steter,ADJA,stet,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Eifersucht,NN,eifersucht,11521,,
qd,12675.0,342,1958,MICHELANGELO,michelangelo,Sein,PPOSAT,sein,11521,,
