corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,233,167,298,_Stage,_Stage,Dachzimmer,NN,dachzimmer,88,,
qd,233,167,298,_Stage,_Stage,;,$.,--,88,,
qd,233,167,298,_Stage,_Stage,links,ADV,links,88,,
qd,233,167,298,_Stage,_Stage,das,ART,der,88,,
qd,233,167,298,_Stage,_Stage,Fenster,NN,fenster,88,,
qd,233,167,298,_Stage,_Stage,",","$,",--,88,,
qd,233,167,298,_Stage,_Stage,rechts,ADV,rechts,88,,
qd,233,167,298,_Stage,_Stage,die,ART,der,88,,
qd,233,167,298,_Stage,_Stage,Tür,NN,tür,88,,
qd,233,167,298,_Stage,_Stage,.,$.,--,88,,
qd,233,167,298,_Stage,_Stage,Die,ART,der,88,,
qd,233,167,298,_Stage,_Stage,hintere,ADJA,hint,88,,
qd,233,167,298,_Stage,_Stage,Wand,NN,wand,88,,
qd,233,167,298,_Stage,_Stage,schrägt,VVFIN,schrägen,88,,
qd,233,167,298,_Stage,_Stage,in,APPR,in,88,,
qd,233,167,298,_Stage,_Stage,halber,ADJA,halb,88,,
qd,233,167,298,_Stage,_Stage,Höhe,NN,höhe,88,,
qd,233,167,298,_Stage,_Stage,zur,APPRART,zu,88,,
qd,233,167,298,_Stage,_Stage,Decke,NN,decke,88,,
qd,233,167,298,_Stage,_Stage,.,$.,--,88,,
qd,233,167,298,_Stage,_Stage,Die,ART,der,88,,
qd,233,167,298,_Stage,_Stage,Tapete,NN,tapete,88,,
qd,233,167,298,_Stage,_Stage,hängt,VVFIN,hängen,88,,
qd,233,167,298,_Stage,_Stage,in,APPR,in,88,,
qd,233,167,298,_Stage,_Stage,Fetzen,NN,fetzen,88,,
qd,233,167,298,_Stage,_Stage,herab,ADV,herab,88,,
qd,233,167,298,_Stage,_Stage,.,$.,--,88,,
qd,233,301,624,_Stage,_Stage,An,APPR,an,88,,
