corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,jkjf.0,15131,15234,DIETRICH,dietrich,Neun,CARD,neun,31436,,
qd,jkjf.0,15131,15234,DIETRICH,dietrich,"!",$.,--,31436,,
qd,jkjf.0,15239,15266,HELLDRUNGEN,helldrungen,Zehn,CARD,zehn,31436,,
qd,jkjf.0,15239,15266,HELLDRUNGEN,helldrungen,"!",$.,--,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,Helldrungen,NN,helldrung,31436,,(1)
qd,jkjf.0,15271,15442,DIETRICH,dietrich,",","$,",--,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,ihr,PPOSAT,ihr,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,haltet's,NN,haltet's,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,mit,APPR,mit,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,dem,ART,der,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,Teufel,NN,teufel,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,"!",$.,--,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,Und,KON,und,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,wenn,KOUS,wenn,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,ich,PPER,ich,31436,,(0)
qd,jkjf.0,15271,15442,DIETRICH,dietrich,den,ART,der,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,letzten,ADJA,letzter,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,Stein,NN,stein,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,von,APPR,von,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,meiner,PPOSAT,mein,31436,,(0)
qd,jkjf.0,15271,15442,DIETRICH,dietrich,Burg,NN,burg,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,verlieren,VVINF,verlieren,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,soll,VMFIN,sollen,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,–,XY,–,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,hundert,CARD,hundert,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,Gulden,NN,gulden,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,gegen,APPR,gegen,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,die,ART,der,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,Rosse,NN,rosse,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,und,KON,und,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,deinen,PPOSAT,dein,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,Fichtenwald,NN,fichtenwald,31436,,
qd,jkjf.0,15271,15442,DIETRICH,dietrich,"!",$.,--,31436,,
qd,jkjf.0,15447,15488,ERICH,erich,Schwäher,NE,schwäher,31436,,
qd,jkjf.0,15447,15488,ERICH,erich,",","$,",--,31436,,
qd,jkjf.0,15447,15488,ERICH,erich,euer,ADJA,euer,31436,,
qd,jkjf.0,15447,15488,ERICH,erich,Geld,NN,geld,31436,,
qd,jkjf.0,15447,15488,ERICH,erich,ist,VAFIN,sein,31436,,
qd,jkjf.0,15447,15488,ERICH,erich,zu,APPR,zu,31436,,
qd,jkjf.0,15447,15488,ERICH,erich,Rande,NN,rand,31436,,
qd,jkjf.0,15447,15488,ERICH,erich,.,$.,--,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,Was,PWS,was,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,",","$,",--,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,der,ART,der,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,Jude,NN,jude,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,muß,VMFIN,müssen,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,borgen,VVINF,borgen,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,",","$,",--,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,der,ART,der,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,Bauer,NN,bauer,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,muß,VMFIN,müssen,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,zahlen,VVINF,zahlen,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,",","$,",--,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,sonst,ADV,sonst,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,geht's,VVFIN,geht,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,ihnen,PPER,ihnen,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,an,APPR,an,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,den,ART,der,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,Kragen,NN,kragen,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,.,$.,--,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,Los,PTKVZ,los,31436,,
qd,jkjf.0,15494,15600,DIETRICH,dietrich,"!",$.,--,31436,,
qd,jkjf.0,15605,15628,HELLDRUNGEN,helldrungen,Achtzehn,NE,achtzehn,31436,,
qd,jkjf.0,15605,15628,HELLDRUNGEN,helldrungen,"!",$.,--,31436,,
qd,jkjf.0,15633,15835,DIETRICH,dietrich,Das,ART,der,31436,,
qd,jkjf.0,15633,15835,DIETRICH,dietrich,Rabenaas,NN,rabenaas,31436,,
qd,jkjf.0,15633,15835,DIETRICH,dietrich,mit,APPR,mit,31436,,
qd,jkjf.0,15633,15835,DIETRICH,dietrich,seinen,PPOSAT,sein,31436,,
qd,jkjf.0,15633,15835,DIETRICH,dietrich,grünen,ADJA,grün,31436,,
qd,jkjf.0,15633,15835,DIETRICH,dietrich,Augen,NN,auge,31436,,
qd,jkjf.0,15633,15835,DIETRICH,dietrich,bringt,VVFIN,bringen,31436,,
qd,jkjf.0,15633,15835,DIETRICH,dietrich,mir,PPER,sich,31436,,(0)
qd,jkjf.0,15633,15835,DIETRICH,dietrich,Pech,NN,pech,31436,,
qd,jkjf.0,15633,15835,DIETRICH,dietrich,"!",$.,--,31436,,
qd,jkjf.0,15633,15835,DIETRICH,dietrich,Hebe,NE,hebe,31436,,
qd,jkjf.0,15633,15835,DIETRICH,dietrich,dich,PRF,dich,31436,,
qd,jkjf.0,15633,15835,DIETRICH,dietrich,weg,PTKVZ,weg,31436,,
qd,jkjf.0,15633,15835,DIETRICH,dietrich,",","$,",--,31436,,
qd,jkjf.0,15633,15835,DIETRICH,dietrich,Satansbrut,NN,satansbrut,31436,,
qd,jkjf.0,15633,15835,DIETRICH,dietrich,"!",$.,--,31436,,
qd,jkjf.0,15898,15966,GRÄFIN,gräfin,Ihr,PPOSAT,ihr,31436,,
qd,jkjf.0,15898,15966,GRÄFIN,gräfin,seid,ADJD,sein,31436,,
qd,jkjf.0,15898,15966,GRÄFIN,gräfin,doch,ADV,doch,31436,,
qd,jkjf.0,15898,15966,GRÄFIN,gräfin,auf,APPR,auf,31436,,
qd,jkjf.0,15898,15966,GRÄFIN,gräfin,den,ART,der,31436,,
qd,jkjf.0,15898,15966,GRÄFIN,gräfin,Abend,NN,abend,31436,,
qd,jkjf.0,15898,15966,GRÄFIN,gräfin,unser,PPOSAT,unser,31436,,
qd,jkjf.0,15898,15966,GRÄFIN,gräfin,Gast,NN,gast,31436,,
qd,jkjf.0,15898,15966,GRÄFIN,gräfin,",","$,",--,31436,,
qd,jkjf.0,15898,15966,GRÄFIN,gräfin,Ritter,NE,ritter,31436,,
qd,jkjf.0,15898,15966,GRÄFIN,gräfin,Helldrungen,NN,helldrung,31436,,(1)
qd,jkjf.0,15898,15966,GRÄFIN,gräfin,?,$.,--,31436,,
qd,jkjf.0,15971,16035,HELLDRUNGEN,helldrungen,Ich,PPER,ich,31436,,(1)
qd,jkjf.0,15971,16035,HELLDRUNGEN,helldrungen,muß,VMFIN,müssen,31436,,
qd,jkjf.0,15971,16035,HELLDRUNGEN,helldrungen,noch,ADV,noch,31436,,
qd,jkjf.0,15971,16035,HELLDRUNGEN,helldrungen,vor,APPR,vor,31436,,
qd,jkjf.0,15971,16035,HELLDRUNGEN,helldrungen,Sonnenuntergang,NN,sonnenuntergang,31436,,
qd,jkjf.0,15971,16035,HELLDRUNGEN,helldrungen,heim,PTKVZ,heim,31436,,
qd,jkjf.0,15971,16035,HELLDRUNGEN,helldrungen,",","$,",--,31436,,
qd,jkjf.0,15971,16035,HELLDRUNGEN,helldrungen,edle,ADJA,edel,31436,,
qd,jkjf.0,15971,16035,HELLDRUNGEN,helldrungen,Frau,NN,frau,31436,,
qd,jkjf.0,15971,16035,HELLDRUNGEN,helldrungen,–,XY,–,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,Ach,ITJ,ach,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,was,PWS,was,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,"!",$.,--,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,Ihr,PPOSAT,ihr,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,bleibt,VVFIN,bleiben,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,",","$,",--,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,nicht,PTKNEG,nicht,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,gemuckt,VVPP,mucken,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,",","$,",--,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,oder,KON,oder,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,–,XY,–,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,acht,CARD,acht,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,Tage,NN,tag,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,",","$,",--,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,vierzehn,CARD,vierzehn,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,Tage,NN,tag,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,bleibt,VVFIN,bleiben,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,ihr,PPOSAT,ihr,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,hier,ADV,hier,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,",","$,",--,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,ich,PPER,ich,31436,,(0)
qd,jkjf.0,16040,16459,DIETRICH,dietrich,lasse,VVFIN,lassen,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,euch,PRF,euch,31436,,
qd,jkjf.0,16040,16459,DIETRICH,dietrich,nicht,PTKNEG,nicht,31436,,
