corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,k77x.0,941,1625,_Stage,_Stage,Der,ART,der,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Marktplatz,NN,marktplatz,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,.,$.,--,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Auf,APPR,auf,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,der,ART,der,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,einen,ADJA,ein,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Seite,NN,seite,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,stehen,VVFIN,stehen,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,drei,CARD,drei,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,einsame,ADJA,einsam,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Pferdeverleiher,NN,pferdeverleiher,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,in,APPR,in,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,der,ART,der,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Sonne,NN,sonne,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,",","$,",--,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,auf,APPR,auf,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,der,ART,der,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,andern,VVFIN,anderer,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,die,ART,der,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,beiden,PIDAT,beide,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Gevaterbuden,NN,gevaterbude,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,mit,APPR,mit,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Blumen,NN,blume,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,und,KON,und,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Früchten,NN,frücht,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,reichlich,ADV,reichlich,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,angefüllt,VVPP,anfüllen,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,;,$.,--,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,die,ART,der,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Gevatterin,NN,gevatterin,53883,,(1)
qd,k77x.0,941,1625,_Stage,_Stage,zählt,VVFIN,zählen,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Kirschen,NN,kirsche,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,in,APPR,in,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Papiertüten,NN,papiertut,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,.,$.,--,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Pamphilio,NE,pamphilio,53883,,(6)
qd,k77x.0,941,1625,_Stage,_Stage,",","$,",--,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Dienemann,NE,dienemann,53883,,(3)
qd,k77x.0,941,1625,_Stage,_Stage,",","$,",--,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Suppius,NN,suppius,53883,,(2)
qd,k77x.0,941,1625,_Stage,_Stage,",","$,",--,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Mayer,NE,mayer,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,",","$,",--,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Becker,NE,becker,53883,,(9)
qd,k77x.0,941,1625,_Stage,_Stage,",","$,",--,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,ein,ART,ein,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Waisenhäuser,NN,waisenhaus,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,",","$,",--,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,ein,ART,ein,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Kümmeltürke,NN,kümmeltürke,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,",","$,",--,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,ein,ART,ein,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Magister,NN,magister,53883,,(12)
qd,k77x.0,941,1625,_Stage,_Stage,liegen,VVFIN,liegen,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,nachlässig,ADJD,nachlässig,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,auf,APPR,auf,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,dem,ART,der,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Sopha,NN,sopha,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,und,KON,und,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,auf,APPR,auf,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,den,ART,der,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Stühlen,NN,stuhl,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,vor,APPR,vor,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,der,ART,der,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,einen,ART,ein,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Bude,NN,bude,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,umher,PTKVZ,umher,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,und,KON,und,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,essen,VVINF,essen,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,so,ADV,so,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,wenig,PIS,wenig,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,",","$,",--,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,als,KOUS,als,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,sie,PPER,sie,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,sprechen,VVINF,sprechen,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,.,$.,--,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Im,APPRART,in,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Hintergrunde,NN,hintergrunde,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,des,ART,der,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,Theaters,NN,theater,53883,,
qd,k77x.0,941,1625,_Stage,_Stage,erscheint,VVFIN,erscheinen,53883,,
