corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,k93c.0,8000,8111,MARKUS,markus,Bald,ADV,bald,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,",","$,",--,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,Lucius,NE,lucius,17433,LUCIUS,lucius
qd,k93c.0,8000,8111,MARKUS,markus,",","$,",--,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,entweicht,VVFIN,entweichen,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,mir,PPER,sich,17433,MARKUS,markus
qd,k93c.0,8000,8111,MARKUS,markus,die,ART,der,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,Geduld,NN,geduld,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,.,$.,--,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,So,ADV,so,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,lange,ADV,lange,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,weilt,VVFIN,weilen,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,kein,PIAT,kein,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,Flamen,NN,flame,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,in,APPR,in,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,dem,ART,der,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,Tempel,NN,tempel,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,wie,KOKOM,wie,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,dieses,PDAT,dieser,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,Mädchen,NN,mädchen,17433,,
qd,k93c.0,8000,8111,MARKUS,markus,.,$.,--,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,Wahr,NN,wahr,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,"!",$.,--,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,–,XY,–,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,Nun,ADV,nun,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,schließe,VVFIN,schließen,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,",","$,",--,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,Freund,NN,freund,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,",","$,",--,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,von,APPR,von,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,Deiner,PPOSAT,deiner,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,Ungeduld,NN,ungeduld,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,auf,APPR,auf,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,die,ART,der,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,",","$,",--,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,die,PRELS,der,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,jetzt,ADV,jetzt,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,des,ART,der,17433,,
qd,k93c.0,8117,8438,LUCIUS,lucius,Appius,NN,appius,17433,APPIUS,appius
