corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,kd4r.0,708,812,WELTING,welting,Baron,NE,baron,17515,,
qd,kd4r.0,708,812,WELTING,welting,Wildenhain,NE,wildenhain,17515,,
qd,kd4r.0,708,812,WELTING,welting,"!",$.,--,17515,,
qd,kd4r.0,708,812,WELTING,welting,Meine,PPOSAT,mein,17515,welting,(0)
qd,kd4r.0,708,812,WELTING,welting,Gedanken,NN,gedanke,17515,,
qd,kd4r.0,708,812,WELTING,welting,waren,VAFIN,sein,17515,,
qd,kd4r.0,708,812,WELTING,welting,eben,ADV,eben,17515,,
qd,kd4r.0,708,812,WELTING,welting,mit,APPR,mit,17515,,
qd,kd4r.0,708,812,WELTING,welting,Ihnen,PPER,ihnen,17515,,
qd,kd4r.0,708,812,WELTING,welting,beschäftigt,VVPP,beschäftigen,17515,,
qd,kd4r.0,708,812,WELTING,welting,.,$.,--,17515,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,Ich,PPER,ich,17515,wildenhain,(1)
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,bin,VAFIN,sein,17515,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,ein,ART,ein,17515,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,schlechtes,ADJA,schlecht,17515,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,Geschäft,NN,geschäft,17515,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,für,APPR,für,17515,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,Sie,PPER,sie,17515,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,",","$,",--,17515,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,Welting,NE,welting,17515,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,:,$.,--,17515,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,ich,PPER,ich,17515,wildenhain,(1)
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,trage,VVFIN,tragen,17515,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,keine,PIAT,kein,17515,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,Zinsen,NN,zins,17515,,
qd,kd4r.0,817,903,WILDENHAIN,wildenhain,.,$.,--,17515,,
qd,kd4r.0,908,953,WELTING,welting,Wer,PWS,wer,17515,,
qd,kd4r.0,908,953,WELTING,welting,weiß,VVFIN,weiß,17515,,
qd,kd4r.0,908,953,WELTING,welting,"!",$.,--,17515,,
qd,kd4r.0,908,953,WELTING,welting,Sie,PPER,sie,17515,,
qd,kd4r.0,908,953,WELTING,welting,sollen,VMFIN,sollen,17515,,
qd,kd4r.0,908,953,WELTING,welting,welche,PWAT,welcher,17515,,
qd,kd4r.0,908,953,WELTING,welting,tragen,VVINF,tragen,17515,,
qd,kd4r.0,908,953,WELTING,welting,.,$.,--,17515,,
qd,kd4r.0,958,1045,WILDENHAIN,wildenhain,Vor,APPR,vor,17515,,
