corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,kjgv.0,626,983,_Stage,_Stage,Bediente,NN,bediente,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,mit,APPR,mit,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,Fackeln,NN,fackel,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,oder,KON,oder,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,Laternen,NN,laterne,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,gehen,VVFIN,gehen,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,über,APPR,über,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,die,ART,der,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,Bühne,NN,bühne,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,nach,APPR,nach,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,dem,ART,der,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,erleuchteten,ADJA,erleuchtet,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,Hause,NN,haus,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,",","$,",--,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,ihre,PPOSAT,ihr,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,Herrschaften,NN,herrschaft,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,abzuholen,VVINF,abholen,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,.,$.,--,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,Reichgekleidete,ADJA,reichgekleidet,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,Herren,NN,herr,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,und,KON,und,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,Damen,NN,dame,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,treten,VVFIN,treten,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,in,APPR,in,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,Gruppen,NN,gruppe,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,aus,APPR,aus,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,demselben,PDAT,derselbe,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,und,KON,und,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,verlieren,VVFIN,verlieren,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,sich,PRF,sich,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,in,APPR,in,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,den,ART,der,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,Straßen,NN,straße,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,.,$.,--,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,Faust,NN,faust,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,kommt,VVFIN,kommen,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,ebenfalls,ADV,ebenfalls,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,aus,APPR,aus,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,dem,ART,der,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,Hause,NN,haus,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,",","$,",--,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,in,APPR,in,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,welchem,PWAT,welcher,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,Mephistopheles,NN,mephistophele,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,ihn,PPER,ihn,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,zurückzuhalten,VVIZU,zurückhalten,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,sucht,VVFIN,suchen,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,.,$.,--,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,Er,PPER,er,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,reißt,VVFIN,reißen,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,sich,PRF,sich,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,jedoch,ADV,jedoch,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,los,PTKVZ,los,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,und,KON,und,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,tritt,VVFIN,treten,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,in,APPR,in,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,den,ART,der,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,Vordergrund,NN,vordergrund,11972,,
qd,kjgv.0,626,983,_Stage,_Stage,.,$.,--,11972,,
qd,kjgv.0,986,1006,_Stage,_Stage,Nr,NE,nr,11972,,
qd,kjgv.0,986,1006,_Stage,_Stage,.,$.,--,11972,,
qd,kjgv.0,986,1006,_Stage,_Stage,1,CARD,1,11972,,
qd,kjgv.0,986,1006,_Stage,_Stage,.,$.,--,11972,,
qd,kjgv.0,986,1006,_Stage,_Stage,Introduction,NN,introduction,11972,,
qd,kjgv.0,986,1006,_Stage,_Stage,.,$.,--,11972,,
qd,kjgv.0,1009,1054,_Stage,_Stage,Menuetto,NE,menuetto,11972,,
qd,kjgv.0,1009,1054,_Stage,_Stage,(,TRUNC,--,11972,,
qd,kjgv.0,1009,1054,_Stage,_Stage,C,NN,--,11972,,
qd,kjgv.0,1009,1054,_Stage,_Stage,dur,ADJD,dur,11972,,
qd,kjgv.0,1009,1054,_Stage,_Stage,),TRUNC,--,11972,,
qd,kjgv.0,1009,1054,_Stage,_Stage,.,$.,--,11972,,
qd,kjgv.0,1009,1054,_Stage,_Stage,(,TRUNC,--,11972,,
qd,kjgv.0,1009,1054,_Stage,_Stage,Musik,NN,musik,11972,,
qd,kjgv.0,1009,1054,_Stage,_Stage,hinter,APPR,hinter,11972,,
qd,kjgv.0,1009,1054,_Stage,_Stage,dem,ART,der,11972,,
qd,kjgv.0,1009,1054,_Stage,_Stage,Theater,NN,theater,11972,,
qd,kjgv.0,1009,1054,_Stage,_Stage,.,$.,--,11972,,
qd,kjgv.0,1009,1054,_Stage,_Stage,),TRUNC,--,11972,,
qd,kjgv.0,1057,1067,_Stage,_Stage,Recitativ,ADJD,recitativ,11972,,
qd,kjgv.0,1057,1067,_Stage,_Stage,.,$.,--,11972,,
qd,kjgv.0,1533,1561,FAUST,faust,Seufzend,ADJD,seufzend,11972,,
qd,kjgv.0,1533,1561,FAUST,faust,nach,APPR,nach,11972,,
qd,kjgv.0,1533,1561,FAUST,faust,oben,ADV,oben,11972,,
qd,kjgv.0,1533,1561,FAUST,faust,blickend,ADJD,blickend,11972,,
qd,kjgv.0,1533,1561,FAUST,faust,.,$.,--,11972,,
qd,kjgv.0,1636,1658,MEPHISTO,mephistopheles,mit,APPR,mit,11972,,
qd,kjgv.0,1636,1658,MEPHISTO,mephistopheles,verbissenem,ADJA,verbissen,11972,,
qd,kjgv.0,1636,1658,MEPHISTO,mephistopheles,Grimm,NE,grimm,11972,,
qd,kjgv.0,1636,1658,MEPHISTO,mephistopheles,.,$.,--,11972,,
qd,kjgv.0,1808,1818,FAUST,faust,aufgeregt,ADJD,aufregen,11972,,
qd,kjgv.0,1808,1818,FAUST,faust,.,$.,--,11972,,
qd,kjgv.0,1825,1836,FAUST,faust,diesen,PDAT,dieser,11972,,
qd,kjgv.0,1825,1836,FAUST,faust,Wurm,NN,wurm,11972,,
qd,kjgv.0,2052,2061,MEPHISTO,mephistopheles,höhnisch,ADJD,höhnisch,11972,,
qd,kjgv.0,2052,2061,MEPHISTO,mephistopheles,.,$.,--,11972,,
qd,kjgv.0,2155,2161,MEPHISTO,mephistopheles,Duett,NE,duett,11972,,
qd,kjgv.0,2155,2161,MEPHISTO,mephistopheles,.,$.,--,11972,,
qd,kjgv.0,2305,2309,,,Thor,NN,thor,11972,,
qd,kjgv.0,2358,2362,MEPHISTO,mephistopheles,Thor,NN,thor,11972,,
qd,kjgv.0,2477,2495,FAUST,faust,zu,PTKZU,zu,11972,,
qd,kjgv.0,2477,2495,FAUST,faust,Mephistopheles,VVINF,mephistopheles,11972,,
