corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,kmdh.0,760,966,GERTRUDE,gertrud,Sechs,CARD,sechs,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,große,ADJA,groß,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,Tafeltücher,NN,tafeltuch,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,nebst,VVFIN,nebst,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,Servietten,NN,serviette,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,",","$,",--,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,zwölf,CARD,zwölf,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,kleine,ADJA,klein,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,zu,APPR,zu,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,zwölf,CARD,zwölf,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,Personen,NN,person,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,",","$,",--,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,zehn,CARD,zehn,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,Dutzend,NN,dutzend,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,Handtücher,NN,handtuch,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,–,XY,–,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,hast,VAFIN,haben,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,Du's,NE,du's,29484,,
qd,kmdh.0,760,966,GERTRUDE,gertrud,?,$.,--,29484,,
qd,kmdh.0,971,1239,DORLE,dore,Hab,NE,hab,29484,,
qd,kmdh.0,971,1239,DORLE,dore,Alles,PIS,alle,29484,,
qd,kmdh.0,971,1239,DORLE,dore,",","$,",--,29484,,
qd,kmdh.0,971,1239,DORLE,dore,Mutter,NN,mutter,29484,,
qd,kmdh.0,971,1239,DORLE,dore,.,$.,--,29484,,
qd,kmdh.0,971,1239,DORLE,dore,Sind,VAFIN,sein,29484,,
qd,kmdh.0,971,1239,DORLE,dore,wir,PPER,wir,29484,,
qd,kmdh.0,971,1239,DORLE,dore,nun,ADV,nun,29484,,
qd,kmdh.0,971,1239,DORLE,dore,endlich,ADV,endlich,29484,,
qd,kmdh.0,971,1239,DORLE,dore,fertig,ADJD,fertig,29484,,
qd,kmdh.0,971,1239,DORLE,dore,?,$.,--,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,Will's,NE,will's,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,Gott,NN,gott,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,"!",$.,--,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,Ist,VAFIN,sein,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,ja,ADV,ja,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,die,ART,der,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,dreizehnte,ADJA,dreizehnter,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,Kiste,NN,kiste,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,mit,APPR,mit,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,Leinwanden,NN,leinwehen,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,",","$,",--,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,die,PRELS,der,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,wir,PPER,wir,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,gepackt,VVPP,packen,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,haben,VAFIN,haben,29484,,
qd,kmdh.0,1244,1334,GERTRUDE,gertrud,"!",$.,--,29484,,
qd,kmdh.0,1339,1447,DORLE,dore,Wo,PWAV,wo,29484,,
qd,kmdh.0,1339,1447,DORLE,dore,denkt,VVFIN,denken,29484,,
qd,kmdh.0,1339,1447,DORLE,dore,Ihr,PPOSAT,ihr,29484,,
qd,kmdh.0,1339,1447,DORLE,dore,auch,ADV,auch,29484,,
qd,kmdh.0,1339,1447,DORLE,dore,hin,PTKVZ,hin,29484,,
qd,kmdh.0,1339,1447,DORLE,dore,?,$.,--,29484,,
qd,kmdh.0,1339,1447,DORLE,dore,Kann,VMFIN,können,29484,,
qd,kmdh.0,1339,1447,DORLE,dore,ja,ADV,ja,29484,,
qd,kmdh.0,1339,1447,DORLE,dore,das,ART,der,29484,,
qd,kmdh.0,1339,1447,DORLE,dore,Zeug,NN,zeug,29484,,
qd,kmdh.0,1339,1447,DORLE,dore,mein,PPOSAT,mein,29484,,(1)
qd,kmdh.0,1339,1447,DORLE,dore,Lebtag,NN,lebtag,29484,,
qd,kmdh.0,1339,1447,DORLE,dore,nicht,PTKNEG,nicht,29484,,
qd,kmdh.0,1339,1447,DORLE,dore,verbrauchen,VVFIN,verbrauchen,29484,,
qd,kmdh.0,1339,1447,DORLE,dore,"!",$.,--,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,Ach,ITJ,ach,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,du,PPER,du,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,Kindskopf,NN,kindskopf,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,"!",$.,--,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,Probir's,NE,probir's,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,nur,ADV,nur,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,",","$,",--,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,führ,ADJD,führ,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,',$[,--,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,erst,ADV,erst,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,zehn,CARD,zehn,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,Jahr,NN,jahr,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,Wirthschaft,NN,wirthschaft,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,und,KON,und,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,dann,ADV,dann,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,sieh,VVIMP,sieh,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,zu,PTKVZ,zu,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,",","$,",--,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,was,PWS,was,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,von,APPR,von,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,dem,ART,der,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,Ueberfluß,NN,ueberfluß,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,da,ADV,da,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,übrig,ADJD,übrig,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,ist,VAFIN,sein,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,"!",$.,--,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,Michel,NE,michel,29484,,(16)
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,"!",$.,--,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,Peter,NE,peter,29484,,(2)
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,"!",$.,--,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,Ist,VAFIN,sein,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,denn,ADV,denn,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,keiner,PIS,keiner,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,von,APPR,von,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,den,ART,der,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,Hausknechten,NN,hausknecht,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,um,APPR,um,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,den,ART,der,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,Weg,NN,weg,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,?,$.,--,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,He,NN,--,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,"!",$.,--,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,Peter,NE,peter,29484,,(2)
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,"!",$.,--,29484,,
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,Michel,NE,michel,29484,,(16)
qd,kmdh.0,1452,1760,GERTRUDE,gertrud,"!",$.,--,29484,,
qd,kmdh.0,1765,1841,PETER,peter,Frau,NN,frau,29484,,
qd,kmdh.0,1765,1841,PETER,peter,"!",$.,--,29484,,
qd,kmdh.0,1765,1841,Michel,michel,Frau,NN,frau,29484,,
qd,kmdh.0,1765,1841,Michel,michel,"!",$.,--,29484,,
qd,kmdh.0,1846,1920,GERTRUDE,gertrud,Die,ART,der,29484,,
qd,kmdh.0,1846,1920,GERTRUDE,gertrud,Kist,NN,kist,29484,,
qd,kmdh.0,1846,1920,GERTRUDE,gertrud,',$[,--,29484,,
qd,kmdh.0,1846,1920,GERTRUDE,gertrud,da,ADV,da,29484,,
qd,kmdh.0,1846,1920,GERTRUDE,gertrud,zu,APPR,zu,29484,,
qd,kmdh.0,1846,1920,GERTRUDE,gertrud,den,ART,der,29484,,
qd,kmdh.0,1846,1920,GERTRUDE,gertrud,andern,VVINF,anderer,29484,,
qd,kmdh.0,1846,1920,GERTRUDE,gertrud,.,$.,--,29484,,
