corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,kpkv.0,409,451,_Stage,_Stage,Agneta,NE,agneta,21091,,
qd,kpkv.0,409,451,_Stage,_Stage,",","$,",--,21091,,
qd,kpkv.0,409,451,_Stage,_Stage,Susanna,NE,susanna,21091,,
qd,kpkv.0,409,451,_Stage,_Stage,",","$,",--,21091,,
qd,kpkv.0,409,451,_Stage,_Stage,in,APPR,in,21091,,
qd,kpkv.0,409,451,_Stage,_Stage,Haustracht,NN,haustracht,21091,,
qd,kpkv.0,409,451,_Stage,_Stage,",","$,",--,21091,,
qd,kpkv.0,409,451,_Stage,_Stage,zwo,CARD,zwo,21091,,
qd,kpkv.0,409,451,_Stage,_Stage,Mägde,NN,mägde,21091,,
qd,kpkv.0,409,451,_Stage,_Stage,.,$.,--,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,Agneta,NE,agneta,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,strickt,VVFIN,stricken,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,",","$,",--,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,Susanna,NE,susanna,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,nähet,VVFIN,nähen,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,",","$,",--,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,die,ART,der,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,Mägde,NN,mägde,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,spinnen,VVINF,spinnen,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,.,$.,--,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,Jede,PIDAT,jeder,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,hat,VAFIN,haben,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,ein,ART,ein,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,Liederblat,NN,liederblat,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,vor,APPR,vor,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,sich,PRF,sich,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,.,$.,--,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,Sie,PPER,sie,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,singen,VVFIN,singen,21091,,
qd,kpkv.0,454,549,_Stage,_Stage,.,$.,--,21091,,
qd,kpkv.0,628,638,_Stage,_Stage,Von,APPR,von,21091,,
qd,kpkv.0,628,638,_Stage,_Stage,vorne,ADV,vorne,21091,,
qd,kpkv.0,628,638,_Stage,_Stage,.,$.,--,21091,,
qd,kpkv.0,687,712,_Stage,_Stage,Sittenreich,NN,sittenreich,21091,,
qd,kpkv.0,687,712,_Stage,_Stage,",","$,",--,21091,,
qd,kpkv.0,687,712,_Stage,_Stage,die,ART,der,21091,,
qd,kpkv.0,687,712,_Stage,_Stage,vorigen,ADJA,vorig,21091,,
qd,kpkv.0,687,712,_Stage,_Stage,.,$.,--,21091,,
qd,kpkv.0,715,790,_Stage,_Stage,Sie,PPER,sie,21091,,
qd,kpkv.0,715,790,_Stage,_Stage,stecken,VVFIN,stecken,21091,,
qd,kpkv.0,715,790,_Stage,_Stage,geschwinde,ADJA,geschwinden,21091,,
qd,kpkv.0,715,790,_Stage,_Stage,die,ART,der,21091,,
qd,kpkv.0,715,790,_Stage,_Stage,Blätter,NN,blatt,21091,,
qd,kpkv.0,715,790,_Stage,_Stage,in,APPR,in,21091,,
qd,kpkv.0,715,790,_Stage,_Stage,die,ART,der,21091,,
qd,kpkv.0,715,790,_Stage,_Stage,Tasche,NN,tasche,21091,,
qd,kpkv.0,715,790,_Stage,_Stage,",","$,",--,21091,,
qd,kpkv.0,715,790,_Stage,_Stage,eine,ART,ein,21091,,
qd,kpkv.0,715,790,_Stage,_Stage,aber,ADV,aber,21091,,
qd,kpkv.0,715,790,_Stage,_Stage,läßt,VVFIN,lassen,21091,,
qd,kpkv.0,715,790,_Stage,_Stage,es,PPER,es,21091,,
qd,kpkv.0,715,790,_Stage,_Stage,fallen,VVINF,fallen,21091,,
qd,kpkv.0,715,790,_Stage,_Stage,.,$.,--,21091,,
qd,kpkv.0,1329,1356,SITTENREICH,sittenreich,Er,PPER,er,21091,,
qd,kpkv.0,1329,1356,SITTENREICH,sittenreich,nimmt,VVFIN,nehmen,21091,,
qd,kpkv.0,1329,1356,SITTENREICH,sittenreich,es,PPER,es,21091,,
qd,kpkv.0,1329,1356,SITTENREICH,sittenreich,geschwinde,ADJA,geschwind,21091,,
qd,kpkv.0,1329,1356,SITTENREICH,sittenreich,auf,PTKVZ,auf,21091,,
qd,kpkv.0,1329,1356,SITTENREICH,sittenreich,.,$.,--,21091,,
qd,kpkv.0,1392,1401,SITTENREICH,sittenreich,Er,PPER,er,21091,,
qd,kpkv.0,1392,1401,SITTENREICH,sittenreich,liest,VVFIN,lesen,21091,,
qd,kpkv.0,1392,1401,SITTENREICH,sittenreich,.,$.,--,21091,,
qd,kpkv.0,2089,2106,SITTENREICH,sittenreich,Er,PPER,er,21091,,
qd,kpkv.0,2089,2106,SITTENREICH,sittenreich,liest,VVFIN,lesen,21091,,
qd,kpkv.0,2089,2106,SITTENREICH,sittenreich,abermal,ADV,abermal,21091,,
qd,kpkv.0,2089,2106,SITTENREICH,sittenreich,.,$.,--,21091,,
qd,kpkv.0,5560,5591,AGNETA,agneta,Susanna,NE,susanna,21091,,
qd,kpkv.0,5560,5591,AGNETA,agneta,und,KON,und,21091,,
qd,kpkv.0,5560,5591,AGNETA,agneta,die,ART,der,21091,,
qd,kpkv.0,5560,5591,AGNETA,agneta,Mägde,NN,mägde,21091,,
qd,kpkv.0,5560,5591,AGNETA,agneta,gehen,VVFIN,gehen,21091,,
qd,kpkv.0,5560,5591,AGNETA,agneta,ab,PTKVZ,ab,21091,,
qd,kpkv.0,5560,5591,AGNETA,agneta,.,$.,--,21091,,
qd,kpkv.0,5642,5666,_Stage,_Stage,Grobian,NE,grobian,21091,,
qd,kpkv.0,5642,5666,_Stage,_Stage,und,KON,und,21091,,
qd,kpkv.0,5642,5666,_Stage,_Stage,die,ART,der,21091,,
qd,kpkv.0,5642,5666,_Stage,_Stage,Vorigen,NN,vorige,21091,,
qd,kpkv.0,5642,5666,_Stage,_Stage,.,$.,--,21091,,
qd,kpkv.0,6875,6891,GROBIAN,grobian,Zum,APPRART,zu,21091,,
qd,kpkv.0,6875,6891,GROBIAN,grobian,Sittenreich,NN,sittenreich,21091,,
qd,kpkv.0,6875,6891,GROBIAN,grobian,.,$.,--,21091,,
qd,kpkv.0,9837,9846,GROBIAN,grobian,Gehet,NE,gehet,21091,,
qd,kpkv.0,9837,9846,GROBIAN,grobian,ab,PTKVZ,ab,21091,,
qd,kpkv.0,9837,9846,GROBIAN,grobian,.,$.,--,21091,,
qd,kpkv.0,9895,9911,SITTENREICH,sittenreich,Agneta,NE,agneta,21091,,
qd,kpkv.0,9895,9911,SITTENREICH,sittenreich,gehet,VVFIN,gehet,21091,,
qd,kpkv.0,9895,9911,SITTENREICH,sittenreich,ab,PTKVZ,ab,21091,,
qd,kpkv.0,9895,9911,SITTENREICH,sittenreich,.,$.,--,21091,,
qd,kpkv.0,11196,11233,_Stage,_Stage,Ehrenwehrt,VVPP,ehrenwehren,21091,,
qd,kpkv.0,11196,11233,_Stage,_Stage,",","$,",--,21091,,
qd,kpkv.0,11196,11233,_Stage,_Stage,Carolina,NE,carolina,21091,,
qd,kpkv.0,11196,11233,_Stage,_Stage,und,KON,und,21091,,
qd,kpkv.0,11196,11233,_Stage,_Stage,Sittenreich,NN,sittenreich,21091,,
qd,kpkv.0,11196,11233,_Stage,_Stage,.,$.,--,21091,,
qd,kpkv.0,11236,11276,_Stage,_Stage,Ehrenwehrt,NN,ehrenwehrt,21091,,
qd,kpkv.0,11236,11276,_Stage,_Stage,und,KON,und,21091,,
qd,kpkv.0,11236,11276,_Stage,_Stage,Sittenreich,NN,sittenreich,21091,,
qd,kpkv.0,11236,11276,_Stage,_Stage,umarmen,VVFIN,umarmen,21091,,
qd,kpkv.0,11236,11276,_Stage,_Stage,sich,PRF,sich,21091,,
qd,kpkv.0,11236,11276,_Stage,_Stage,.,$.,--,21091,,
qd,kpkv.0,12773,12789,SITTENREICH,sittenreich,etwas,ADV,etwas,21091,,
qd,kpkv.0,12773,12789,SITTENREICH,sittenreich,verwirret,ADJD,verwirren,21091,,
qd,kpkv.0,12773,12789,SITTENREICH,sittenreich,.,$.,--,21091,,
qd,kpkv.0,13137,13161,_Stage,_Stage,Grobian,NE,grobian,21091,,
qd,kpkv.0,13137,13161,_Stage,_Stage,und,KON,und,21091,,
qd,kpkv.0,13137,13161,_Stage,_Stage,die,ART,der,21091,,
qd,kpkv.0,13137,13161,_Stage,_Stage,Vorigen,NN,vorige,21091,,
qd,kpkv.0,13137,13161,_Stage,_Stage,.,$.,--,21091,,
qd,kpkv.0,13823,13839,GROBIAN,grobian,Zum,APPRART,zu,21091,,
qd,kpkv.0,13823,13839,GROBIAN,grobian,Sittenreich,NN,sittenreich,21091,,
qd,kpkv.0,13823,13839,GROBIAN,grobian,.,$.,--,21091,,
qd,kpkv.0,13909,13924,CAROLINA,carolina,zum,APPRART,zu,21091,,
qd,kpkv.0,13909,13924,CAROLINA,carolina,Ehrenwehrt,NN,ehrenwehrt,21091,,
qd,kpkv.0,13909,13924,CAROLINA,carolina,.,$.,--,21091,,
qd,kpkv.0,14005,14018,SITTENREICH,sittenreich,zur,APPRART,zu,21091,,
qd,kpkv.0,14005,14018,SITTENREICH,sittenreich,Carolina,NE,carolina,21091,,
qd,kpkv.0,14005,14018,SITTENREICH,sittenreich,.,$.,--,21091,,
qd,kpkv.0,14140,14152,SITTENREICH,sittenreich,Zum,APPRART,zu,21091,,
qd,kpkv.0,14140,14152,SITTENREICH,sittenreich,Grobian,NE,grobian,21091,,
qd,kpkv.0,14140,14152,SITTENREICH,sittenreich,.,$.,--,21091,,
qd,kpkv.0,15048,15070,GROBIAN,grobian,Zum,APPRART,zu,21091,,
qd,kpkv.0,15048,15070,GROBIAN,grobian,Sittenreich,NN,sittenreich,21091,,
qd,kpkv.0,15048,15070,GROBIAN,grobian,leise,ADJD,leise,21091,,
qd,kpkv.0,15048,15070,GROBIAN,grobian,.,$.,--,21091,,
qd,kpkv.0,15106,15121,GROBIAN,grobian,Zum,APPRART,zu,21091,,
qd,kpkv.0,15106,15121,GROBIAN,grobian,Ehrenwehrt,NN,ehrenwehrt,21091,,
qd,kpkv.0,15106,15121,GROBIAN,grobian,.,$.,--,21091,,
qd,kpkv.0,15218,15262,GROBIAN,grobian,Sittenreich,NN,sittenreich,21091,,
qd,kpkv.0,15218,15262,GROBIAN,grobian,und,KON,und,21091,,
qd,kpkv.0,15218,15262,GROBIAN,grobian,Carolina,NE,carolina,21091,,
qd,kpkv.0,15218,15262,GROBIAN,grobian,sprechen,VVFIN,sprechen,21091,,
qd,kpkv.0,15218,15262,GROBIAN,grobian,besonders,ADV,besonders,21091,,
qd,kpkv.0,15218,15262,GROBIAN,grobian,.,$.,--,21091,,
qd,kpkv.0,19192,19208,GROBIAN,grobian,Zum,APPRART,zu,21091,,
qd,kpkv.0,19192,19208,GROBIAN,grobian,Sittenreich,NN,sittenreich,21091,,
qd,kpkv.0,19192,19208,GROBIAN,grobian,.,$.,--,21091,,
qd,kpkv.0,19347,19393,GROBIAN,grobian,Sittenreich,NN,sittenreich,21091,,
qd,kpkv.0,19347,19393,GROBIAN,grobian,",","$,",--,21091,,
qd,kpkv.0,19347,19393,GROBIAN,grobian,Ehrenwehrt,NN,ehrenwehrt,21091,,
qd,kpkv.0,19347,19393,GROBIAN,grobian,und,KON,und,21091,,
qd,kpkv.0,19347,19393,GROBIAN,grobian,Carolina,NE,carolina,21091,,
qd,kpkv.0,19347,19393,GROBIAN,grobian,gehen,VVFIN,gehen,21091,,
qd,kpkv.0,19347,19393,GROBIAN,grobian,ab,PTKVZ,ab,21091,,
qd,kpkv.0,19347,19393,GROBIAN,grobian,.,$.,--,21091,,
qd,kpkv.0,19928,19944,_Stage,_Stage,Agneta,NE,agneta,21091,,
qd,kpkv.0,19928,19944,_Stage,_Stage,.,$.,--,21091,,
qd,kpkv.0,19928,19944,_Stage,_Stage,Grobian,NE,grobian,21091,,
qd,kpkv.0,19928,19944,_Stage,_Stage,.,$.,--,21091,,
qd,kpkv.0,21365,21379,AGNETA,agneta,Will,NE,wollen,21091,,
qd,kpkv.0,21365,21379,AGNETA,agneta,weggehen,VVFIN,weggehen,21091,,
