corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,kq6g.0,552,1826,gabriele,580,583,mir,gabriele
qd,kq6g.0,552,1826,gabriele,612,615,ich,gabriele
qd,kq6g.0,552,1826,gabriele,647,651,mein,gabriele
qd,kq6g.0,552,1826,gabriele,665,668,ich,gabriele
qd,kq6g.0,552,1826,gabriele,712,715,mir,gabriele
qd,kq6g.0,552,1826,gabriele,852,857,meine,gabriele
qd,kq6g.0,552,1826,gabriele,873,878,Meine,gabriele
qd,kq6g.0,552,1826,gabriele,916,919,ich,gabriele
qd,kq6g.0,552,1826,gabriele,939,943,mein,gabriele
qd,kq6g.0,552,1826,gabriele,1091,1096,meine,gabriele
qd,kq6g.0,552,1826,gabriele,1112,1117,Meine,gabriele
qd,kq6g.0,552,1826,gabriele,1154,1157,ich,gabriele
qd,kq6g.0,552,1826,gabriele,1177,1181,mein,gabriele
qd,kq6g.0,552,1826,gabriele,1235,1239,mein,gabriele
qd,kq6g.0,552,1826,gabriele,1273,1277,mich,gabriele
qd,kq6g.0,552,1826,gabriele,1300,1303,mir,gabriele
qd,kq6g.0,552,1826,gabriele,1363,1366,mir,gabriele
qd,kq6g.0,552,1826,gabriele,1424,1427,ich,gabriele
qd,kq6g.0,552,1826,gabriele,1475,1479,mein,gabriele
qd,kq6g.0,552,1826,gabriele,1511,1515,mich,gabriele
qd,kq6g.0,552,1826,gabriele,1538,1541,mir,gabriele
qd,kq6g.0,1916,2148,gomez,2110,2113,ich,gomez
qd,kq6g.0,2153,2215,gabriele,2177,2181,Mein,gabriele
qd,kq6g.0,2282,2336,gabriele,2308,2311,mir,gabriele
qd,kq6g.0,2341,2423,gomez,2377,2380,mir,gomez
qd,kq6g.0,2429,2507,gabriele,2473,2477,mein,gabriele
qd,kq6g.0,2609,2844,gabriele,2659,2665,meinen,gabriele
qd,kq6g.0,2609,2844,gabriele,2758,2761,ich,gabriele
qd,kq6g.0,2609,2844,gabriele,2762,2767,meine,gabriele
qd,kq6g.0,2907,3018,gomez,2915,2918,Ich,gomez
qd,kq6g.0,2907,3018,gomez,2966,2969,mir,gomez
qd,kq6g.0,2907,3018,gomez,2996,3000,mich,gomez
qd,kq6g.0,3023,3296,gomez,3046,3049,ich,gomez
qd,kq6g.0,3023,3296,gomez,3050,3055,meine,gomez
qd,kq6g.0,3023,3296,gomez,3127,3130,ich,gomez
qd,kq6g.0,3023,3296,gomez,3208,3211,ich,gomez
qd,kq6g.0,3302,3577,gabriele,3339,3342,ich,gabriele
qd,kq6g.0,3948,4110,gomez,4065,4068,ich,gomez
qd,kq6g.0,4115,4274,gomez,4187,4190,ich,gomez
qd,kq6g.0,4115,4274,gomez,4218,4223,Meine,gomez
qd,kq6g.0,4115,4274,gomez,4252,4256,mich,gomez
qd,kq6g.0,4404,4467,gomez,4412,4417,Meine,gomez
qd,kq6g.0,4404,4467,gomez,4445,4449,mich,gomez
qd,kq6g.0,4731,4846,gabriele,4758,4761,ich,gabriele
qd,kq6g.0,5612,6156,gabriele,5720,5724,mein,gabriele
qd,kq6g.0,5612,6156,gabriele,5765,5769,mich,gabriele
qd,kq6g.0,5612,6156,gabriele,5786,5789,ich,gabriele
qd,kq6g.0,5612,6156,gabriele,5820,5823,ich,gabriele
qd,kq6g.0,5612,6156,gabriele,5854,5857,mir,gabriele
qd,kq6g.0,5612,6156,gabriele,5903,5909,meines,gabriele
qd,kq6g.0,5612,6156,gabriele,5927,5930,mir,gabriele
qd,kq6g.0,5612,6156,gabriele,5953,5957,mein,gabriele
qd,kq6g.0,5612,6156,gabriele,6025,6028,ich,gabriele
qd,kq6g.0,5612,6156,gabriele,6046,6049,ich,gabriele
qd,kq6g.0,5612,6156,gabriele,6115,6119,mein,gabriele
qd,kq6g.0,6161,6977,gabriele,6216,6219,ich,gabriele
qd,kq6g.0,6161,6977,gabriele,6239,6242,ich,gabriele
qd,kq6g.0,6161,6977,gabriele,6323,6326,ich,gabriele
qd,kq6g.0,6161,6977,gabriele,6438,6443,meine,gabriele
qd,kq6g.0,6161,6977,gabriele,6513,6516,ich,gabriele
qd,kq6g.0,6161,6977,gabriele,6559,6562,ich,gabriele
qd,kq6g.0,6161,6977,gabriele,6578,6582,mein,gabriele
qd,kq6g.0,7051,7475,jäger,7205,7208,ich,jäger
qd,kq6g.0,7051,7475,jäger,7223,7227,mich,jäger
qd,kq6g.0,7051,7475,jäger,7228,7232,mein,jäger
qd,kq6g.0,7051,7475,jäger,7355,7358,ich,jäger
qd,kq6g.0,7832,7865,jäger,7861,7864,mir,jäger
qd,kq6g.0,7870,8083,gabriele,7918,7921,mir,gabriele
qd,kq6g.0,7870,8083,gabriele,7922,7928,meinen,gabriele
qd,kq6g.0,7870,8083,gabriele,7972,7975,mir,gabriele
qd,kq6g.0,7870,8083,gabriele,7997,8000,ich,gabriele
qd,kq6g.0,7870,8083,gabriele,8035,8039,Mein,gabriele
qd,kq6g.0,8121,8263,gabriele,8156,8160,mein,gabriele
qd,kq6g.0,8121,8263,gabriele,8162,8166,Mein,gabriele
qd,kq6g.0,8121,8263,gabriele,8177,8181,mein,gabriele
qd,kq6g.0,8121,8263,gabriele,8216,8219,mir,gabriele
qd,kq6g.0,8349,8475,gabriele,8462,8465,ich,gabriele
qd,kq6g.0,8714,9023,jäger,8762,8765,ich,jäger
qd,kq6g.0,8714,9023,jäger,8789,8792,mir,jäger
qd,kq6g.0,8714,9023,jäger,8824,8827,ich,jäger
qd,kq6g.0,8714,9023,jäger,8861,8864,ich,jäger
qd,kq6g.0,8714,9023,jäger,8872,8876,mich,jäger
qd,kq6g.0,8714,9023,jäger,8909,8912,ich,jäger
qd,kq6g.0,9070,9189,jäger,9087,9090,ich,jäger
qd,kq6g.0,9070,9189,jäger,9091,9094,mir,jäger
qd,kq6g.0,9070,9189,jäger,9125,9128,ich,jäger
qd,kq6g.0,9195,9252,gabriele,9209,9215,meinem,gabriele
qd,kq6g.0,9195,9252,gabriele,9241,9245,mein,gabriele
qd,kq6g.0,9301,9520,gabriele,9499,9502,Ich,gabriele
qd,kq6g.0,9560,9751,gabriele,9739,9742,mir,gabriele
qd,kq6g.0,9962,10715,jäger,9985,9988,ich,jäger
qd,kq6g.0,9962,10715,jäger,10041,10045,mein,jäger
qd,kq6g.0,9962,10715,jäger,10076,10080,mein,jäger
qd,kq6g.0,9962,10715,jäger,10345,10349,mich,jäger
qd,kq6g.0,9962,10715,jäger,10434,10437,ich,jäger
qd,kq6g.0,9962,10715,jäger,10536,10540,mich,jäger
qd,kq6g.0,9962,10715,jäger,10573,10576,ich,jäger
qd,kq6g.0,10720,10796,jäger,10741,10744,ich,jäger
qd,kq6g.0,10720,10796,jäger,10763,10766,mir,jäger
qd,kq6g.0,10802,10885,gabriele,10843,10846,ich,gabriele
qd,kq6g.0,11133,11801,jäger,11310,11313,ich,jäger
qd,kq6g.0,11133,11801,jäger,11346,11350,mein,jäger
qd,kq6g.0,11133,11801,jäger,11368,11372,mein,jäger
qd,kq6g.0,11133,11801,jäger,11438,11441,ich,jäger
qd,kq6g.0,11133,11801,jäger,11502,11505,ich,jäger
qd,kq6g.0,11133,11801,jäger,11515,11521,meiner,jäger
qd,kq6g.0,11133,11801,jäger,11542,11546,mich,jäger
qd,kq6g.0,11133,11801,jäger,11575,11578,Ich,jäger
qd,kq6g.0,11133,11801,jäger,11593,11596,ich,jäger
qd,kq6g.0,11133,11801,jäger,11624,11630,meinen,jäger
qd,kq6g.0,11133,11801,jäger,11636,11639,Ich,jäger
qd,kq6g.0,11876,12052,gabriele,11893,11896,ich,gabriele
qd,kq6g.0,12124,12196,gabriele,12142,12145,Ich,gabriele
qd,kq6g.0,12279,12355,gabriele,12298,12302,mich,gabriele
qd,kq6g.0,12279,12355,gabriele,12315,12319,mich,gabriele
qd,kq6g.0,12361,12430,jäger,12368,12371,Ich,jäger
qd,kq6g.0,12361,12430,jäger,12409,12412,Ich,jäger
qd,kq6g.0,12435,12582,gabriele,12454,12457,mir,gabriele
qd,kq6g.0,12435,12582,gabriele,12472,12475,mir,gabriele
qd,kq6g.0,12753,12872,gabriele,12774,12777,ich,gabriele
qd,kq6g.0,12753,12872,gabriele,12795,12798,ich,gabriele
qd,kq6g.0,12878,12981,jäger,12886,12889,Ich,jäger
qd,kq6g.0,12878,12981,jäger,12890,12894,mein,jäger
qd,kq6g.0,12878,12981,jäger,12897,12900,ich,jäger
qd,kq6g.0,12878,12981,jäger,12901,12905,mein,jäger
qd,kq6g.0,13583,13664,jäger,13616,13619,ich,jäger
qd,kq6g.0,13751,13960,jäger,13810,13813,mir,jäger
qd,kq6g.0,13751,13960,jäger,13859,13863,Mein,jäger
qd,kq6g.0,13965,14135,gabriele,14016,14020,Mein,gabriele
qd,kq6g.0,13965,14135,gabriele,14120,14123,ich,gabriele
qd,kq6g.0,14497,14631,jäger,14588,14592,mein,jäger
qd,kq6g.0,14497,14631,jäger,14626,14630,mich,jäger
qd,kq6g.0,14900,14927,jäger,14917,14920,Ich,jäger
qd,kq6g.0,15028,15082,gabriele,15054,15057,mir,gabriele
qd,kq6g.0,15087,15171,jäger,15102,15106,mich,jäger
qd,kq6g.0,15087,15171,jäger,15141,15145,mich,jäger
qd,kq6g.0,15177,15223,gabriele,15198,15201,ich,gabriele
qd,kq6g.0,15250,15306,gabriele,15277,15280,ich,gabriele
qd,kq6g.0,15250,15306,gabriele,15298,15301,ich,gabriele
qd,kq6g.0,15311,15361,jäger,15344,15347,ich,jäger
qd,kq6g.0,15447,15552,jäger,15475,15478,ich,jäger
qd,kq6g.0,15447,15552,jäger,15491,15494,Ich,jäger
qd,kq6g.0,15447,15552,jäger,15514,15519,meine,jäger
qd,kq6g.0,15557,15647,gabriele,15618,15621,ich,gabriele
qd,kq6g.0,15653,15969,jäger,15661,15665,Mein,jäger
qd,kq6g.0,15653,15969,jäger,15727,15731,mich,jäger
qd,kq6g.0,15653,15969,jäger,15815,15818,Ich,jäger
qd,kq6g.0,15653,15969,jäger,15848,15851,Mir,jäger
qd,kq6g.0,15653,15969,jäger,15944,15947,ich,jäger
qd,kq6g.0,16409,16506,gabriele,16436,16439,ich,gabriele
qd,kq6g.0,16409,16506,gabriele,16457,16461,mich,gabriele
qd,kq6g.0,16512,16601,jäger,16576,16579,ich,jäger
qd,kq6g.0,17013,17229,jäger,17079,17082,mir,jäger
qd,kq6g.0,17013,17229,jäger,17128,17132,Mein,jäger
qd,kq6g.0,17234,17404,gabriele,17285,17289,Mein,gabriele
qd,kq6g.0,17234,17404,gabriele,17389,17392,ich,gabriele
qd,kq6g.0,18518,18598,vasco,18571,18574,mir,vasco
qd,kq6g.0,18790,18961,jäger,18895,18899,mich,jäger
