corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,msdg.0,203,337,KÖNIG,könig,Nimmt,NE,nehmen,6100,,
qd,msdg.0,203,337,KÖNIG,könig,denn,ADV,denn,6100,,
qd,msdg.0,203,337,KÖNIG,könig,die,ART,der,6100,,
qd,msdg.0,203,337,KÖNIG,könig,Erde,NN,erde,6100,,
qd,msdg.0,203,337,KÖNIG,könig,kein,PIAT,kein,6100,,
qd,msdg.0,203,337,KÖNIG,könig,End,NN,end,6100,,
qd,msdg.0,203,337,KÖNIG,könig,einmal,ADV,einmal,6100,,
qd,msdg.0,203,337,KÖNIG,könig,"!",$.,--,6100,,
qd,msdg.0,203,337,KÖNIG,könig,Das,ART,der,6100,,
qd,msdg.0,203,337,KÖNIG,könig,Reisen,NN,reise,6100,,
qd,msdg.0,203,337,KÖNIG,könig,ist,VAFIN,sein,6100,,
qd,msdg.0,203,337,KÖNIG,könig,mir,PPER,sich,6100,KÖNIG,könig
qd,msdg.0,203,337,KÖNIG,könig,schon,ADV,schon,6100,,
qd,msdg.0,203,337,KÖNIG,könig,ganz,ADV,ganz,6100,,
qd,msdg.0,203,337,KÖNIG,könig,fatal,ADJD,fatal,6100,,
qd,msdg.0,203,337,KÖNIG,könig,.,$.,--,6100,,
qd,msdg.0,203,337,KÖNIG,könig,Gibt's,NE,gibt's,6100,,
qd,msdg.0,203,337,KÖNIG,könig,denn,ADV,denn,6100,,
qd,msdg.0,203,337,KÖNIG,könig,nichts,PIAT,nichts,6100,,
qd,msdg.0,203,337,KÖNIG,könig,Neues,NN,neue,6100,,
qd,msdg.0,203,337,KÖNIG,könig,?,$.,--,6100,,
qd,msdg.0,203,337,KÖNIG,könig,kein,PIAT,kein,6100,,
qd,msdg.0,203,337,KÖNIG,könig,Krieg,NN,krieg,6100,,
qd,msdg.0,203,337,KÖNIG,könig,",","$,",--,6100,,
qd,msdg.0,203,337,KÖNIG,könig,kein,PIAT,kein,6100,,
qd,msdg.0,203,337,KÖNIG,könig,Kurier,NN,kurier,6100,,
qd,msdg.0,203,337,KÖNIG,könig,?,$.,--,6100,,
qd,msdg.0,343,398,NARR,narr,Die,ART,der,6100,,
qd,msdg.0,343,398,NARR,narr,Welt,NN,welt,6100,,
qd,msdg.0,343,398,NARR,narr,schmaucht,VVFIN,schmauchen,6100,,
qd,msdg.0,343,398,NARR,narr,ihr,PPOSAT,ihr,6100,,
qd,msdg.0,343,398,NARR,narr,Pfeifchen,NN,pfeifchen,6100,,
qd,msdg.0,343,398,NARR,narr,beim,APPRART,bei,6100,,
qd,msdg.0,343,398,NARR,narr,Glase,NN,glase,6100,,
qd,msdg.0,343,398,NARR,narr,Bier,NN,bier,6100,,
qd,msdg.0,343,398,NARR,narr,.,$.,--,6100,,
qd,msdg.0,403,495,KÖNIG,könig,Du,PPER,du,6100,,
qd,msdg.0,403,495,KÖNIG,könig,wirst,VAFIN,werden,6100,,
qd,msdg.0,403,495,KÖNIG,könig,auch,ADV,auch,6100,,
qd,msdg.0,403,495,KÖNIG,könig,schon,ADV,schon,6100,,
qd,msdg.0,403,495,KÖNIG,könig,jetzo,ADV,jetzo,6100,,
qd,msdg.0,403,495,KÖNIG,könig,recht,ADJD,recht,6100,,
qd,msdg.0,403,495,KÖNIG,könig,ennüyant,ADJD,ennüyant,6100,,
qd,msdg.0,403,495,KÖNIG,könig,",","$,",--,6100,,
qd,msdg.0,403,495,KÖNIG,könig,Je,ADV,je,6100,,
qd,msdg.0,403,495,KÖNIG,könig,mehr,PIAT,mehr,6100,,
qd,msdg.0,403,495,KÖNIG,könig,du,PPER,du,6100,,
qd,msdg.0,403,495,KÖNIG,könig,kommst,VVFIN,kommst,6100,,
qd,msdg.0,403,495,KÖNIG,könig,zu,APPR,zu,6100,,
qd,msdg.0,403,495,KÖNIG,könig,Jahren,NN,jahr,6100,,
qd,msdg.0,403,495,KÖNIG,könig,und,KON,und,6100,,
qd,msdg.0,403,495,KÖNIG,könig,Verstand,NN,verstand,6100,,
qd,msdg.0,403,495,KÖNIG,könig,.,$.,--,6100,,
qd,msdg.0,501,718,NARR,narr,Das,PDS,der,6100,,
qd,msdg.0,501,718,NARR,narr,lohnte,VVFIN,lohnen,6100,,
qd,msdg.0,501,718,NARR,narr,auch,ADV,auch,6100,,
qd,msdg.0,501,718,NARR,narr,noch,ADV,noch,6100,,
qd,msdg.0,501,718,NARR,narr,",","$,",--,6100,,
qd,msdg.0,501,718,NARR,narr,ein,ART,ein,6100,,
qd,msdg.0,501,718,NARR,narr,Narr,NN,narr,6100,NARR,narr
qd,msdg.0,501,718,NARR,narr,zu,PTKZU,zu,6100,,
qd,msdg.0,501,718,NARR,narr,sein,VAINF,sein,6100,,
qd,msdg.0,501,718,NARR,narr,",","$,",--,6100,,
qd,msdg.0,501,718,NARR,narr,Pfuscht,VVFIN,pfuscht,6100,,
qd,msdg.0,501,718,NARR,narr,jeder,PIDAT,jeder,6100,,
qd,msdg.0,501,718,NARR,narr,mir,PPER,sich,6100,NARR,narr
qd,msdg.0,501,718,NARR,narr,ins,APPRART,in,6100,,
qd,msdg.0,501,718,NARR,narr,Handwerk,NN,handwerk,6100,,
qd,msdg.0,501,718,NARR,narr,hinein,PTKVZ,hinein,6100,,
qd,msdg.0,501,718,NARR,narr,.,$.,--,6100,,
qd,msdg.0,501,718,NARR,narr,Man,PIS,man,6100,,
qd,msdg.0,501,718,NARR,narr,hat,VAFIN,haben,6100,,
qd,msdg.0,501,718,NARR,narr,nichts,PIS,nichts,6100,,
qd,msdg.0,501,718,NARR,narr,voraus,ADV,voraus,6100,,
qd,msdg.0,501,718,NARR,narr,mehr,ADV,mehr,6100,,
qd,msdg.0,501,718,NARR,narr,mit,APPR,mit,6100,,
qd,msdg.0,501,718,NARR,narr,seinen,PPOSAT,sein,6100,,
qd,msdg.0,501,718,NARR,narr,Gaben,NN,gabe,6100,,
qd,msdg.0,501,718,NARR,narr,",","$,",--,6100,,
qd,msdg.0,501,718,NARR,narr,Seit,KOUS,seit,6100,,
qd,msdg.0,501,718,NARR,narr,alle,PIDAT,aller,6100,,
qd,msdg.0,501,718,NARR,narr,Narren,NN,narr,6100,,
qd,msdg.0,501,718,NARR,narr,Gewerbfreiheit,NN,gewerbfreiheit,6100,,
qd,msdg.0,501,718,NARR,narr,haben,VAFIN,haben,6100,,
qd,msdg.0,501,718,NARR,narr,.,$.,--,6100,,
qd,msdg.0,723,769,KÖNIG,könig,Ha,NN,ha,6100,,
qd,msdg.0,723,769,KÖNIG,könig,",","$,",--,6100,,
qd,msdg.0,723,769,KÖNIG,könig,Narr,ITJ,narr,6100,NARR,narr
qd,msdg.0,723,769,KÖNIG,könig,",","$,",--,6100,,
qd,msdg.0,723,769,KÖNIG,könig,sag,VVIMP,sag,6100,,
qd,msdg.0,723,769,KÖNIG,könig,',$[,--,6100,,
qd,msdg.0,723,769,KÖNIG,könig,an,PTKVZ,an,6100,,
qd,msdg.0,723,769,KÖNIG,könig,",","$,",--,6100,,
qd,msdg.0,723,769,KÖNIG,könig,was,PWS,was,6100,,
qd,msdg.0,723,769,KÖNIG,könig,ist,VAFIN,sein,6100,,
qd,msdg.0,723,769,KÖNIG,könig,das,ART,der,6100,,
qd,msdg.0,723,769,KÖNIG,könig,gewesen,VAPP,sein,6100,,
qd,msdg.0,723,769,KÖNIG,könig,?,$.,--,6100,,
qd,msdg.0,774,907,NARR,narr,Vaterlandsliebe,NN,vaterlandsliebe,6100,,
qd,msdg.0,774,907,NARR,narr,und,KON,und,6100,,
qd,msdg.0,774,907,NARR,narr,Gemeindewesen,NN,gemeindewesen,6100,,
qd,msdg.0,774,907,NARR,narr,",","$,",--,6100,,
qd,msdg.0,774,907,NARR,narr,Sie,PPER,sie,6100,SIE,sie
qd,msdg.0,774,907,NARR,narr,können,VMFIN,können,6100,,
qd,msdg.0,774,907,NARR,narr,den,ART,der,6100,,
qd,msdg.0,774,907,NARR,narr,Patriotismus,NN,patriotismus,6100,,
qd,msdg.0,774,907,NARR,narr,nicht,PTKNEG,nicht,6100,,
qd,msdg.0,774,907,NARR,narr,mehr,ADV,mehr,6100,,
qd,msdg.0,774,907,NARR,narr,halten,VVINF,halten,6100,,
qd,msdg.0,774,907,NARR,narr,",","$,",--,6100,,
qd,msdg.0,774,907,NARR,narr,Sie,PPER,sie,6100,SIE,sie
qd,msdg.0,774,907,NARR,narr,sahen,VVFIN,sehen,6100,,
qd,msdg.0,774,907,NARR,narr,vom,APPRART,von,6100,,
qd,msdg.0,774,907,NARR,narr,Turme,NN,turme,6100,,
qd,msdg.0,774,907,NARR,narr,uns,PPER,uns,6100,,
qd,msdg.0,774,907,NARR,narr,dort,ADV,dort,6100,,
qd,msdg.0,774,907,NARR,narr,und,KON,und,6100,,
qd,msdg.0,774,907,NARR,narr,knallten,VVFIN,knallen,6100,,
qd,msdg.0,774,907,NARR,narr,.,$.,--,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Wahrhaftig,ADJD,wahrhaftig,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,",","$,",--,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,schon,ADV,schon,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,wieder,ADV,wieder,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,eine,ART,ein,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Stadt,NN,stadt,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,"!",$.,--,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Ich,PPER,ich,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,wette,VVFIN,wetten,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,",","$,",--,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,da,ADV,da,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,gibt's,VVFIN,gibt,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,wieder,ADV,wieder,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,die,ART,der,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,alte,ADJA,alt,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Geschichte,NN,geschichte,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,:,$.,--,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Weiße,ADJA,weiß,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Mädchen,NN,mädchen,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,und,KON,und,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,schwarzer,ADJA,schwarz,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Magistrat,NN,magistrat,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,",","$,",--,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Gute,ADJA,gut,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Leute,NN,leute,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,und,KON,und,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,schlechte,ADJA,schlecht,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Gedichte,NN,gedicht,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,",","$,",--,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Entsetzlich,ADJD,entsetzlich,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Geschrei,NN,geschrei,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,",","$,",--,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,das,PRELS,der,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,man,PIS,man,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Vivat,NN,vivat,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,nennt,VVFIN,nennen,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,–,PPER,–,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Man,PIS,man,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,kann,VMFIN,können,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,nicht,PTKNEG,nicht,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,treten,VVFIN,treten,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,vor,APPR,vor,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Kompliment,NN,kompliment,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,–,XY,–,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Das,PDS,der,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,halt,ADV,halt,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,',$[,--,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,der,ART,der,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Teufel,NN,teufel,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,aus,PTKVZ,aus,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,",","$,",--,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Gott's,FM,gott,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Sapperment,FM,sapperment,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,"!",$.,--,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Da,ADV,da,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,werf,VVFIN,werf,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,',$[,--,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,ich,PPER,ich,6100,KÖNIG,könig
qd,msdg.0,913,1771,KÖNIG,könig,von,APPR,von,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,mir,PPER,sich,6100,KÖNIG,könig
qd,msdg.0,913,1771,KÖNIG,könig,Kron,NE,kron,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,',$[,--,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,",","$,",--,6100,,
qd,msdg.0,913,1771,KÖNIG,könig,Szepter,NN,szepter,6100,,
