corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,mvr3.0,576,1115,_Stage,_Stage,Scene,NN,scene,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,:,$.,--,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,Der,ART,der,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,Sitzungssaal,NN,sitzungssaal,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,im,APPRART,in,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,Rathaus,NN,rathaus,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,.,$.,--,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,Um,KOUI,um,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,einen,ART,ein,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,Tisch,NN,tisch,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,dreizehn,CARD,dreizehn,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,Stühle,NN,stuhl,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,",","$,",--,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,zwölf,CARD,zwölf,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,für,APPR,für,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,die,ART,der,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,Räte,NN,rat,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,",","$,",--,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,der,ART,der,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,dreizehnte,ADJA,dreizehnter,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,ist,VAFIN,sein,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,der,ART,der,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,Präsidentenstuhl,NN,präsidentenstuhl,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,",","$,",--,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,welcher,ADJA,welcher,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,erhöht,VVFIN,erhöhen,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,steht,VVFIN,stehen,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,.,$.,--,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,Zwei,CARD,zwei,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,große,ADJA,groß,32143,,
qd,mvr3.0,576,1115,_Stage,_Stage,Flügeltüren,NN,flügeltür,32143,,
