corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,n750.0,366,382,_Stage,_Stage,Cleon,NE,cleon,26337,,
qd,n750.0,366,382,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,366,382,_Stage,_Stage,Lottchen,NN,lottchen,26337,,
qd,n750.0,366,382,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,5163,5220,CLEON,cleon,Siegmund,NE,siegmund,26337,,
qd,n750.0,5163,5220,CLEON,cleon,tritt,VVFIN,treten,26337,,
qd,n750.0,5163,5220,CLEON,cleon,herein,PTKVZ,herein,26337,,
qd,n750.0,5163,5220,CLEON,cleon,",","$,",--,26337,,
qd,n750.0,5163,5220,CLEON,cleon,ohne,APPR,ohne,26337,,
qd,n750.0,5163,5220,CLEON,cleon,daß,KOUS,daß,26337,,
qd,n750.0,5163,5220,CLEON,cleon,ihn,PPER,ihn,26337,,
qd,n750.0,5163,5220,CLEON,cleon,Lottchen,NN,lottchen,26337,,
qd,n750.0,5163,5220,CLEON,cleon,gewahr,ADV,gewahr,26337,,
qd,n750.0,5163,5220,CLEON,cleon,wird,VAFIN,werden,26337,,
qd,n750.0,5163,5220,CLEON,cleon,.,$.,--,26337,,
qd,n750.0,6806,6832,_Stage,_Stage,Cleon,NE,cleon,26337,,
qd,n750.0,6806,6832,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,6806,6832,_Stage,_Stage,Lottchen,NN,lottchen,26337,,
qd,n750.0,6806,6832,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,6806,6832,_Stage,_Stage,Siegmund,NE,siegmund,26337,,
qd,n750.0,6806,6832,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,8033,8052,_Stage,_Stage,Lottchen,NN,lottchen,26337,,
qd,n750.0,8033,8052,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,8033,8052,_Stage,_Stage,Siegmund,NE,siegmund,26337,,
qd,n750.0,8033,8052,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,10994,11013,_Stage,_Stage,Die,ART,der,26337,,
qd,n750.0,10994,11013,_Stage,_Stage,Vorigen,NN,vorige,26337,,
qd,n750.0,10994,11013,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,10994,11013,_Stage,_Stage,Damis,NE,damis,26337,,
qd,n750.0,10994,11013,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,12914,12928,LOTTCHEN,lottchen,zu,PTKZU,zu,26337,,
qd,n750.0,12914,12928,LOTTCHEN,lottchen,Siegmunden,VVINF,siegmunde,26337,,
qd,n750.0,12914,12928,LOTTCHEN,lottchen,.,$.,--,26337,,
qd,n750.0,13333,13354,_Stage,_Stage,Die,ART,der,26337,,
qd,n750.0,13333,13354,_Stage,_Stage,Vorigen,NN,vorige,26337,,
qd,n750.0,13333,13354,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,13333,13354,_Stage,_Stage,Julchen,NN,julchen,26337,,
qd,n750.0,13333,13354,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,13488,13509,JULCHEN,julchen,Sie,PPER,sie,26337,,
qd,n750.0,13488,13509,JULCHEN,julchen,will,VMFIN,wollen,26337,,
qd,n750.0,13488,13509,JULCHEN,julchen,wieder,ADV,wieder,26337,,
qd,n750.0,13488,13509,JULCHEN,julchen,gehn,CARD,gehn,26337,,
qd,n750.0,13488,13509,JULCHEN,julchen,.,$.,--,26337,,
qd,n750.0,15196,15211,_Stage,_Stage,Julchen,NN,julchen,26337,,
qd,n750.0,15196,15211,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,15196,15211,_Stage,_Stage,Damis,NE,damis,26337,,
qd,n750.0,15196,15211,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,19299,19327,JULCHEN,julchen,Damis,NE,damis,26337,,
qd,n750.0,19299,19327,JULCHEN,julchen,sieht,VVFIN,sehen,26337,,
qd,n750.0,19299,19327,JULCHEN,julchen,sie,PPER,sie,26337,,
qd,n750.0,19299,19327,JULCHEN,julchen,zärtlich,ADJD,zärtlich,26337,,
qd,n750.0,19299,19327,JULCHEN,julchen,an,PTKVZ,an,26337,,
qd,n750.0,19299,19327,JULCHEN,julchen,.,$.,--,26337,,
qd,n750.0,20484,20495,DAMIS,damis,Er,PPER,er,26337,,
qd,n750.0,20484,20495,DAMIS,damis,geht,VVFIN,gehen,26337,,
qd,n750.0,20484,20495,DAMIS,damis,ab,PTKVZ,ab,26337,,
qd,n750.0,20484,20495,DAMIS,damis,.,$.,--,26337,,
qd,n750.0,20547,20562,_Stage,_Stage,Julchen,NN,julchen,26337,,
qd,n750.0,20547,20562,_Stage,_Stage,allein,ADV,allein,26337,,
qd,n750.0,20547,20562,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,20922,20955,_Stage,_Stage,Lottchen,NN,lottchen,26337,,
qd,n750.0,20922,20955,_Stage,_Stage,tritt,VVFIN,treten,26337,,
qd,n750.0,20922,20955,_Stage,_Stage,unvermerkt,ADJD,unvermerkt,26337,,
qd,n750.0,20922,20955,_Stage,_Stage,herein,PTKVZ,herein,26337,,
qd,n750.0,20922,20955,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,21054,21072,_Stage,_Stage,Julchen,NN,julchen,26337,,
qd,n750.0,21054,21072,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,21054,21072,_Stage,_Stage,Lottchen,NN,lottchen,26337,,
qd,n750.0,21054,21072,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,25442,25464,_Stage,_Stage,Julchen,NN,julchen,26337,,
qd,n750.0,25442,25464,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,25442,25464,_Stage,_Stage,Der,ART,der,26337,,
qd,n750.0,25442,25464,_Stage,_Stage,Magister,NN,magister,26337,,
qd,n750.0,25442,25464,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,32269,32289,_Stage,_Stage,Der,ART,der,26337,,
qd,n750.0,32269,32289,_Stage,_Stage,Magister,NN,magister,26337,,
qd,n750.0,32269,32289,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,32269,32289,_Stage,_Stage,Cleon,NE,cleon,26337,,
qd,n750.0,32269,32289,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,35725,35746,CLEON,cleon,Der,ART,der,26337,,
qd,n750.0,35725,35746,CLEON,cleon,Magister,NN,magister,26337,,
qd,n750.0,35725,35746,CLEON,cleon,geht,VVFIN,gehen,26337,,
qd,n750.0,35725,35746,CLEON,cleon,ab,PTKVZ,ab,26337,,
qd,n750.0,35725,35746,CLEON,cleon,.,$.,--,26337,,
qd,n750.0,35797,35813,_Stage,_Stage,Cleon,NE,cleon,26337,,
qd,n750.0,35797,35813,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,35797,35813,_Stage,_Stage,Lottchen,NN,lottchen,26337,,
qd,n750.0,35797,35813,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,35939,35945,CLEON,cleon,liest,VVFIN,lesen,26337,,
qd,n750.0,35939,35945,CLEON,cleon,.,$.,--,26337,,
qd,n750.0,41118,41137,_Stage,_Stage,Lottchen,NN,lottchen,26337,,
qd,n750.0,41118,41137,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,41118,41137,_Stage,_Stage,Siegmund,NE,siegmund,26337,,
qd,n750.0,41118,41137,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,43134,43149,_Stage,_Stage,Cleon,NE,cleon,26337,,
qd,n750.0,43134,43149,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,43134,43149,_Stage,_Stage,Julchen,NN,julchen,26337,,
qd,n750.0,43134,43149,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,48755,48770,_Stage,_Stage,Julchen,NN,julchen,26337,,
qd,n750.0,48755,48770,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,48755,48770,_Stage,_Stage,Damis,NE,damis,26337,,
qd,n750.0,48755,48770,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,50804,50814,JULCHEN,julchen,zerstreut,VVPP,zerstreuen,26337,,
qd,n750.0,50804,50814,JULCHEN,julchen,.,$.,--,26337,,
qd,n750.0,51753,51761,JULCHEN,julchen,unruhig,ADJD,unruhig,26337,,
qd,n750.0,51753,51761,JULCHEN,julchen,.,$.,--,26337,,
qd,n750.0,52401,52417,_Stage,_Stage,Damis,NE,damis,26337,,
qd,n750.0,52401,52417,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,52401,52417,_Stage,_Stage,Lottchen,NN,lottchen,26337,,
qd,n750.0,52401,52417,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,56802,56852,LOTTCHEN,lottchen,Sie,PPER,sie,26337,,
qd,n750.0,56802,56852,LOTTCHEN,lottchen,geht,VVFIN,gehen,26337,,
qd,n750.0,56802,56852,LOTTCHEN,lottchen,und,KON,und,26337,,
qd,n750.0,56802,56852,LOTTCHEN,lottchen,bleibt,VVFIN,bleiben,26337,,
qd,n750.0,56802,56852,LOTTCHEN,lottchen,in,APPR,in,26337,,
qd,n750.0,56802,56852,LOTTCHEN,lottchen,der,ART,der,26337,,
qd,n750.0,56802,56852,LOTTCHEN,lottchen,Szene,NN,szene,26337,,
qd,n750.0,56802,56852,LOTTCHEN,lottchen,versteckt,VVFIN,verstecken,26337,,
qd,n750.0,56802,56852,LOTTCHEN,lottchen,stehen,VVINF,stehen,26337,,
qd,n750.0,56802,56852,LOTTCHEN,lottchen,.,$.,--,26337,,
qd,n750.0,56903,56918,_Stage,_Stage,Julchen,NN,julchen,26337,,
qd,n750.0,56903,56918,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,56903,56918,_Stage,_Stage,Damis,NE,damis,26337,,
qd,n750.0,56903,56918,_Stage,_Stage,.,$.,--,26337,,
qd,n750.0,56991,57010,DAMIS,damis,in,APPR,in,26337,,
qd,n750.0,56991,57010,DAMIS,damis,tiefen,ADJA,tief,26337,,
qd,n750.0,56991,57010,DAMIS,damis,Gedanken,NN,gedanke,26337,,
qd,n750.0,56991,57010,DAMIS,damis,.,$.,--,26337,,
qd,n750.0,57703,57709,DAMIS,damis,bange,VVFIN,bangen,26337,,
qd,n750.0,57703,57709,DAMIS,damis,.,$.,--,26337,,
qd,n750.0,57740,57763,JULCHEN,julchen,mit,APPR,mit,26337,,
qd,n750.0,57740,57763,JULCHEN,julchen,beweglicher,ADJA,beweglich,26337,,
qd,n750.0,57740,57763,JULCHEN,julchen,Stimme,NN,stimme,26337,,
qd,n750.0,57740,57763,JULCHEN,julchen,.,$.,--,26337,,
qd,n750.0,57852,57911,JULCHEN,julchen,Sie,PPER,sie,26337,,
qd,n750.0,57852,57911,JULCHEN,julchen,geht,VVFIN,gehen,26337,,
qd,n750.0,57852,57911,JULCHEN,julchen,.,$.,--,26337,,
qd,n750.0,57852,57911,JULCHEN,julchen,Er,PPER,er,26337,,
qd,n750.0,57852,57911,JULCHEN,julchen,sieht,VVFIN,sehen,26337,,
qd,n750.0,57852,57911,JULCHEN,julchen,ihr,PPOSAT,ihr,26337,,
qd,n750.0,57852,57911,JULCHEN,julchen,traurig,ADJD,traurig,26337,,
qd,n750.0,57852,57911,JULCHEN,julchen,nach,PTKVZ,nach,26337,,
qd,n750.0,57852,57911,JULCHEN,julchen,",","$,",--,26337,,
qd,n750.0,57852,57911,JULCHEN,julchen,und,KON,und,26337,,
qd,n750.0,57852,57911,JULCHEN,julchen,sie,PPER,sie,26337,,
qd,n750.0,57852,57911,JULCHEN,julchen,sieht,VVFIN,sehen,26337,,
qd,n750.0,57852,57911,JULCHEN,julchen,sich,PRF,sich,26337,,
qd,n750.0,57852,57911,JULCHEN,julchen,um,PTKVZ,um,26337,,
qd,n750.0,57852,57911,JULCHEN,julchen,.,$.,--,26337,,
qd,n750.0,58001,58021,DAMIS,damis,er,PPER,er,26337,,
qd,n750.0,58001,58021,DAMIS,damis,kommt,VVFIN,kommen,26337,,
qd,n750.0,58001,58021,DAMIS,damis,auf,APPR,auf,26337,,
qd,n750.0,58001,58021,DAMIS,damis,sie,PPER,sie,26337,,
qd,n750.0,58001,58021,DAMIS,damis,zu,PTKVZ,zu,26337,,
qd,n750.0,58001,58021,DAMIS,damis,.,$.,--,26337,,
qd,n750.0,58152,58192,DAMIS,damis,Er,PPER,er,26337,,
qd,n750.0,58152,58192,DAMIS,damis,küßt,VVFIN,küssen,26337,,
qd,n750.0,58152,58192,DAMIS,damis,ihr,PPOSAT,ihr,26337,,
qd,n750.0,58152,58192,DAMIS,damis,die,ART,der,26337,,
qd,n750.0,58152,58192,DAMIS,damis,Hand,NN,hand,26337,,
qd,n750.0,58152,58192,DAMIS,damis,und,KON,und,26337,,
qd,n750.0,58152,58192,DAMIS,damis,hält,VVFIN,halten,26337,,
qd,n750.0,58152,58192,DAMIS,damis,sie,PPER,sie,26337,,
qd,n750.0,58152,58192,DAMIS,damis,dabei,PROAV,dabei,26337,,
qd,n750.0,58152,58192,DAMIS,damis,.,$.,--,26337,,
qd,n750.0,58287,58302,JULCHEN,julchen,ganz,ADV,ganz,26337,,
qd,n750.0,58287,58302,JULCHEN,julchen,betroffen,ADJD,betreffen,26337,,
qd,n750.0,58287,58302,JULCHEN,julchen,.,$.,--,26337,,
qd,n750.0,58896,58913,JULCHEN,julchen,Sie,PPER,sie,26337,,
qd,n750.0,58896,58913,JULCHEN,julchen,sieht,VVFIN,sehen,26337,,
qd,n750.0,58896,58913,JULCHEN,julchen,ihn,PPER,ihn,26337,,
qd,n750.0,58896,58913,JULCHEN,julchen,an,PTKVZ,an,26337,,
qd,n750.0,58896,58913,JULCHEN,julchen,.,$.,--,26337,,
qd,n750.0,58985,59017,JULCHEN,julchen,Sie,PPER,sie,26337,,
qd,n750.0,58985,59017,JULCHEN,julchen,wendet,VVFIN,wenden,26337,,
qd,n750.0,58985,59017,JULCHEN,julchen,das,ART,der,26337,,
qd,n750.0,58985,59017,JULCHEN,julchen,Gesicht,NN,gesicht,26337,,
qd,n750.0,58985,59017,JULCHEN,julchen,beiseite,ADV,beiseite,26337,,
qd,n750.0,58985,59017,JULCHEN,julchen,.,$.,--,26337,,
qd,n750.0,59205,59236,JULCHEN,julchen,Sie,PPER,sie,26337,,
qd,n750.0,59205,59236,JULCHEN,julchen,will,VMFIN,wollen,26337,,
qd,n750.0,59205,59236,JULCHEN,julchen,ihre,PPOSAT,ihr,26337,,
qd,n750.0,59205,59236,JULCHEN,julchen,Tränen,NN,träne,26337,,
qd,n750.0,59205,59236,JULCHEN,julchen,verbergen,VVINF,verbergen,26337,,
qd,n750.0,59205,59236,JULCHEN,julchen,.,$.,--,26337,,
qd,n750.0,59325,59334,JULCHEN,julchen,für,APPR,für,26337,,
qd,n750.0,59325,59334,JULCHEN,julchen,sich,PRF,sich,26337,,
qd,n750.0,59325,59334,JULCHEN,julchen,.,$.,--,26337,,
