corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,Immer,ADV,immer,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,tadeln,VVFIN,tadeln,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,",","$,",--,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,nichts,PIS,nichts,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,als,APPR,als,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,tadeln,FM,tadeln,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,"!",$.,--,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,Glauben,NN,glauben,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,Sie,PPER,sie,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,denn,ADV,denn,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,",","$,",--,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,Steele,NN,steele,24020,,(1)
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,",","$,",--,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,daß,KOUS,daß,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,Sie,PPER,sie,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,sich,PRF,sich,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,damit,PROAV,damit,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,bei,APPR,bei,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,mir,PPER,sich,24020,,(0)
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,empfehlen,VVINF,empfehlen,24020,,
qd,p5c8.0,2407,2516,WEIBLICHE (MISS ELLEN,weibliche_stimme_miss_ellen,?,$.,--,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,Schöne,ADJA,schön,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,Freundin,NN,freundin,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,",","$,",--,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,wie,PWAV,wie,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,können,VMFIN,können,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,Sie,PPER,sie,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,das,ART,der,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,tadeln,NN,tadeln,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,nennen,VVINF,nennen,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,"!",$.,--,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,Sie,PPER,sie,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,spielten,VVFIN,spielen,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,gestern,ADV,gestern,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,die,ART,der,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,Herzogin,NN,herzogin,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,Anna,NE,anna,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,hinreißend,ADJD,hinreißend,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,",","$,",--,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,bewunderungswürdig,ADJD,bewunderungswürdig,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,;,$.,--,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,aber,KON,aber,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,Sie,PPER,sie,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,würden,VAFIN,werden,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,sie,PPER,sie,24020,,
qd,p5c8.0,2521,2996,STELLE,steele,vollkommener,ADJA,vollkommen,24020,,
