corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,p5cg.0,2608,2612,_Stage,_Stage,kein,PIAT,kein,19557,,
qd,p5cg.0,3214,3225,_Stage,_Stage,berechtigte,ADJA,berechtigen,19557,,
qd,p5cg.0,3336,3346,_Stage,_Stage,Gegendruck,NN,gegendruck,19557,,
qd,p5cg.0,3504,3541,_Stage,_Stage,keinem,PIAT,kein,19557,,
qd,p5cg.0,3504,3541,_Stage,_Stage,Juden,NN,Jude,19557,,
qd,p5cg.0,3504,3541,_Stage,_Stage,unverständlich,ADJD,unverständlich,19557,,
qd,p5cg.0,3504,3541,_Stage,_Stage,geblieben,VVPP,bleiben,19557,,
qd,p5cg.0,3614,3622,_Stage,_Stage,Familie,NN,familie,19557,,
qd,p5cg.0,3614,3622,_Stage,_Stage,"!",$.,--,19557,,
qd,p5cg.0,5144,5149,_Stage,_Stage,ihres,PPOSAT,ihr,19557,,
qd,p5cg.0,5339,5346,_Stage,_Stage,abrollt,ADJA,abrollen,19557,,
qd,p5cg.0,5468,5474,_Stage,_Stage,Helden,NN,held,19557,,
qd,p5cg.0,5518,5523,_Stage,_Stage,diese,PDAT,dieser,19557,,
qd,p5cg.0,6049,6054,_Stage,_Stage,Liebe,NN,liebe,19557,,
qd,p5cg.0,6221,6224,_Stage,_Stage,was,PWS,was,19557,,
qd,p5cg.0,6260,6263,_Stage,_Stage,wie,KOKOM,wie,19557,,
qd,p5cg.0,6292,6295,_Stage,_Stage,Wie,PWAV,wie,19557,,
qd,p5cg.0,6427,6433,_Stage,_Stage,selbst,ADV,selbst,19557,,
qd,p5cg.0,6461,6471,_Stage,_Stage,scheinbare,ADJA,scheinbar,19557,,
qd,p5cg.0,6955,6976,_Stage,_Stage,De,NE,de,19557,,(0
qd,p5cg.0,6955,6976,_Stage,_Stage,Silva,NE,silva,19557,,0)|(0)
qd,p5cg.0,6955,6976,_Stage,_Stage,.,$.,--,19557,,
qd,p5cg.0,6955,6976,_Stage,_Stage,Ben,NE,ben,19557,,
qd,p5cg.0,6955,6976,_Stage,_Stage,Jochai,NE,jochai,19557,,(1)
qd,p5cg.0,6955,6976,_Stage,_Stage,.,$.,--,19557,,
qd,p5cg.0,6989,7044,SILVA,silva,die,ART,der,19557,,
qd,p5cg.0,6989,7044,SILVA,silva,hintere,ADJA,hint,19557,,
qd,p5cg.0,6989,7044,SILVA,silva,Tür,NN,tür,19557,,
qd,p5cg.0,6989,7044,SILVA,silva,öffnend,ADJD,öffnend,19557,,
qd,p5cg.0,6989,7044,SILVA,silva,und,KON,und,19557,,
qd,p5cg.0,6989,7044,SILVA,silva,Jochai,NE,jochai,19557,,(1)
qd,p5cg.0,6989,7044,SILVA,silva,vor,APPR,vor,19557,,
qd,p5cg.0,6989,7044,SILVA,silva,sich,PRF,sich,19557,,
qd,p5cg.0,6989,7044,SILVA,silva,einlassend,ADJD,einlassend,19557,,
qd,p5cg.0,6989,7044,SILVA,silva,.,$.,--,19557,,
qd,p5cg.0,7274,7357,SILVA,silva,Nachdem,KOUS,nachdem,19557,,
qd,p5cg.0,7274,7357,SILVA,silva,er,PPER,er,19557,,
qd,p5cg.0,7274,7357,SILVA,silva,während,APPR,während,19557,,
qd,p5cg.0,7274,7357,SILVA,silva,dieser,PDAT,dieser,19557,,
qd,p5cg.0,7274,7357,SILVA,silva,Worte,NN,wort,19557,,
qd,p5cg.0,7274,7357,SILVA,silva,seinen,PPOSAT,sein,19557,,
qd,p5cg.0,7274,7357,SILVA,silva,Hut,NN,hut,19557,,
qd,p5cg.0,7274,7357,SILVA,silva,abgelegt,VVPP,ablegen,19557,,
qd,p5cg.0,7274,7357,SILVA,silva,hat,VAFIN,haben,19557,,
qd,p5cg.0,7274,7357,SILVA,silva,",","$,",--,19557,,
qd,p5cg.0,7274,7357,SILVA,silva,reicht,VVFIN,reichen,19557,,
qd,p5cg.0,7274,7357,SILVA,silva,er,PPER,er,19557,,
qd,p5cg.0,7274,7357,SILVA,silva,Jochai,NE,jochai,19557,,(1)
qd,p5cg.0,7274,7357,SILVA,silva,die,ART,der,19557,,
qd,p5cg.0,7274,7357,SILVA,silva,Hand,NN,hand,19557,,
qd,p5cg.0,7274,7357,SILVA,silva,.,$.,--,19557,,
qd,p5cg.0,8584,8637,JOCHAI,jochai,indem,KOUS,indem,19557,,
qd,p5cg.0,8584,8637,JOCHAI,jochai,er,PPER,er,19557,,
qd,p5cg.0,8584,8637,JOCHAI,jochai,de,NE,de,19557,,(0
