corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,Oh,ITJ,oh,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,"!",$.,--,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,in,APPR,in,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,der,ART,der,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,jachen,ADJA,jach,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,Unrast,NN,unrast,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,unsrer,ADJA,unsrer,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,Stunden,NN,stunde,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,ein,ART,ein,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,Weilchen,NN,weilchen,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,Frieden,NN,frieden,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,",","$,",--,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,Herrin,NN,herrin,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,"!",$.,--,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,Deine,ADJA,dein,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,Tochter,NN,tochter,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,schmückt,VVFIN,schmücken,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,sich,PRF,sich,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,.,$.,--,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,Die,ART,der,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,stille,ADJA,still,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,Abendfeier,NN,abendfeier,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,",","$,",--,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,wo,PWAV,wo,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,der,ART,der,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,kaiserliche,ADJA,kaiserlich,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,Herr,NN,herr,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,",","$,",--,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,ganz,ADV,ganz,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,hingegeben,VVPP,hingegeben,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,",","$,",--,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,dem,PRELS,der,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,Laut,APPR,laut,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,aus,APPR,aus,6706,,
qd,pkj1.0,965,1333,DIE DIENERIN,die_dienerin,Giwaus,NE,giwaus,6706,,
