corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,pkj2.0,402,784,bäuerin,477,480,Ich,bäuerin
qd,pkj2.0,954,1022,tine,1003,1006,ich,tine
qd,pkj2.0,1257,1441,tine,1353,1356,Ich,tine
qd,pkj2.0,1257,1441,tine,1409,1412,Ich,tine
qd,pkj2.0,2453,2744,viehhändler,2609,2612,ich,viehhändler
qd,pkj2.0,2453,2744,viehhändler,2613,2616,mir,viehhändler
qd,pkj2.0,2453,2744,viehhändler,2617,2622,meine,viehhändler
qd,pkj2.0,3121,3394,bäuerin,3328,3331,Mir,bäuerin
qd,pkj2.0,3725,4045,bauer,3865,3868,Ich,bauer
qd,pkj2.0,4050,4491,bauer,4217,4220,Ich,bauer
qd,pkj2.0,4050,4491,bauer,4341,4344,ich,bauer
qd,pkj2.0,5232,5296,bäuerin,5245,5249,mein,bäuerin
qd,pkj2.0,5232,5296,bäuerin,5256,5260,mein,bäuerin
qd,pkj2.0,5301,5448,viehhändler,5401,5404,mir,viehhändler
qd,pkj2.0,5453,5652,breite,5462,5465,Ich,breite
qd,pkj2.0,5785,5881,breite,5866,5869,Ich,breite
qd,pkj2.0,6092,6505,bauer,6117,6121,mich,bauer
qd,pkj2.0,6092,6505,bauer,6230,6234,mich,bauer
qd,pkj2.0,6092,6505,bauer,6340,6343,ich,bauer
qd,pkj2.0,6092,6505,bauer,6407,6410,Ich,bauer
qd,pkj2.0,6511,6658,viehhändler,6624,6628,mich,viehhändler
qd,pkj2.0,6511,6658,viehhändler,6644,6648,mich,viehhändler
qd,pkj2.0,6663,6758,bauer,6688,6691,ich,bauer
qd,pkj2.0,6663,6758,bauer,6714,6717,ich,bauer
qd,pkj2.0,7244,7614,bauer,7465,7468,Ich,bauer
qd,pkj2.0,7244,7614,bauer,7490,7493,Ich,bauer
qd,pkj2.0,7244,7614,bauer,7539,7542,mir,bauer
qd,pkj2.0,7700,7955,bauer,7755,7759,mich,bauer
qd,pkj2.0,7700,7955,bauer,7791,7794,mir,bauer
qd,pkj2.0,7700,7955,bauer,7837,7841,mich,bauer
qd,pkj2.0,7700,7955,bauer,7932,7935,Ich,bauer
qd,pkj2.0,7960,8019,bäuerin,7999,8002,ich,bäuerin
qd,pkj2.0,8074,8378,viehhändler,8160,8163,ich,viehhändler
qd,pkj2.0,8638,8739,ernsts_stimme,8712,8716,mich,ernsts_stimme
qd,pkj2.0,8638,8739,ernsts_stimme,8734,8738,mich,ernsts_stimme
qd,pkj2.0,8784,8875,ernsts_stimme,8807,8811,mich,ernsts_stimme
qd,pkj2.0,8784,8875,ernsts_stimme,8867,8870,ich,ernsts_stimme
qd,pkj2.0,8880,9005,joseph_schindler,8927,8932,meine,joseph_schindler
qd,pkj2.0,9010,9063,ernsts_stimme,9045,9048,ich,ernsts_stimme
qd,pkj2.0,9107,9306,breite,9285,9288,ich,breite
qd,pkj2.0,9311,9523,ernsts_stimme,9330,9333,Ich,ernsts_stimme
qd,pkj2.0,9311,9523,ernsts_stimme,9397,9400,ich,ernsts_stimme
qd,pkj2.0,9311,9523,ernsts_stimme,9434,9438,mich,ernsts_stimme
qd,pkj2.0,9311,9523,ernsts_stimme,9482,9485,ich,ernsts_stimme
qd,pkj2.0,9311,9523,ernsts_stimme,9486,9490,mich,ernsts_stimme
qd,pkj2.0,9578,9634,ernsts_stimme,9617,9620,ich,ernsts_stimme
qd,pkj2.0,9578,9634,ernsts_stimme,9626,9629,ich,ernsts_stimme
qd,pkj2.0,9748,9898,joseph_schindler,9882,9886,mich,joseph_schindler
qd,pkj2.0,9903,10080,ernsts_stimme,9987,9990,ich,ernsts_stimme
qd,pkj2.0,10085,10188,breite,10146,10149,ich,breite
qd,pkj2.0,10278,10423,joseph_schindler,10333,10336,ich,joseph_schindler
qd,pkj2.0,10603,10691,breite,10681,10684,ich,breite
