corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,pzj2.0,2363,2430,günther,2417,2423,meinen,günther
qd,pzj2.0,2435,2748,frowald,2445,2448,Ich,frowald
qd,pzj2.0,2753,2914,käsperle,2822,2825,ich,käsperle
qd,pzj2.0,3740,3797,fust,3747,3750,Ich,fust
qd,pzj2.0,3740,3797,fust,3769,3773,mich,fust
qd,pzj2.0,3802,3999,eckhard,3836,3839,ich,eckhard
qd,pzj2.0,3802,3999,eckhard,3980,3983,Ich,eckhard
qd,pzj2.0,4490,4661,eckhard,4536,4539,ich,eckhard
qd,pzj2.0,4490,4661,eckhard,4633,4636,ich,eckhard
qd,pzj2.0,4666,4753,fust,4709,4712,ich,fust
qd,pzj2.0,4863,4991,käsperle,4962,4965,Ich,käsperle
qd,pzj2.0,5484,5597,günther,5541,5544,ich,günther
qd,pzj2.0,5665,5744,günther,5699,5705,meinem,günther
qd,pzj2.0,5665,5744,günther,5714,5717,Ich,günther
qd,pzj2.0,5665,5744,günther,5723,5727,mein,günther
qd,pzj2.0,5749,5983,veit,5770,5774,mich,veit
qd,pzj2.0,5988,6036,günther,6020,6023,ich,günther
qd,pzj2.0,6120,6362,wallfahrer,6178,6181,mir,wallfahrer
qd,pzj2.0,6120,6362,wallfahrer,6187,6190,ich,wallfahrer
qd,pzj2.0,6120,6362,wallfahrer,6243,6248,meine,wallfahrer
qd,pzj2.0,6120,6362,wallfahrer,6296,6299,ich,wallfahrer
qd,pzj2.0,6120,6362,wallfahrer,6345,6348,mir,wallfahrer
qd,pzj2.0,6469,6767,wallfahrer,6512,6515,ich,wallfahrer
qd,pzj2.0,6469,6767,wallfahrer,6543,6546,ich,wallfahrer
qd,pzj2.0,6469,6767,wallfahrer,6611,6616,meine,wallfahrer
qd,pzj2.0,6469,6767,wallfahrer,6659,6663,mich,wallfahrer
qd,pzj2.0,6469,6767,wallfahrer,6679,6682,ich,wallfahrer
qd,pzj2.0,8093,8242,günther,8131,8134,ich,günther
qd,pzj2.0,8093,8242,günther,8187,8190,ich,günther
qd,pzj2.0,9434,9458,günther,9453,9456,ich,günther
qd,pzj2.0,9463,9610,wallfahrer,9476,9479,Ich,wallfahrer
qd,pzj2.0,10137,10180,günther,10169,10172,ich,günther
qd,pzj2.0,10333,10476,günther,10353,10356,mir,günther
qd,pzj2.0,10333,10476,günther,10378,10381,ich,günther
qd,pzj2.0,10482,10543,geist,10490,10493,Ich,geist
qd,pzj2.0,10482,10543,geist,10501,10504,ich,geist
qd,pzj2.0,10748,10894,käsperle,10809,10815,meinem,käsperle
qd,pzj2.0,10900,11062,günther,10913,10916,ich,günther
qd,pzj2.0,10900,11062,günther,11008,11011,ich,günther
qd,pzj2.0,11067,11230,käsperle,11126,11129,ich,käsperle
qd,pzj2.0,11067,11230,käsperle,11176,11179,ich,käsperle
qd,pzj2.0,11067,11230,käsperle,11180,11184,mich,käsperle
qd,pzj2.0,11267,11343,käsperle,11301,11304,Ich,käsperle
qd,pzj2.0,11348,11454,günther,11381,11385,mich,günther
qd,pzj2.0,11348,11454,günther,11419,11422,ich,günther
qd,pzj2.0,11348,11454,günther,11428,11431,mir,günther
qd,pzj2.0,11587,11663,günther,11636,11640,mich,günther
qd,pzj2.0,11840,11890,günther,11880,11883,ich,günther
qd,pzj2.0,12111,12168,günther,12133,12139,meinen,günther
qd,pzj2.0,12111,12168,günther,12163,12167,mich,günther
qd,pzj2.0,12173,12346,käsperle,12237,12241,mich,käsperle
qd,pzj2.0,12173,12346,käsperle,12256,12259,ich,käsperle
qd,pzj2.0,12173,12346,käsperle,12265,12268,mir,käsperle
qd,pzj2.0,12351,12397,günther,12385,12391,meinen,günther
qd,pzj2.0,12402,12463,käsperle,12444,12447,ich,käsperle
qd,pzj2.0,12468,12513,günther,12478,12481,Ich,günther
qd,pzj2.0,12604,12902,käsperle,12631,12634,Ich,käsperle
qd,pzj2.0,12604,12902,käsperle,12701,12704,ich,käsperle
qd,pzj2.0,12604,12902,käsperle,12772,12775,ich,käsperle
qd,pzj2.0,12604,12902,käsperle,12837,12840,ich,käsperle
qd,pzj2.0,12980,13112,käsperle,13050,13054,mich,käsperle
qd,pzj2.0,12980,13112,käsperle,13077,13081,mich,käsperle
qd,pzj2.0,13117,13172,hans,13134,13138,mich,hans
qd,pzj2.0,13117,13172,hans,13152,13155,ich,hans
qd,pzj2.0,13321,13454,käsperle,13350,13354,mein,käsperle
qd,pzj2.0,13321,13454,käsperle,13398,13402,mich,käsperle
qd,pzj2.0,13459,13554,hans,13484,13487,ich,hans
qd,pzj2.0,13459,13554,hans,13543,13546,mir,hans
qd,pzj2.0,13592,13765,hans,13611,13614,ich,hans
qd,pzj2.0,13592,13765,hans,13657,13660,ich,hans
qd,pzj2.0,13592,13765,hans,13690,13693,ich,hans
qd,pzj2.0,13592,13765,hans,13694,13698,mich,hans
qd,pzj2.0,13592,13765,hans,13704,13710,meinem,hans
qd,pzj2.0,13592,13765,hans,13756,13759,mir,hans
qd,pzj2.0,13802,13887,hans,13821,13824,mir,hans
qd,pzj2.0,13802,13887,hans,13862,13866,mein,hans
qd,pzj2.0,13892,14558,käsperle,13917,13920,ich,käsperle
qd,pzj2.0,13892,14558,käsperle,13958,13961,ich,käsperle
qd,pzj2.0,13892,14558,käsperle,14015,14018,ich,käsperle
qd,pzj2.0,13892,14558,käsperle,14024,14028,mich,käsperle
qd,pzj2.0,13892,14558,käsperle,14136,14139,ich,käsperle
qd,pzj2.0,13892,14558,käsperle,14140,14144,mich,käsperle
qd,pzj2.0,13892,14558,käsperle,14256,14259,ich,käsperle
qd,pzj2.0,13892,14558,käsperle,14290,14294,mich,käsperle
qd,pzj2.0,13892,14558,käsperle,14492,14495,ich,käsperle
qd,pzj2.0,14980,15096,örtchen,15026,15029,ich,örtchen
qd,pzj2.0,14980,15096,örtchen,15056,15062,meinem,örtchen
qd,pzj2.0,15101,15198,hans,15156,15159,ich,hans
qd,pzj2.0,15242,15448,hans,15254,15257,ich,hans
qd,pzj2.0,15242,15448,hans,15331,15337,meiner,hans
qd,pzj2.0,15242,15448,hans,15343,15346,ich,hans
qd,pzj2.0,15600,15672,hans,15635,15638,ich,hans
qd,pzj2.0,15600,15672,hans,15647,15650,ich,hans
qd,pzj2.0,16094,16260,hans,16106,16109,mir,hans
