corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,pzj2.0,1063,1346,_Stage,_Stage,Herberge,NN,herberg,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,an,APPR,an,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,der,ART,der,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Strasse,NN,strasse,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,des,ART,der,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Wienerbergs,NN,wienerberg,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Günther,NE,günther,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,von,APPR,von,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Schwarzenau,NE,schwarzenau,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,.,$.,--,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Eckard,NE,eckard,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,.,$.,--,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Fust,NN,fust,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,von,APPR,von,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Kleeberg,NE,kleeberg,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,.,$.,--,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Bodo,NE,bodo,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,und,KON,und,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Wallberg,NE,wallberg,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,zechen,VVFIN,zechen,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,wacker,ADJD,wacker,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,.,$.,--,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Der,ART,der,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Minnesänger,NN,minnesänger,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Frowald,NE,frowald,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,sitzt,VVFIN,sitzen,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,unter,APPR,unter,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,ihnen,PPER,ihnen,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,",","$,",--,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,spielt,VVFIN,spielen,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,auf,APPR,auf,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,der,ART,der,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Laute,NN,laute,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,und,KON,und,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,singt,VVFIN,singen,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,.,$.,--,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Mehrere,PIAT,mehrere,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Knappen,NN,knappe,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,und,KON,und,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Knechte,NN,knecht,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,.,$.,--,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Käsperle,NE,käsperle,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,.,$.,--,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Veit,NN,veit,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Schneck,NE,schneck,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,.,$.,--,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Hans,NE,hans,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,",","$,",--,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,sein,PPOSAT,sein,18190,,
qd,pzj2.0,1063,1346,_Stage,_Stage,Bube,NN,bube,18190,,
