corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,pzj2.0,1991,2089,FUST,fust,Recht,NN,recht,18190,,
qd,pzj2.0,1991,2089,FUST,fust,so,ADV,so,18190,,
qd,pzj2.0,1991,2089,FUST,fust,–,XY,–,18190,,
qd,pzj2.0,1991,2089,FUST,fust,junger,ADJA,jung,18190,,
qd,pzj2.0,1991,2089,FUST,fust,Mann,NN,mann,18190,,(28)
qd,pzj2.0,1991,2089,FUST,fust,"!",$.,--,18190,,
qd,pzj2.0,1991,2089,FUST,fust,hast's,ADV,hast,18190,,
qd,pzj2.0,1991,2089,FUST,fust,in,APPR,in,18190,,
qd,pzj2.0,1991,2089,FUST,fust,deiner,ADJA,dein,18190,,
qd,pzj2.0,1991,2089,FUST,fust,Kunst,NN,kunst,18190,,
qd,pzj2.0,1991,2089,FUST,fust,weit,ADJD,weit,18190,,
qd,pzj2.0,1991,2089,FUST,fust,gebracht,VVPP,bringen,18190,,
qd,pzj2.0,1991,2089,FUST,fust,.,$.,--,18190,,
qd,pzj2.0,1991,2089,FUST,fust,Woher,PWAV,woher,18190,,
qd,pzj2.0,1991,2089,FUST,fust,kommst,VVFIN,kommen,18190,,
qd,pzj2.0,1991,2089,FUST,fust,du,PPER,du,18190,,
qd,pzj2.0,1991,2089,FUST,fust,"!",$.,--,18190,,
qd,pzj2.0,2094,2358,FROWALD,frowald,Von,APPR,von,18190,,
qd,pzj2.0,2094,2358,FROWALD,frowald,Wien,NE,wien,18190,,
qd,pzj2.0,2094,2358,FROWALD,frowald,",","$,",--,18190,,
qd,pzj2.0,2094,2358,FROWALD,frowald,edler,ADJA,edel,18190,,
qd,pzj2.0,2094,2358,FROWALD,frowald,Herr,NN,herr,18190,,
qd,pzj2.0,2094,2358,FROWALD,frowald,"!",$.,--,18190,,
qd,pzj2.0,2094,2358,FROWALD,frowald,bin,VAFIN,sein,18190,,
qd,pzj2.0,2094,2358,FROWALD,frowald,dort,ADV,dort,18190,,
qd,pzj2.0,2094,2358,FROWALD,frowald,schon,ADV,schon,18190,,
qd,pzj2.0,2094,2358,FROWALD,frowald,sieben,CARD,sieben,18190,,
