corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,qdqn.0,889,996,DER FISCHER,der_fischer,',$[,--,26072,,
qd,qdqn.0,889,996,DER FISCHER,der_fischer,s,PPER,--,26072,,
qd,qdqn.0,889,996,DER FISCHER,der_fischer,ist,VAFIN,sein,26072,,
qd,qdqn.0,889,996,DER FISCHER,der_fischer,niemand,PIS,niemand,26072,,
qd,qdqn.0,889,996,DER FISCHER,der_fischer,da,ADV,da,26072,,
qd,qdqn.0,889,996,DER FISCHER,der_fischer,.,$.,--,26072,,
qd,qdqn.0,1001,1107,FRAU,frau,Nu,NE,nu,26072,,
qd,qdqn.0,1001,1107,FRAU,frau,",","$,",--,26072,,
qd,qdqn.0,1001,1107,FRAU,frau,hast,VAFIN,haben,26072,,
qd,qdqn.0,1001,1107,FRAU,frau,du,PPER,du,26072,,
qd,qdqn.0,1001,1107,FRAU,frau,ihrs,ADV,ihr,26072,,
qd,qdqn.0,1001,1107,FRAU,frau,gesagt,VVPP,sagen,26072,,
qd,qdqn.0,1001,1107,FRAU,frau,?,$.,--,26072,,
qd,qdqn.0,1001,1107,FRAU,frau,Hast,VAFIN,haben,26072,,
qd,qdqn.0,1001,1107,FRAU,frau,du,PPER,du,26072,,
qd,qdqn.0,1001,1107,FRAU,frau,sie,PPER,sie,26072,,
qd,qdqn.0,1001,1107,FRAU,frau,angeredet,VVFIN,anreden,26072,,
qd,qdqn.0,1001,1107,FRAU,frau,um,APPR,um,26072,,
qd,qdqn.0,1001,1107,FRAU,frau,den,ART,der,26072,,
qd,qdqn.0,1001,1107,FRAU,frau,Dienst,NN,dienst,26072,,
qd,qdqn.0,1001,1107,FRAU,frau,?,$.,--,26072,,
qd,qdqn.0,1113,1205,DER FISCHER,der_fischer,Sie,PPER,sie,26072,,
qd,qdqn.0,1113,1205,DER FISCHER,der_fischer,hat,VAFIN,haben,26072,,
qd,qdqn.0,1113,1205,DER FISCHER,der_fischer,ja,ADV,ja,26072,,
qd,qdqn.0,1113,1205,DER FISCHER,der_fischer,doch,ADV,doch,26072,,
