corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,qfxj.0,3236,3465,FRANZ,franz,LOUISE,NE,louise,7815,,(2)
qd,qfxj.0,3236,3465,FRANZ,franz,.,$.,--,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,Uns,PPER,uns,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,trennet,VVFIN,trennen,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,kein,PIAT,kein,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,Schicksal,NN,schicksal,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,",","$,",--,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,uns,PPER,uns,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,trennet,VVFIN,trennet,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,kein,PIAT,kein,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,Schmerz,NN,schmerz,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,",","$,",--,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,Uns,PPER,uns,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,trennet,VVFIN,trennen,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,kein,PIAT,kein,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,Schmerz,NN,schmerz,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,;,$.,--,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,Wir,PPER,wir,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,halten,VVFIN,halten,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,zusammen,PTKVZ,zusammen,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,",","$,",--,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,In,APPR,in,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,Fluthen,NN,fluthen,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,und,KON,und,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,Flammen,NN,flamme,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,",","$,",--,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,In,APPR,in,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,Freuden,NN,freude,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,und,KON,und,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,Leiden,NN,leiden,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,bewährt,VVPP,bewähren,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,sich,PRF,sich,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,das,ART,der,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,Herz,NN,herz,7815,,
qd,qfxj.0,3236,3465,FRANZ,franz,.,$.,--,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,Ich,PPER,ich,7815,,(1)
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,will,VMFIN,wollen,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,dich,PRF,dich,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,schon,ADV,schon,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,trennen,VVINF,trennen,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,",","$,",--,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,rebellische,ADJA,rebellisch,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,Brut,NN,--,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,",","$,",--,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,Rebellische,ADJA,rebellisch,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,Brut,NN,--,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,"!",$.,--,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,Dich,ADV,dich,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,schick,ADJD,schick,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,',$[,--,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,ich,PPER,ich,7815,,(1)
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,zurücke,VVFIN,zurücken,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,",","$,",--,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,Ihr,PPOSAT,ihr,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,brech,ADJD,brech,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,',$[,--,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,ich,PPER,ich,7815,,(1)
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,das,ART,der,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,Genicke,NN,genicke,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,",","$,",--,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,Wenn,KOUS,wenn,7815,,
qd,qfxj.0,3471,3653,KOTZELUCH,kotzeluch,sie,PPER,sie,7815,,
