corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,qkmq.0,2405,2521,MATTHES,matthes,Rudolph,NE,rudolph,32097,,(1)
qd,qkmq.0,2405,2521,MATTHES,matthes,–,XY,–,32097,,
qd,qkmq.0,2405,2521,MATTHES,matthes,Rudolph,NN,rudolph,32097,,(1)
qd,qkmq.0,2405,2521,MATTHES,matthes,"!",$.,--,32097,,
qd,qkmq.0,2405,2521,MATTHES,matthes,Der,ART,der,32097,,
qd,qkmq.0,2405,2521,MATTHES,matthes,Kerl,NN,kerl,32097,,
qd,qkmq.0,2405,2521,MATTHES,matthes,ist,VAFIN,sein,32097,,
qd,qkmq.0,2405,2521,MATTHES,matthes,taub,ADJD,taub,32097,,
qd,qkmq.0,2405,2521,MATTHES,matthes,.,$.,--,32097,,
qd,qkmq.0,2405,2521,MATTHES,matthes,He,NN,--,32097,,
qd,qkmq.0,2405,2521,MATTHES,matthes,",","$,",--,32097,,
qd,qkmq.0,2405,2521,MATTHES,matthes,Rudolph,NE,rudolph,32097,,(1)
qd,qkmq.0,2405,2521,MATTHES,matthes,"!",$.,--,32097,,
qd,qkmq.0,2405,2521,MATTHES,matthes,–,XY,–,32097,,
qd,qkmq.0,2526,2558,RUDOLPH,rudolph,Was,PWS,was,32097,,
qd,qkmq.0,2526,2558,RUDOLPH,rudolph,gibt's,VVFIN,gibt,32097,,
qd,qkmq.0,2526,2558,RUDOLPH,rudolph,?,$.,--,32097,,
qd,qkmq.0,2563,2596,MATTHES,matthes,Ich,PPER,ich,32097,,(0)
qd,qkmq.0,2563,2596,MATTHES,matthes,will,VMFIN,wollen,32097,,
qd,qkmq.0,2563,2596,MATTHES,matthes,dir,PRF,dir,32097,,
qd,qkmq.0,2563,2596,MATTHES,matthes,was,PIS,was,32097,,
qd,qkmq.0,2563,2596,MATTHES,matthes,sagen,VVINF,sagen,32097,,
qd,qkmq.0,2563,2596,MATTHES,matthes,.,$.,--,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,Ich,PPER,ich,32097,,(1)
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,habe,VAFIN,haben,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,keine,PIAT,kein,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,Zeit,NN,zeit,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,–,APPR,–,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,der,ART,der,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,Alte,NN,alte,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,ist,VAFIN,sein,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,grämlich,ADJD,grämlich,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,",","$,",--,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,daß,KOUS,daß,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,wir,PPER,wir,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,noch,ADV,noch,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,nicht,PTKNEG,nicht,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,fort,PTKVZ,fort,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,sind,VAFIN,sein,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,.,$.,--,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,–,XY,–,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,Da,KOUS,da,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,–,XY,–,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,halt,ADV,halt,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,einmal,ADV,einmal,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,",","$,",--,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,ich,PPER,ich,32097,,(1)
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,will,VMFIN,wollen,32097,,
qd,qkmq.0,2601,2748,RUDOLPH,rudolph,–,XY,–,32097,,
qd,qkmq.0,2753,2828,MATTHES,matthes,Eure,FM,euer,32097,,
qd,qkmq.0,2753,2828,MATTHES,matthes,Gewehre,FM,gewehr,32097,,
qd,qkmq.0,2753,2828,MATTHES,matthes,?,$.,--,32097,,
qd,qkmq.0,2753,2828,MATTHES,matthes,Ich,PPER,ich,32097,,(0)
qd,qkmq.0,2753,2828,MATTHES,matthes,bin,VAFIN,sein,32097,,
qd,qkmq.0,2753,2828,MATTHES,matthes,ein,ART,ein,32097,,
qd,qkmq.0,2753,2828,MATTHES,matthes,schlechter,ADJD,schlecht,32097,,
qd,qkmq.0,2753,2828,MATTHES,matthes,Kerl,NN,kerl,32097,,
qd,qkmq.0,2753,2828,MATTHES,matthes,",","$,",--,32097,,
qd,qkmq.0,2753,2828,MATTHES,matthes,wenn,KOUS,wenn,32097,,
qd,qkmq.0,2753,2828,MATTHES,matthes,ich,PPER,ich,32097,,(0)
qd,qkmq.0,2753,2828,MATTHES,matthes,eins,CARD,einer,32097,,
qd,qkmq.0,2753,2828,MATTHES,matthes,anrühre,ADJA,anrühren,32097,,
qd,qkmq.0,2753,2828,MATTHES,matthes,"!",$.,--,32097,,
qd,qkmq.0,2833,2884,RUDOLPH,rudolph,Hoho,NE,hoho,32097,,
qd,qkmq.0,2833,2884,RUDOLPH,rudolph,"!",$.,--,32097,,
qd,qkmq.0,2833,2884,RUDOLPH,rudolph,Das,PDS,der,32097,,
qd,qkmq.0,2833,2884,RUDOLPH,rudolph,wird,VAFIN,werden,32097,,
qd,qkmq.0,2833,2884,RUDOLPH,rudolph,dir,PPER,dir,32097,,
qd,qkmq.0,2833,2884,RUDOLPH,rudolph,der,ART,der,32097,,
qd,qkmq.0,2833,2884,RUDOLPH,rudolph,Alte,ADJA,alte,32097,,
qd,qkmq.0,2833,2884,RUDOLPH,rudolph,schon,ADV,schon,32097,,
qd,qkmq.0,2833,2884,RUDOLPH,rudolph,weisen,VVINF,weisen,32097,,
qd,qkmq.0,2833,2884,RUDOLPH,rudolph,.,$.,--,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,Mit,APPR,mit,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,dem,ART,der,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,Weisen,NN,weise,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,hat,VAFIN,haben,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,es,PPER,es,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,sich,PRF,sich,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,wohl,ADV,wohl,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,.,$.,--,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,Meine,PPOSAT,mein,32097,,(0)
qd,qkmq.0,2889,2990,MATTHES,matthes,Zeit,NN,zeit,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,ist,VAFIN,sein,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,um,PTKVZ,um,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,.,$.,--,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,–,XY,–,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,Heute,ADV,heute,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,mittag,ADV,mittag,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,trag,VVFIN,trag,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,ich,PPER,ich,32097,,(0)
qd,qkmq.0,2889,2990,MATTHES,matthes,die,ART,der,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,Amtslivree,NN,amtslivree,32097,,
qd,qkmq.0,2889,2990,MATTHES,matthes,.,$.,--,32097,,
qd,qkmq.0,2995,3030,RUDOLPH,rudolph,Du,PPER,du,32097,,
