corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,r2r7.0,536,555,_Stage,_Stage,Herrmann,NE,herrmann,28177,,(0)
qd,r2r7.0,536,555,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,536,555,_Stage,_Stage,Caroline,NE,caroline,28177,,(1)
qd,r2r7.0,536,555,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,11441,11448,CAROLINE,caroline,allein,ADV,allein,28177,,
qd,r2r7.0,11441,11448,CAROLINE,caroline,.,$.,--,28177,,
qd,r2r7.0,12829,12846,_Stage,_Stage,Arnold,NE,arnold,28177,,(2)
qd,r2r7.0,12829,12846,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,12829,12846,_Stage,_Stage,Caroline,NE,caroline,28177,,(1)
qd,r2r7.0,12829,12846,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,13098,13113,CAROLINE,caroline,Sie,PPER,sie,28177,,
qd,r2r7.0,13098,13113,CAROLINE,caroline,will,VMFIN,wollen,28177,,
qd,r2r7.0,13098,13113,CAROLINE,caroline,gehen,VVINF,gehen,28177,,
qd,r2r7.0,13098,13113,CAROLINE,caroline,.,$.,--,28177,,
qd,r2r7.0,14333,14343,ARNOLD,arnold,Er,PPER,er,28177,,
qd,r2r7.0,14333,14343,ARNOLD,arnold,weinet,VVFIN,weinen,28177,,
qd,r2r7.0,14333,14343,ARNOLD,arnold,.,$.,--,28177,,
qd,r2r7.0,17262,17277,CAROLINE,caroline,Sie,PPER,sie,28177,,
qd,r2r7.0,17262,17277,CAROLINE,caroline,will,VMFIN,wollen,28177,,
qd,r2r7.0,17262,17277,CAROLINE,caroline,gehen,VVINF,gehen,28177,,
qd,r2r7.0,17262,17277,CAROLINE,caroline,.,$.,--,28177,,
qd,r2r7.0,17329,17355,_Stage,_Stage,Herrmann,NE,herrmann,28177,,(0)
qd,r2r7.0,17329,17355,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,17329,17355,_Stage,_Stage,Arnold,NE,arnold,28177,,(2)
qd,r2r7.0,17329,17355,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,17329,17355,_Stage,_Stage,Caroline,NE,caroline,28177,,(1)
qd,r2r7.0,18525,18576,CAROLINE,caroline,Sie,PPER,sie,28177,,
qd,r2r7.0,18525,18576,CAROLINE,caroline,küsset,VVFIN,küssen,28177,,
qd,r2r7.0,18525,18576,CAROLINE,caroline,ihn,PPER,ihn,28177,,
qd,r2r7.0,18525,18576,CAROLINE,caroline,",","$,",--,28177,,
qd,r2r7.0,18525,18576,CAROLINE,caroline,und,KON,und,28177,,
qd,r2r7.0,18525,18576,CAROLINE,caroline,fährt,VVFIN,fahren,28177,,
qd,r2r7.0,18525,18576,CAROLINE,caroline,fort,PTKVZ,fort,28177,,
qd,r2r7.0,18525,18576,CAROLINE,caroline,zum,APPRART,zu,28177,,
qd,r2r7.0,18525,18576,CAROLINE,caroline,Arnold,NE,arnold,28177,,(2)
qd,r2r7.0,18525,18576,CAROLINE,caroline,zu,PTKZU,zu,28177,,
qd,r2r7.0,18525,18576,CAROLINE,caroline,sagen,VVINF,sagen,28177,,
qd,r2r7.0,18525,18576,CAROLINE,caroline,.,$.,--,28177,,
qd,r2r7.0,18986,19003,_Stage,_Stage,Herrmann,NE,herrmann,28177,,(0)
qd,r2r7.0,18986,19003,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,18986,19003,_Stage,_Stage,Arnold,NE,arnold,28177,,(2)
qd,r2r7.0,18986,19003,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,21256,21264,HERRMANN,herrmann,lachend,ADJD,lachend,28177,,
qd,r2r7.0,21256,21264,HERRMANN,herrmann,.,$.,--,28177,,
qd,r2r7.0,22790,22797,ARNOLD,arnold,allein,ADV,allein,28177,,
qd,r2r7.0,22790,22797,ARNOLD,arnold,.,$.,--,28177,,
qd,r2r7.0,24902,24929,_Stage,_Stage,Der,ART,der,28177,,(3
qd,r2r7.0,24902,24929,_Stage,_Stage,Graf,NN,graf,28177,,3)
qd,r2r7.0,24902,24929,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,24902,24929,_Stage,_Stage,Arnold,NE,arnold,28177,,(2)
qd,r2r7.0,24902,24929,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,24902,24929,_Stage,_Stage,Valentin,NE,valentin,28177,,(4)
qd,r2r7.0,24902,24929,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,24942,24963,DER GRAF,der_graf,prügelt,VVFIN,prügeln,28177,,
qd,r2r7.0,24942,24963,DER GRAF,der_graf,den,ART,der,28177,,
qd,r2r7.0,24942,24963,DER GRAF,der_graf,Valentin,NE,valentin,28177,,(4)
qd,r2r7.0,24942,24963,DER GRAF,der_graf,.,$.,--,28177,,
qd,r2r7.0,25316,25339,DER GRAF,der_graf,Wird,VAFIN,werden,28177,,
qd,r2r7.0,25316,25339,DER GRAF,der_graf,den,ART,der,28177,,
qd,r2r7.0,25316,25339,DER GRAF,der_graf,Arnold,NE,arnold,28177,,(2)
qd,r2r7.0,25316,25339,DER GRAF,der_graf,gewahr,ADV,gewahr,28177,,
qd,r2r7.0,25316,25339,DER GRAF,der_graf,.,$.,--,28177,,
qd,r2r7.0,25961,26017,DER GRAF,der_graf,Valentin,NE,valentin,28177,,(4)
qd,r2r7.0,25961,26017,DER GRAF,der_graf,geht,VVFIN,gehen,28177,,
qd,r2r7.0,25961,26017,DER GRAF,der_graf,ab,PTKVZ,ab,28177,,
qd,r2r7.0,25961,26017,DER GRAF,der_graf,",","$,",--,28177,,
qd,r2r7.0,25961,26017,DER GRAF,der_graf,und,KON,und,28177,,
qd,r2r7.0,25961,26017,DER GRAF,der_graf,höhnt,VVFIN,höhnen,28177,,
qd,r2r7.0,25961,26017,DER GRAF,der_graf,den,ART,der,28177,,
qd,r2r7.0,25961,26017,DER GRAF,der_graf,Hofmeister,NN,hofmeister,28177,,
qd,r2r7.0,25961,26017,DER GRAF,der_graf,heimlich,ADJD,heimlich,28177,,
qd,r2r7.0,25961,26017,DER GRAF,der_graf,aus,PTKVZ,aus,28177,,
qd,r2r7.0,25961,26017,DER GRAF,der_graf,.,$.,--,28177,,
qd,r2r7.0,26067,26084,_Stage,_Stage,Der,ART,der,28177,,(3
qd,r2r7.0,26067,26084,_Stage,_Stage,Graf,NN,graf,28177,,3)
qd,r2r7.0,26067,26084,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,26067,26084,_Stage,_Stage,Arnold,NE,arnold,28177,,(2)
qd,r2r7.0,26067,26084,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,28945,28997,DER GRAF,der_graf,schüttelt,VVFIN,schütteln,28177,,
qd,r2r7.0,28945,28997,DER GRAF,der_graf,den,ART,der,28177,,
qd,r2r7.0,28945,28997,DER GRAF,der_graf,Arnolden,NN,arnolden,28177,,
qd,r2r7.0,28945,28997,DER GRAF,der_graf,vor,APPR,vor,28177,,
qd,r2r7.0,28945,28997,DER GRAF,der_graf,Freude,NN,freude,28177,,
qd,r2r7.0,28945,28997,DER GRAF,der_graf,bey,VVFIN,bey,28177,,
qd,r2r7.0,28945,28997,DER GRAF,der_graf,dem,ART,der,28177,,
qd,r2r7.0,28945,28997,DER GRAF,der_graf,einen,ART,ein,28177,,
qd,r2r7.0,28945,28997,DER GRAF,der_graf,Ohr,NN,ohr,28177,,
qd,r2r7.0,28945,28997,DER GRAF,der_graf,.,$.,--,28177,,
qd,r2r7.0,30291,30316,DER GRAF,der_graf,Ende,NN,ende,28177,,
qd,r2r7.0,30291,30316,DER GRAF,der_graf,der,ART,der,28177,,
qd,r2r7.0,30291,30316,DER GRAF,der_graf,ersten,ADJA,erster,28177,,
qd,r2r7.0,30291,30316,DER GRAF,der_graf,Handlung,NN,handlung,28177,,
qd,r2r7.0,30291,30316,DER GRAF,der_graf,.,$.,--,28177,,
qd,r2r7.0,30382,30404,_Stage,_Stage,Die,ART,der,28177,,
qd,r2r7.0,30382,30404,_Stage,_Stage,Gräfinn,NN,gräfinn,28177,,
qd,r2r7.0,30382,30404,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,30382,30404,_Stage,_Stage,Caroline,NE,caroline,28177,,(1)
qd,r2r7.0,30382,30404,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,31768,31776,CAROLINE,caroline,boßhaft,ADJD,boßhaft,28177,,
qd,r2r7.0,31768,31776,CAROLINE,caroline,.,$.,--,28177,,
qd,r2r7.0,32019,32027,CAROLINE,caroline,boßhaft,ADJD,boßhaft,28177,,
qd,r2r7.0,32019,32027,CAROLINE,caroline,.,$.,--,28177,,
qd,r2r7.0,34769,34801,_Stage,_Stage,Die,ART,der,28177,,
qd,r2r7.0,34769,34801,_Stage,_Stage,Gräfinn,NN,gräfinn,28177,,
qd,r2r7.0,34769,34801,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,34769,34801,_Stage,_Stage,Caroline,NE,caroline,28177,,(1)
qd,r2r7.0,34769,34801,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,34769,34801,_Stage,_Stage,Valentin,NE,valentin,28177,,(4)
qd,r2r7.0,34769,34801,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,35933,35955,_Stage,_Stage,Die,ART,der,28177,,
qd,r2r7.0,35933,35955,_Stage,_Stage,Gräfinn,NN,gräfinn,28177,,
qd,r2r7.0,35933,35955,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,35933,35955,_Stage,_Stage,Caroline,NE,caroline,28177,,(1)
qd,r2r7.0,35933,35955,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,36518,36537,_Stage,_Stage,Herrmann,NE,herrmann,28177,,(0)
qd,r2r7.0,36518,36537,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,36518,36537,_Stage,_Stage,Caroline,NE,caroline,28177,,(1)
qd,r2r7.0,36518,36537,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,37057,37065,HERRMANN,herrmann,alleine,ADV,alleine,28177,,
qd,r2r7.0,37057,37065,HERRMANN,herrmann,.,$.,--,28177,,
qd,r2r7.0,37926,37947,_Stage,_Stage,Herrmann,NE,herrmann,28177,,(0)
qd,r2r7.0,37926,37947,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,37926,37947,_Stage,_Stage,Chrysander,NE,chrysander,28177,,(6)
qd,r2r7.0,37926,37947,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,38033,38050,HERRMANN,herrmann,Er,PPER,er,28177,,
qd,r2r7.0,38033,38050,HERRMANN,herrmann,will,VMFIN,wollen,28177,,
qd,r2r7.0,38033,38050,HERRMANN,herrmann,weggehen,VVINF,weggehen,28177,,
qd,r2r7.0,38033,38050,HERRMANN,herrmann,.,$.,--,28177,,
qd,r2r7.0,51168,51194,CHRYSANDER,chrysander,Er,PPER,er,28177,,
qd,r2r7.0,51168,51194,CHRYSANDER,chrysander,lacht,VVFIN,lachen,28177,,
qd,r2r7.0,51168,51194,CHRYSANDER,chrysander,aus,APPR,aus,28177,,
qd,r2r7.0,51168,51194,CHRYSANDER,chrysander,vollem,ADJA,voll,28177,,
qd,r2r7.0,51168,51194,CHRYSANDER,chrysander,Halse,NN,halse,28177,,
qd,r2r7.0,51168,51194,CHRYSANDER,chrysander,.,$.,--,28177,,
qd,r2r7.0,51507,51517,HERRMANN,herrmann,Er,PPER,er,28177,,
qd,r2r7.0,51507,51517,HERRMANN,herrmann,lieset,VVFIN,liesen,28177,,
qd,r2r7.0,51507,51517,HERRMANN,herrmann,.,$.,--,28177,,
qd,r2r7.0,52067,52075,HERRMANN,herrmann,lachend,ADJD,lachend,28177,,
qd,r2r7.0,52067,52075,HERRMANN,herrmann,.,$.,--,28177,,
qd,r2r7.0,52155,52165,CHRYSANDER,chrysander,bekümmert,VVFIN,bekümmern,28177,,
qd,r2r7.0,52155,52165,CHRYSANDER,chrysander,.,$.,--,28177,,
qd,r2r7.0,53131,53215,_Stage,_Stage,Der,ART,der,28177,,(3
qd,r2r7.0,53131,53215,_Stage,_Stage,Graf,NN,graf,28177,,3)
qd,r2r7.0,53131,53215,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,53131,53215,_Stage,_Stage,Chrysander,NN,chrysander,28177,,(6)
qd,r2r7.0,53131,53215,_Stage,_Stage,",","$,",--,28177,,
qd,r2r7.0,53131,53215,_Stage,_Stage,welcher,ADJA,welcher,28177,,
qd,r2r7.0,53131,53215,_Stage,_Stage,sich,PRF,sich,28177,,
qd,r2r7.0,53131,53215,_Stage,_Stage,furchtsam,ADJD,furchtsam,28177,,
qd,r2r7.0,53131,53215,_Stage,_Stage,auf,APPR,auf,28177,,
qd,r2r7.0,53131,53215,_Stage,_Stage,die,ART,der,28177,,
qd,r2r7.0,53131,53215,_Stage,_Stage,Seite,NN,seite,28177,,
qd,r2r7.0,53131,53215,_Stage,_Stage,ziehet,VVFIN,ziehen,28177,,
qd,r2r7.0,53131,53215,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,53131,53215,_Stage,_Stage,Hermann,NE,hermann,28177,,
qd,r2r7.0,53131,53215,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,53131,53215,_Stage,_Stage,Valetin,NN,valetin,28177,,
qd,r2r7.0,53131,53215,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,53533,53555,DER GRAF,der_graf,heimlich,ADJD,heimlich,28177,,
qd,r2r7.0,53533,53555,DER GRAF,der_graf,zum,APPRART,zu,28177,,
qd,r2r7.0,53533,53555,DER GRAF,der_graf,Herrmann,NE,herrmann,28177,,(0)
qd,r2r7.0,53533,53555,DER GRAF,der_graf,.,$.,--,28177,,
qd,r2r7.0,53722,53753,_Stage,_Stage,Der,ART,der,28177,,(3
qd,r2r7.0,53722,53753,_Stage,_Stage,Graf,NN,graf,28177,,3)
qd,r2r7.0,53722,53753,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,53722,53753,_Stage,_Stage,Chrysander,NE,chrysander,28177,,(6)
qd,r2r7.0,53722,53753,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,53722,53753,_Stage,_Stage,Valentin,NE,valentin,28177,,(4)
qd,r2r7.0,53722,53753,_Stage,_Stage,.,$.,--,28177,,
qd,r2r7.0,53768,53778,CHRYSANDER,chrysander,furchtsam,ADJD,furchtsam,28177,,
qd,r2r7.0,53768,53778,CHRYSANDER,chrysander,.,$.,--,28177,,
qd,r2r7.0,53981,53999,DER GRAF,der_graf,nimmt,VVFIN,nehmen,28177,,
qd,r2r7.0,53981,53999,DER GRAF,der_graf,das,ART,der,28177,,
qd,r2r7.0,53981,53999,DER GRAF,der_graf,Gedicht,NN,gedicht,28177,,
qd,r2r7.0,53981,53999,DER GRAF,der_graf,.,$.,--,28177,,
qd,r2r7.0,54062,54095,DER GRAF,der_graf,Er,PPER,er,28177,,
qd,r2r7.0,54062,54095,DER GRAF,der_graf,giebt,VVFIN,gieben,28177,,
qd,r2r7.0,54062,54095,DER GRAF,der_graf,das,ART,der,28177,,
qd,r2r7.0,54062,54095,DER GRAF,der_graf,Papier,NN,papier,28177,,
qd,r2r7.0,54062,54095,DER GRAF,der_graf,den,ART,der,28177,,
qd,r2r7.0,54062,54095,DER GRAF,der_graf,Valentin,NE,valentin,28177,,(4)
qd,r2r7.0,54062,54095,DER GRAF,der_graf,.,$.,--,28177,,
qd,r2r7.0,54250,54259,CHRYSANDER,chrysander,zitternd,ADJD,zitternd,28177,,
qd,r2r7.0,54250,54259,CHRYSANDER,chrysander,.,$.,--,28177,,
qd,r2r7.0,54954,54966,CHRYSANDER,chrysander,erschrocken,VVIZU,erschrocken,28177,,
qd,r2r7.0,54954,54966,CHRYSANDER,chrysander,.,$.,--,28177,,
qd,r2r7.0,55300,55309,DER GRAF,der_graf,beyseite,VVFIN,beyseiten,28177,,
qd,r2r7.0,55300,55309,DER GRAF,der_graf,.,$.,--,28177,,
qd,r2r7.0,55404,55409,DER GRAF,der_graf,Laut,APPR,laut,28177,,
qd,r2r7.0,55404,55409,DER GRAF,der_graf,.,$.,--,28177,,
qd,r2r7.0,55970,55978,DER GRAF,der_graf,lachend,ADJD,lachend,28177,,
qd,r2r7.0,55970,55978,DER GRAF,der_graf,.,$.,--,28177,,
qd,r2r7.0,56254,56271,DER GRAF,der_graf,Er,PPER,er,28177,,
qd,r2r7.0,56254,56271,DER GRAF,der_graf,will,VMFIN,wollen,28177,,
qd,r2r7.0,56254,56271,DER GRAF,der_graf,weggehen,VVINF,weggehen,28177,,
qd,r2r7.0,56254,56271,DER GRAF,der_graf,.,$.,--,28177,,
qd,r2r7.0,56289,56298,CHRYSANDER,chrysander,vor,APPR,vor,28177,,
qd,r2r7.0,56289,56298,CHRYSANDER,chrysander,sich,PRF,sich,28177,,
qd,r2r7.0,56289,56298,CHRYSANDER,chrysander,.,$.,--,28177,,
qd,r2r7.0,56470,56531,CHRYSANDER,chrysander,Er,PPER,er,28177,,
qd,r2r7.0,56470,56531,CHRYSANDER,chrysander,geht,VVFIN,gehen,28177,,
qd,r2r7.0,56470,56531,CHRYSANDER,chrysander,dem,ART,der,28177,,
qd,r2r7.0,56470,56531,CHRYSANDER,chrysander,Grafen,NN,grafe,28177,,
qd,r2r7.0,56470,56531,CHRYSANDER,chrysander,nach,PTKVZ,nach,28177,,
qd,r2r7.0,56470,56531,CHRYSANDER,chrysander,",","$,",--,28177,,
qd,r2r7.0,56470,56531,CHRYSANDER,chrysander,und,KON,und,28177,,
qd,r2r7.0,56470,56531,CHRYSANDER,chrysander,holt,VVFIN,holen,28177,,
qd,r2r7.0,56470,56531,CHRYSANDER,chrysander,ihn,PPER,ihn,28177,,
qd,r2r7.0,56470,56531,CHRYSANDER,chrysander,demüthig,ADJD,demüthig,28177,,
qd,r2r7.0,56470,56531,CHRYSANDER,chrysander,wieder,ADV,wieder,28177,,
qd,r2r7.0,56470,56531,CHRYSANDER,chrysander,zurück,PTKVZ,zurück,28177,,
qd,r2r7.0,56470,56531,CHRYSANDER,chrysander,.,$.,--,28177,,
qd,r2r7.0,56686,56750,CHRYSANDER,chrysander,Er,PPER,er,28177,,
qd,r2r7.0,56686,56750,CHRYSANDER,chrysander,zieht,VVFIN,ziehen,28177,,
qd,r2r7.0,56686,56750,CHRYSANDER,chrysander,eine,ART,ein,28177,,
qd,r2r7.0,56686,56750,CHRYSANDER,chrysander,neue,ADJA,neu,28177,,
qd,r2r7.0,56686,56750,CHRYSANDER,chrysander,kostbare,ADJA,kostbar,28177,,
qd,r2r7.0,56686,56750,CHRYSANDER,chrysander,Börse,NN,börse,28177,,
qd,r2r7.0,56686,56750,CHRYSANDER,chrysander,voller,ADJA,voll,28177,,
qd,r2r7.0,56686,56750,CHRYSANDER,chrysander,Ducaten,NN,ducat,28177,,
qd,r2r7.0,56686,56750,CHRYSANDER,chrysander,aus,APPR,aus,28177,,
qd,r2r7.0,56686,56750,CHRYSANDER,chrysander,der,ART,der,28177,,
qd,r2r7.0,56686,56750,CHRYSANDER,chrysander,Tasche,NN,tasche,28177,,
qd,r2r7.0,56686,56750,CHRYSANDER,chrysander,.,$.,--,28177,,
qd,r2r7.0,57108,57150,DER GRAF,der_graf,nimmt,VVFIN,nehmen,28177,,
qd,r2r7.0,57108,57150,DER GRAF,der_graf,die,ART,der,28177,,
qd,r2r7.0,57108,57150,DER GRAF,der_graf,Börse,NN,börse,28177,,
qd,r2r7.0,57108,57150,DER GRAF,der_graf,und,KON,und,28177,,
qd,r2r7.0,57108,57150,DER GRAF,der_graf,wiegt,VVFIN,wiegen,28177,,
qd,r2r7.0,57108,57150,DER GRAF,der_graf,sie,PPER,sie,28177,,
qd,r2r7.0,57108,57150,DER GRAF,der_graf,in,APPR,in,28177,,
qd,r2r7.0,57108,57150,DER GRAF,der_graf,der,ART,der,28177,,
qd,r2r7.0,57108,57150,DER GRAF,der_graf,Hand,NN,hand,28177,,
qd,r2r7.0,57108,57150,DER GRAF,der_graf,.,$.,--,28177,,
qd,r2r7.0,57396,57409,DER GRAF,der_graf,Zum,APPRART,zu,28177,,
qd,r2r7.0,57396,57409,DER GRAF,der_graf,Valentin,NE,valentin,28177,,(4)
qd,r2r7.0,57396,57409,DER GRAF,der_graf,.,$.,--,28177,,
