corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,rfct.0,48296,48314,_Stage,_Stage,ganzen,ADJA,ganz,39062,,
qd,rfct.0,48296,48314,_Stage,_Stage,Schauspiele,NN,schauspiel,39062,,
qd,rfct.0,50235,50291,_Stage,_Stage,Schladritz,NE,schladritz,39062,,
qd,rfct.0,50235,50291,_Stage,_Stage,.,$.,--,39062,,
qd,rfct.0,50235,50291,_Stage,_Stage,Frau,NN,frau,39062,,
qd,rfct.0,50235,50291,_Stage,_Stage,Gottsched,NE,gottsched,39062,,
qd,rfct.0,50235,50291,_Stage,_Stage,–,XY,–,39062,,
qd,rfct.0,50235,50291,_Stage,_Stage,Gottsched,NE,gottsched,39062,,
qd,rfct.0,50235,50291,_Stage,_Stage,beide,PIS,beide,39062,,
qd,rfct.0,50235,50291,_Stage,_Stage,unsichtbar,ADJD,unsichtbar,39062,,
qd,rfct.0,50235,50291,_Stage,_Stage,.,$.,--,39062,,
qd,rfct.0,50306,50360,SCHLADRITZ,schladritz,die,ART,der,39062,,
qd,rfct.0,50306,50360,SCHLADRITZ,schladritz,Tür,NN,tür,39062,,
qd,rfct.0,50306,50360,SCHLADRITZ,schladritz,links,ADV,links,39062,,
qd,rfct.0,50306,50360,SCHLADRITZ,schladritz,offenhaltend,ADJD,offenhaltend,39062,,
qd,rfct.0,50306,50360,SCHLADRITZ,schladritz,und,KON,und,39062,,
qd,rfct.0,50306,50360,SCHLADRITZ,schladritz,sich,PRF,sich,39062,,
qd,rfct.0,50306,50360,SCHLADRITZ,schladritz,hinein,APZR,hinein,39062,,
qd,rfct.0,50306,50360,SCHLADRITZ,schladritz,verbeugend,ADJD,verbeugend,39062,,
qd,rfct.0,50306,50360,SCHLADRITZ,schladritz,.,$.,--,39062,,
qd,rfct.0,50416,50440,GOTTSCHED,gottsched,links,ADV,links,39062,,
qd,rfct.0,50416,50440,GOTTSCHED,gottsched,innen,TRUNC,innen,39062,,
qd,rfct.0,50416,50440,GOTTSCHED,gottsched,",","$,",--,39062,,
qd,rfct.0,50416,50440,GOTTSCHED,gottsched,nur,ADV,nur,39062,,
qd,rfct.0,50416,50440,GOTTSCHED,gottsched,hörbar,ADJD,hörbar,39062,,
qd,rfct.0,50416,50440,GOTTSCHED,gottsched,.,$.,--,39062,,
qd,rfct.0,50533,50570,FRAU GOTTSCHED,frau_gottsched,ebenfalls,ADV,ebenfalls,39062,,
qd,rfct.0,50533,50570,FRAU GOTTSCHED,frau_gottsched,links,ADV,links,39062,,
qd,rfct.0,50533,50570,FRAU GOTTSCHED,frau_gottsched,innen,TRUNC,innen,39062,,
qd,rfct.0,50533,50570,FRAU GOTTSCHED,frau_gottsched,und,KON,und,39062,,
qd,rfct.0,50533,50570,FRAU GOTTSCHED,frau_gottsched,nur,ADV,nur,39062,,
qd,rfct.0,50533,50570,FRAU GOTTSCHED,frau_gottsched,hörbar,ADJD,hörbar,39062,,
qd,rfct.0,50533,50570,FRAU GOTTSCHED,frau_gottsched,.,$.,--,39062,,
qd,rfct.0,50968,51032,SCHLADRITZ,schladritz,Entfernt,VVFIN,entfernt,39062,,
qd,rfct.0,50968,51032,SCHLADRITZ,schladritz,sich,PRF,sich,39062,,
qd,rfct.0,50968,51032,SCHLADRITZ,schladritz,unter,APPR,unter,39062,,
qd,rfct.0,50968,51032,SCHLADRITZ,schladritz,Bücklingen,NN,bücklingen,39062,,
qd,rfct.0,50968,51032,SCHLADRITZ,schladritz,von,APPR,von,39062,,
qd,rfct.0,50968,51032,SCHLADRITZ,schladritz,der,ART,der,39062,,
qd,rfct.0,50968,51032,SCHLADRITZ,schladritz,Tür,NN,tür,39062,,
qd,rfct.0,50968,51032,SCHLADRITZ,schladritz,",","$,",--,39062,,
qd,rfct.0,50968,51032,SCHLADRITZ,schladritz,welche,PWAT,welcher,39062,,
qd,rfct.0,50968,51032,SCHLADRITZ,schladritz,offen,ADJD,offen,39062,,
qd,rfct.0,50968,51032,SCHLADRITZ,schladritz,bleibt,VVFIN,bleiben,39062,,
qd,rfct.0,50968,51032,SCHLADRITZ,schladritz,.,$.,--,39062,,
qd,rfct.0,51102,51138,SCHLADRITZ,schladritz,sich,PRF,sich,39062,,
qd,rfct.0,51102,51138,SCHLADRITZ,schladritz,nach,APPR,nach,39062,,
qd,rfct.0,51102,51138,SCHLADRITZ,schladritz,der,ART,der,39062,,
qd,rfct.0,51102,51138,SCHLADRITZ,schladritz,offnen,ADJA,offnen,39062,,
qd,rfct.0,51102,51138,SCHLADRITZ,schladritz,Tür,NN,tür,39062,,
qd,rfct.0,51102,51138,SCHLADRITZ,schladritz,verbeugend,ADJD,verbeugend,39062,,
qd,rfct.0,51102,51138,SCHLADRITZ,schladritz,.,$.,--,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,Macht,NN,macht,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,ein,ART,ein,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,Schnippchen,NN,schnippchen,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,gegen,APPR,gegen,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,die,ART,der,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,offne,ADJA,offn,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,Tür,NN,tür,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,",","$,",--,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,kommt,VVFIN,kommen,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,einige,PIAT,einiger,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,Schritte,NN,schritt,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,vor,PTKVZ,vor,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,und,KON,und,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,sagt,VVFIN,sagen,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,ins,APPRART,in,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,Publikum,NN,publikum,39062,,
qd,rfct.0,51160,51251,SCHLADRITZ,schladritz,.,$.,--,39062,,
qd,rfct.0,51639,51679,SCHLADRITZ,schladritz,Es,PPER,es,39062,,
qd,rfct.0,51639,51679,SCHLADRITZ,schladritz,klingelt,VVFIN,klingeln,39062,,
qd,rfct.0,51639,51679,SCHLADRITZ,schladritz,außen,ADV,außen,39062,,
qd,rfct.0,51639,51679,SCHLADRITZ,schladritz,hinter,APPR,hinter,39062,,
qd,rfct.0,51639,51679,SCHLADRITZ,schladritz,der,ART,der,39062,,
qd,rfct.0,51639,51679,SCHLADRITZ,schladritz,Hinterwand,NN,hinterwand,39062,,
qd,rfct.0,51639,51679,SCHLADRITZ,schladritz,.,$.,--,39062,,
qd,rfct.0,51706,51760,SCHLADRITZ,schladritz,Im,APPRART,in,39062,,
qd,rfct.0,51706,51760,SCHLADRITZ,schladritz,Abgehen,NN,abgehen,39062,,
qd,rfct.0,51706,51760,SCHLADRITZ,schladritz,nach,APPR,nach,39062,,
qd,rfct.0,51706,51760,SCHLADRITZ,schladritz,dem,ART,der,39062,,
qd,rfct.0,51706,51760,SCHLADRITZ,schladritz,offnen,ADJA,offnen,39062,,
qd,rfct.0,51706,51760,SCHLADRITZ,schladritz,Zimmer,NN,zimmer,39062,,
qd,rfct.0,51706,51760,SCHLADRITZ,schladritz,Gottscheds,NE,gottsched,39062,,
qd,rfct.0,51706,51760,SCHLADRITZ,schladritz,blickend,ADJD,blickend,39062,,
qd,rfct.0,51706,51760,SCHLADRITZ,schladritz,.,$.,--,39062,,
qd,rfct.0,51795,51847,GOTTSCHED,gottsched,einen,ART,ein,39062,,
qd,rfct.0,51795,51847,GOTTSCHED,gottsched,Schritt,NN,schritt,39062,,
qd,rfct.0,51795,51847,GOTTSCHED,gottsched,näher,ADJD,nah,39062,,
qd,rfct.0,51795,51847,GOTTSCHED,gottsched,an,APPR,an,39062,,
qd,rfct.0,51795,51847,GOTTSCHED,gottsched,der,ART,der,39062,,
qd,rfct.0,51795,51847,GOTTSCHED,gottsched,Tür,NN,tür,39062,,
qd,rfct.0,51795,51847,GOTTSCHED,gottsched,",","$,",--,39062,,
qd,rfct.0,51795,51847,GOTTSCHED,gottsched,aber,KON,aber,39062,,
qd,rfct.0,51795,51847,GOTTSCHED,gottsched,nicht,PTKNEG,nicht,39062,,
qd,rfct.0,51795,51847,GOTTSCHED,gottsched,sichtbar,ADJD,sichtbar,39062,,
qd,rfct.0,51795,51847,GOTTSCHED,gottsched,.,$.,--,39062,,
qd,rfct.0,51911,51990,FRAU GOTTSCHED,frau_gottsched,heraustretend,ADJD,heraustretend,39062,,
qd,rfct.0,51911,51990,FRAU GOTTSCHED,frau_gottsched,und,KON,und,39062,,
qd,rfct.0,51911,51990,FRAU GOTTSCHED,frau_gottsched,Schladritz,NN,schladritz,39062,,
qd,rfct.0,51911,51990,FRAU GOTTSCHED,frau_gottsched,",","$,",--,39062,,
qd,rfct.0,51911,51990,FRAU GOTTSCHED,frau_gottsched,der,PRELS,der,39062,,
qd,rfct.0,51911,51990,FRAU GOTTSCHED,frau_gottsched,vor,APPR,vor,39062,,
qd,rfct.0,51911,51990,FRAU GOTTSCHED,frau_gottsched,der,ART,der,39062,,
qd,rfct.0,51911,51990,FRAU GOTTSCHED,frau_gottsched,Mitteltür,NN,mitteltür,39062,,
qd,rfct.0,51911,51990,FRAU GOTTSCHED,frau_gottsched,ist,VAFIN,sein,39062,,
qd,rfct.0,51911,51990,FRAU GOTTSCHED,frau_gottsched,",","$,",--,39062,,
qd,rfct.0,51911,51990,FRAU GOTTSCHED,frau_gottsched,fortwinkend,ADJD,fortwinkend,39062,,
qd,rfct.0,51911,51990,FRAU GOTTSCHED,frau_gottsched,",","$,",--,39062,,
qd,rfct.0,51911,51990,FRAU GOTTSCHED,frau_gottsched,halblaut,VVPP,halblaut,39062,,
qd,rfct.0,51911,51990,FRAU GOTTSCHED,frau_gottsched,.,$.,--,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,Während,KOUS,während,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,Schladritz,NE,schladritz,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,eine,ART,ein,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,Gebärde,NN,gebärde,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,macht,VVFIN,machen,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,",","$,",--,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,als,KOUS,als,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,verstünde,VVFIN,verstehen,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,er,PPER,er,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,sich,PRF,sich,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,schon,ADV,schon,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,darauf,PROAV,darauf,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,",","$,",--,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,und,KON,und,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,abgeht,VVFIN,abgehen,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,",","$,",--,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,wendet,VVFIN,wenden,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,sie,PPER,sie,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,sich,PRF,sich,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,zu,APPR,zu,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,der,ART,der,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,offen,ADJD,offen,39062,,
qd,rfct.0,52047,52222,FRAU GOTTSCHED,frau_gottsched,bleibenden,ADJA,bleibend,39062,,
