corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,rfct.0,50294,50400,SCHLADRITZ,schladritz,Ganz,ADV,ganz,39062,,
qd,rfct.0,50294,50400,SCHLADRITZ,schladritz,wie,KOKOM,wie,39062,,
qd,rfct.0,50294,50400,SCHLADRITZ,schladritz,der,ART,der,39062,,
qd,rfct.0,50294,50400,SCHLADRITZ,schladritz,Herr,NN,herr,39062,,
qd,rfct.0,50294,50400,SCHLADRITZ,schladritz,Professor,NN,professor,39062,,
qd,rfct.0,50294,50400,SCHLADRITZ,schladritz,befehlen,VVINF,befehlen,39062,,
qd,rfct.0,50294,50400,SCHLADRITZ,schladritz,"!",$.,--,39062,,
qd,rfct.0,50405,50512,GOTTSCHED,gottsched,Und,KON,und,39062,,
qd,rfct.0,50405,50512,GOTTSCHED,gottsched,zwar,ADV,zwar,39062,,
qd,rfct.0,50405,50512,GOTTSCHED,gottsched,soll,VMFIN,sollen,39062,,
qd,rfct.0,50405,50512,GOTTSCHED,gottsched,der,ART,der,39062,,
qd,rfct.0,50405,50512,GOTTSCHED,gottsched,Schladritz,NN,schladritz,39062,,
qd,rfct.0,50405,50512,GOTTSCHED,gottsched,dies,PDS,dieser,39062,,
qd,rfct.0,50405,50512,GOTTSCHED,gottsched,mein,PPOSAT,mein,39062,gottsched,(1)
qd,rfct.0,50405,50512,GOTTSCHED,gottsched,Haus,NN,haus,39062,,
qd,rfct.0,50405,50512,GOTTSCHED,gottsched,auf,APPR,auf,39062,,
qd,rfct.0,50405,50512,GOTTSCHED,gottsched,der,ART,der,39062,,
qd,rfct.0,50405,50512,GOTTSCHED,gottsched,Stelle,NN,stelle,39062,,
qd,rfct.0,50405,50512,GOTTSCHED,gottsched,verlassen,VVINF,verlassen,39062,,
qd,rfct.0,50405,50512,GOTTSCHED,gottsched,"!",$.,--,39062,,
qd,rfct.0,50517,50596,FRAU GOTTSCHED,frau_gottsched,Aber,KON,aber,39062,,
qd,rfct.0,50517,50596,FRAU GOTTSCHED,frau_gottsched,lieber,ADV,lieber,39062,,
qd,rfct.0,50517,50596,FRAU GOTTSCHED,frau_gottsched,Gottsched,NE,gottsched,39062,,
qd,rfct.0,50517,50596,FRAU GOTTSCHED,frau_gottsched,–,XY,–,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,Keine,PIAT,kein,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,Widerrede,NN,widerrede,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,"!",$.,--,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,Er,PPER,er,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,hört,VVFIN,hören,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,",","$,",--,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,Schladritz,NN,schladritz,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,",","$,",--,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,meines,PPOSAT,mein,39062,gottsched,(1)
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,Willens,NN,wille,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,Meinung,NN,meinung,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,und,KON,und,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,hat,VAFIN,haben,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,sich,PRF,sich,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,auf,APPR,auf,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,der,ART,der,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,Stelle,NN,stelle,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,darnach,ADJD,darnach,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,zu,PTKZU,zu,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,achten,VVINF,achten,39062,,
qd,rfct.0,50601,50720,GOTTSCHED,gottsched,.,$.,--,39062,,
qd,rfct.0,50725,50776,SCHLADRITZ,schladritz,Sehr,ADV,sehr,39062,,
qd,rfct.0,50725,50776,SCHLADRITZ,schladritz,weise,VVFIN,weise,39062,,
qd,rfct.0,50725,50776,SCHLADRITZ,schladritz,",","$,",--,39062,,
qd,rfct.0,50725,50776,SCHLADRITZ,schladritz,Herr,NN,herr,39062,,
qd,rfct.0,50725,50776,SCHLADRITZ,schladritz,Professor,NN,professor,39062,,
