corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,rkzk.0,317,394,STALENO,staleno,Ei,ITJ,ei,14856,,
qd,rkzk.0,317,394,STALENO,staleno,"!",$.,--,14856,,
qd,rkzk.0,317,394,STALENO,staleno,Leander,NE,leander,14856,,
qd,rkzk.0,317,394,STALENO,staleno,",","$,",--,14856,,
qd,rkzk.0,317,394,STALENO,staleno,so,ADV,so,14856,,
qd,rkzk.0,317,394,STALENO,staleno,jung,ADJD,jung,14856,,
qd,rkzk.0,317,394,STALENO,staleno,",","$,",--,14856,,
qd,rkzk.0,317,394,STALENO,staleno,und,KON,und,14856,,
qd,rkzk.0,317,394,STALENO,staleno,Er,PPER,er,14856,,
qd,rkzk.0,317,394,STALENO,staleno,hat,VAFIN,haben,14856,,
qd,rkzk.0,317,394,STALENO,staleno,sich,PRF,sich,14856,,
qd,rkzk.0,317,394,STALENO,staleno,schon,ADV,schon,14856,,
qd,rkzk.0,317,394,STALENO,staleno,ein,ART,ein,14856,,
qd,rkzk.0,317,394,STALENO,staleno,Mädchen,NN,mädchen,14856,,
qd,rkzk.0,317,394,STALENO,staleno,ausgesehen,VVIZU,aussehen,14856,,
qd,rkzk.0,317,394,STALENO,staleno,?,$.,--,14856,,
qd,rkzk.0,399,576,LEANDER,leander,Das,PDS,der,14856,,
qd,rkzk.0,399,576,LEANDER,leander,wird,VAFIN,werden,14856,,
qd,rkzk.0,399,576,LEANDER,leander,dem,ART,der,14856,,
qd,rkzk.0,399,576,LEANDER,leander,Mädchen,NN,mädchen,14856,,
qd,rkzk.0,399,576,LEANDER,leander,eben,ADV,eben,14856,,
qd,rkzk.0,399,576,LEANDER,leander,lieb,ADJD,leiben,14856,,
qd,rkzk.0,399,576,LEANDER,leander,sein,VAINF,sein,14856,,
qd,rkzk.0,399,576,LEANDER,leander,",","$,",--,14856,,
qd,rkzk.0,399,576,LEANDER,leander,daß,KOUS,daß,14856,,
qd,rkzk.0,399,576,LEANDER,leander,ich,PPER,ich,14856,leander,(1)
qd,rkzk.0,399,576,LEANDER,leander,jung,ADJD,jung,14856,,
qd,rkzk.0,399,576,LEANDER,leander,bin,VAFIN,sein,14856,,
qd,rkzk.0,399,576,LEANDER,leander,.,$.,--,14856,,
qd,rkzk.0,399,576,LEANDER,leander,Und,KON,und,14856,,
qd,rkzk.0,399,576,LEANDER,leander,wie,PWAV,wie,14856,,
qd,rkzk.0,399,576,LEANDER,leander,jung,ADJD,jung,14856,,
qd,rkzk.0,399,576,LEANDER,leander,denn,KON,denn,14856,,
qd,rkzk.0,399,576,LEANDER,leander,?,$.,--,14856,,
qd,rkzk.0,399,576,LEANDER,leander,Wenn,KOUS,wenn,14856,,
qd,rkzk.0,399,576,LEANDER,leander,ich,PPER,ich,14856,leander,(1)
qd,rkzk.0,399,576,LEANDER,leander,noch,ADV,noch,14856,,
qd,rkzk.0,399,576,LEANDER,leander,einmal,ADV,einmal,14856,,
qd,rkzk.0,399,576,LEANDER,leander,so,ADV,so,14856,,
qd,rkzk.0,399,576,LEANDER,leander,alt,ADJD,alt,14856,,
qd,rkzk.0,399,576,LEANDER,leander,wäre,VAFIN,sein,14856,,
qd,rkzk.0,399,576,LEANDER,leander,",","$,",--,14856,,
qd,rkzk.0,399,576,LEANDER,leander,so,ADV,so,14856,,
qd,rkzk.0,399,576,LEANDER,leander,könnte,VMFIN,können,14856,,
qd,rkzk.0,399,576,LEANDER,leander,ich,PPER,ich,14856,leander,(1)
qd,rkzk.0,399,576,LEANDER,leander,schon,ADV,schon,14856,,
qd,rkzk.0,399,576,LEANDER,leander,Kinder,NN,kind,14856,,
qd,rkzk.0,399,576,LEANDER,leander,haben,VAFIN,haben,14856,,
qd,rkzk.0,399,576,LEANDER,leander,",","$,",--,14856,,
qd,rkzk.0,399,576,LEANDER,leander,die,PRELS,der,14856,,
qd,rkzk.0,399,576,LEANDER,leander,so,ADV,so,14856,,
qd,rkzk.0,399,576,LEANDER,leander,alt,ADJD,alt,14856,,
qd,rkzk.0,399,576,LEANDER,leander,wären,VAFIN,sein,14856,,
qd,rkzk.0,399,576,LEANDER,leander,als,APPR,als,14856,,
qd,rkzk.0,399,576,LEANDER,leander,ich,PPER,ich,14856,leander,(1)
qd,rkzk.0,399,576,LEANDER,leander,.,$.,--,14856,,
qd,rkzk.0,581,629,STALENO,staleno,Und,KON,und,14856,,
qd,rkzk.0,581,629,STALENO,staleno,das,ART,der,14856,,
qd,rkzk.0,581,629,STALENO,staleno,Mädchen,NN,mädchen,14856,,
qd,rkzk.0,581,629,STALENO,staleno,soll,VMFIN,sollen,14856,,
qd,rkzk.0,581,629,STALENO,staleno,ich,PPER,ich,14856,staleno,(0)
qd,rkzk.0,581,629,STALENO,staleno,Ihm,PPER,ihm,14856,,
qd,rkzk.0,581,629,STALENO,staleno,zufreien,VVINF,zufreien,14856,,
qd,rkzk.0,581,629,STALENO,staleno,?,$.,--,14856,,
qd,rkzk.0,634,703,LEANDER,leander,Ja,PTKANT,ja,14856,,
qd,rkzk.0,634,703,LEANDER,leander,",","$,",--,14856,,
qd,rkzk.0,634,703,LEANDER,leander,mein,PPOSAT,mein,14856,leander,(1)
qd,rkzk.0,634,703,LEANDER,leander,lieber,ADJD,lieber,14856,,
qd,rkzk.0,634,703,LEANDER,leander,Herr,NN,herr,14856,,
qd,rkzk.0,634,703,LEANDER,leander,Vormund,NE,vormund,14856,,
qd,rkzk.0,634,703,LEANDER,leander,",","$,",--,14856,,
qd,rkzk.0,634,703,LEANDER,leander,wenn,KOUS,wenn,14856,,
qd,rkzk.0,634,703,LEANDER,leander,Sie,PPER,sie,14856,,
qd,rkzk.0,634,703,LEANDER,leander,wollten,VMFIN,wollen,14856,,
qd,rkzk.0,634,703,LEANDER,leander,so,ADV,so,14856,,
qd,rkzk.0,634,703,LEANDER,leander,gut,ADJD,gut,14856,,
qd,rkzk.0,634,703,LEANDER,leander,sein,VAINF,sein,14856,,
qd,rkzk.0,634,703,LEANDER,leander,.,$.,--,14856,,
qd,rkzk.0,708,937,STALENO,staleno,Lieber,ADJD,lieb,14856,,
qd,rkzk.0,708,937,STALENO,staleno,Herr,NN,herr,14856,,
qd,rkzk.0,708,937,STALENO,staleno,Vormund,NE,vormund,14856,,
qd,rkzk.0,708,937,STALENO,staleno,"!",$.,--,14856,,
qd,rkzk.0,708,937,STALENO,staleno,das,PDS,der,14856,,
qd,rkzk.0,708,937,STALENO,staleno,habe,VAFIN,haben,14856,,
qd,rkzk.0,708,937,STALENO,staleno,ich,PPER,ich,14856,staleno,(0)
qd,rkzk.0,708,937,STALENO,staleno,lange,ADV,lange,14856,,
qd,rkzk.0,708,937,STALENO,staleno,nicht,PTKNEG,nicht,14856,,
qd,rkzk.0,708,937,STALENO,staleno,gehört,VVFIN,gehören,14856,,
qd,rkzk.0,708,937,STALENO,staleno,"!",$.,--,14856,,
qd,rkzk.0,708,937,STALENO,staleno,Wenn,KOUS,wenn,14856,,
qd,rkzk.0,708,937,STALENO,staleno,Sie,PPER,sie,14856,,
qd,rkzk.0,708,937,STALENO,staleno,wollten,VMFIN,wollen,14856,,
qd,rkzk.0,708,937,STALENO,staleno,so,ADV,so,14856,,
qd,rkzk.0,708,937,STALENO,staleno,gut,ADJD,gut,14856,,
qd,rkzk.0,708,937,STALENO,staleno,sein,VAINF,sein,14856,,
qd,rkzk.0,708,937,STALENO,staleno,"!",$.,--,14856,,
qd,rkzk.0,708,937,STALENO,staleno,Wie,PWAV,wie,14856,,
qd,rkzk.0,708,937,STALENO,staleno,höflich,ADJD,höflich,14856,,
qd,rkzk.0,708,937,STALENO,staleno,man,PIS,man,14856,,
qd,rkzk.0,708,937,STALENO,staleno,doch,ADV,doch,14856,,
qd,rkzk.0,708,937,STALENO,staleno,gleich,ADV,gleich,14856,,
qd,rkzk.0,708,937,STALENO,staleno,wird,VAFIN,werden,14856,,
qd,rkzk.0,708,937,STALENO,staleno,",","$,",--,14856,,
qd,rkzk.0,708,937,STALENO,staleno,wenn,KOUS,wenn,14856,,
qd,rkzk.0,708,937,STALENO,staleno,man,PIS,man,14856,,
qd,rkzk.0,708,937,STALENO,staleno,verliebt,VVPP,verlieben,14856,,
qd,rkzk.0,708,937,STALENO,staleno,ist,VAFIN,sein,14856,,
qd,rkzk.0,708,937,STALENO,staleno,"!",$.,--,14856,,
qd,rkzk.0,708,937,STALENO,staleno,–,XY,–,14856,,
qd,rkzk.0,708,937,STALENO,staleno,–,XY,–,14856,,
qd,rkzk.0,708,937,STALENO,staleno,Aber,KON,aber,14856,,
qd,rkzk.0,708,937,STALENO,staleno,was,PWS,was,14856,,
qd,rkzk.0,708,937,STALENO,staleno,ist,VAFIN,sein,14856,,
qd,rkzk.0,708,937,STALENO,staleno,es,PPER,es,14856,,
qd,rkzk.0,708,937,STALENO,staleno,denn,ADV,denn,14856,,
qd,rkzk.0,708,937,STALENO,staleno,für,APPR,für,14856,,
qd,rkzk.0,708,937,STALENO,staleno,ein,ART,ein,14856,,
qd,rkzk.0,708,937,STALENO,staleno,Mädchen,NN,mädchen,14856,,
qd,rkzk.0,708,937,STALENO,staleno,?,$.,--,14856,,
qd,rkzk.0,708,937,STALENO,staleno,das,PDS,der,14856,,
qd,rkzk.0,708,937,STALENO,staleno,hat,VAFIN,haben,14856,,
qd,rkzk.0,708,937,STALENO,staleno,Er,PPER,er,14856,,
qd,rkzk.0,708,937,STALENO,staleno,mir,PPER,sich,14856,staleno,(0)
qd,rkzk.0,708,937,STALENO,staleno,ja,ADV,ja,14856,,
qd,rkzk.0,708,937,STALENO,staleno,noch,ADV,noch,14856,,
qd,rkzk.0,708,937,STALENO,staleno,nicht,PTKNEG,nicht,14856,,
qd,rkzk.0,708,937,STALENO,staleno,gesagt,VVPP,sagen,14856,,
qd,rkzk.0,708,937,STALENO,staleno,.,$.,--,14856,,
qd,rkzk.0,942,978,LEANDER,leander,Ein,ART,ein,14856,,
qd,rkzk.0,942,978,LEANDER,leander,allerliebstes,ADJA,allerlieb,14856,,
qd,rkzk.0,942,978,LEANDER,leander,Mädchen,NN,mädchen,14856,,
qd,rkzk.0,942,978,LEANDER,leander,.,$.,--,14856,,
qd,rkzk.0,983,1026,STALENO,staleno,Hat,VAFIN,haben,14856,,
qd,rkzk.0,983,1026,STALENO,staleno,sie,PPER,sie,14856,,
