corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Öffnet,VVIMP,öffnen,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,euch,PPER,euch,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,",","$,",--,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Tore,NN,tor,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,",","$,",--,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,schmückt,VVFIN,schmücken,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,euch,PPER,euch,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,",","$,",--,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,ihr,PPOSAT,ihr,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Hallen,NN,hallen,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,",","$,",--,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Duftige,ADJA,duftig,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Kränze,NN,kränze,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,",","$,",--,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,umwindet,VVFIN,umwinden,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,den,ART,der,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Saal,NN,saal,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,"!",$.,--,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Lasset,NE,lasset,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,die,ART,der,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Harfen,NN,harfe,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,",","$,",--,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,die,ART,der,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Zymbeln,NN,zymbel,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,erschallen,VVINF,erschallen,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,",","$,",--,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Blendet,NN,blenden,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,der,ART,der,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Sonne,NN,sonne,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,leuchtenden,ADJA,leuchtend,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Strahl,NN,strahl,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,"!",$.,--,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Denn,KON,denn,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,über,APPR,über,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,alle,PIDAT,aller,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,irdischen,ADJA,irdisch,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Reiche,NN,reich,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Hat,VAFIN,haben,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Gott,NN,gott,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Salomons,NE,salomon,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Herrschaft,NN,herrschaft,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,gestellt,VVPP,stellen,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,.,$.,--,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Daß,KOUS,daß,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,sich,PRF,sich,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,auf,APPR,auf,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Erden,NN,erde,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,ihm,PPER,ihm,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,keines,PIS,keiner,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,vergleiche,VVFIN,vergleichen,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,",","$,",--,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Zeigt,VVFIN,zeigen,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,es,PPER,es,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,jubelnd,ADJD,jubelnd,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,der,ART,der,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,staunenden,ADJA,staunend,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,Welt,NN,welt,8566,,
qd,sj68.0,558,884,GANZER CHOR,ganzer_chor,"!",$.,--,8566,,
qd,sj68.0,1038,1729,HOHEPRIESTER,hohepriester,Tritt,NN,tritt,8566,,
qd,sj68.0,1038,1729,HOHEPRIESTER,hohepriester,ohne,APPR,ohne,8566,,
qd,sj68.0,1038,1729,HOHEPRIESTER,hohepriester,Zagen,NN,zage,8566,,
qd,sj68.0,1038,1729,HOHEPRIESTER,hohepriester,ein,PTKVZ,ein,8566,,
qd,sj68.0,1038,1729,HOHEPRIESTER,hohepriester,",","$,",--,8566,,
qd,sj68.0,1038,1729,HOHEPRIESTER,hohepriester,Mein,PPOSAT,mein,8566,,(1)
