corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,spd6.0,972,999,_Stage,_Stage,Mitternacht,NN,mitternacht,55633,,
qd,spd6.0,972,999,_Stage,_Stage,.,$.,--,55633,,
qd,spd6.0,972,999,_Stage,_Stage,Schloß,NN,schloß,55633,,
qd,spd6.0,972,999,_Stage,_Stage,Birkel,NE,birkel,55633,,
qd,spd6.0,972,999,_Stage,_Stage,.,$.,--,55633,,
qd,spd6.0,1002,1060,_Stage,_Stage,Graf,NN,graf,55633,,
qd,spd6.0,1002,1060,_Stage,_Stage,Bernhard,NE,bernhard,55633,,(0)
qd,spd6.0,1002,1060,_Stage,_Stage,",","$,",--,55633,,
qd,spd6.0,1002,1060,_Stage,_Stage,Knechte,NN,knecht,55633,,
qd,spd6.0,1002,1060,_Stage,_Stage,und,KON,und,55633,,
qd,spd6.0,1002,1060,_Stage,_Stage,Soldaten,NN,soldat,55633,,
qd,spd6.0,1002,1060,_Stage,_Stage,draussen,VVFIN,draussen,55633,,
qd,spd6.0,1002,1060,_Stage,_Stage,vor,APPR,vor,55633,,
qd,spd6.0,1002,1060,_Stage,_Stage,dem,ART,der,55633,,
qd,spd6.0,1002,1060,_Stage,_Stage,Thor,NN,thor,55633,,
qd,spd6.0,1002,1060,_Stage,_Stage,.,$.,--,55633,,
qd,spd6.0,1186,1196,WÄCHTER,wächter,von,APPR,von,55633,,
qd,spd6.0,1186,1196,WÄCHTER,wächter,innen,ADV,innen,55633,,
qd,spd6.0,1186,1196,WÄCHTER,wächter,.,$.,--,55633,,
qd,spd6.0,1831,1847,ULRICH,ulrich,oben,ADV,oben,55633,,
qd,spd6.0,1831,1847,ULRICH,ulrich,am,APPRART,an,55633,,
qd,spd6.0,1831,1847,ULRICH,ulrich,Fenster,NN,fenster,55633,,
qd,spd6.0,1831,1847,ULRICH,ulrich,.,$.,--,55633,,
qd,spd6.0,3657,3678,BERNHARD,bernhard,Ab,APPR,ab,55633,,
qd,spd6.0,3657,3678,BERNHARD,bernhard,mit,APPR,mit,55633,,
qd,spd6.0,3657,3678,BERNHARD,bernhard,seinen,PPOSAT,sein,55633,,
qd,spd6.0,3657,3678,BERNHARD,bernhard,Leuten,NN,leute,55633,,
qd,spd6.0,3657,3678,BERNHARD,bernhard,.,$.,--,55633,,
qd,spd6.0,3724,3768,_Stage,_Stage,Pfälzel,NE,pfälzel,55633,,
qd,spd6.0,3724,3768,_Stage,_Stage,.,$.,--,55633,,
qd,spd6.0,3724,3768,_Stage,_Stage,Nach,APPR,nach,55633,,
qd,spd6.0,3724,3768,_Stage,_Stage,Mitternacht,NN,mitternacht,55633,,
qd,spd6.0,3724,3768,_Stage,_Stage,.,$.,--,55633,,
qd,spd6.0,3724,3768,_Stage,_Stage,Zimmer,NN,zimmer,55633,,
qd,spd6.0,3724,3768,_Stage,_Stage,im,APPRART,in,55633,,
qd,spd6.0,3724,3768,_Stage,_Stage,Schloß,NN,schloß,55633,,
qd,spd6.0,3724,3768,_Stage,_Stage,.,$.,--,55633,,
qd,spd6.0,3771,3828,_Stage,_Stage,Julie,NE,julie,55633,,(6)
qd,spd6.0,3771,3828,_Stage,_Stage,auf,APPR,auf,55633,,
qd,spd6.0,3771,3828,_Stage,_Stage,dem,ART,der,55633,,
qd,spd6.0,3771,3828,_Stage,_Stage,Stuhl,NN,stuhl,55633,,
qd,spd6.0,3771,3828,_Stage,_Stage,schlummernd,ADJD,schlummernd,55633,,
qd,spd6.0,3771,3828,_Stage,_Stage,",","$,",--,55633,,
qd,spd6.0,3771,3828,_Stage,_Stage,Anne,NE,anne,55633,,(5)
qd,spd6.0,3771,3828,_Stage,_Stage,die,ART,der,55633,,
qd,spd6.0,3771,3828,_Stage,_Stage,Laute,NN,laute,55633,,
qd,spd6.0,3771,3828,_Stage,_Stage,spielend,ADJD,spielend,55633,,
qd,spd6.0,3771,3828,_Stage,_Stage,.,$.,--,55633,,
qd,spd6.0,3871,3888,ANNE,anne,singt,VVFIN,singen,55633,,
qd,spd6.0,3871,3888,ANNE,anne,und,KON,und,55633,,
qd,spd6.0,3871,3888,ANNE,anne,spielt,VVFIN,spielen,55633,,
qd,spd6.0,3871,3888,ANNE,anne,.,$.,--,55633,,
qd,spd6.0,5341,5353,ANNE,anne,Adolf,NE,adolf,55633,,(7)
qd,spd6.0,5341,5353,ANNE,anne,",","$,",--,55633,,
qd,spd6.0,5341,5353,ANNE,anne,Carl,NE,carl,55633,,(8)
qd,spd6.0,5341,5353,ANNE,anne,.,$.,--,55633,,
qd,spd6.0,5725,5743,ADOLF,adolf,Geht,VVFIN,gehen,55633,,
qd,spd6.0,5725,5743,ADOLF,adolf,an's,PPER,an's,55633,,
qd,spd6.0,5725,5743,ADOLF,adolf,Fenster,NN,fenster,55633,,
qd,spd6.0,5725,5743,ADOLF,adolf,.,$.,--,55633,,
qd,spd6.0,6287,6290,ADOLF,adolf,Ab,APPR,ab,55633,,
qd,spd6.0,6287,6290,ADOLF,adolf,.,$.,--,55633,,
qd,spd6.0,6302,6323,ANNE,anne,vor,APPR,vor,55633,,
qd,spd6.0,6302,6323,ANNE,anne,sich,PRF,sich,55633,,
qd,spd6.0,6302,6323,ANNE,anne,",","$,",--,55633,,
qd,spd6.0,6302,6323,ANNE,anne,auf,PTKVZ,auf,55633,,
qd,spd6.0,6302,6323,ANNE,anne,und,KON,und,55633,,
qd,spd6.0,6302,6323,ANNE,anne,ab,PTKVZ,ab,55633,,
qd,spd6.0,6302,6323,ANNE,anne,.,$.,--,55633,,
qd,spd6.0,7899,7908,ANNE,anne,lächelnd,ADJD,lächelnd,55633,,
qd,spd6.0,7899,7908,ANNE,anne,.,$.,--,55633,,
qd,spd6.0,7919,7934,ANNE,anne,Giebt,NE,gieben,55633,,
qd,spd6.0,7919,7934,ANNE,anne,die,ART,der,55633,,
qd,spd6.0,7919,7934,ANNE,anne,Hand,NN,hand,55633,,
qd,spd6.0,7919,7934,ANNE,anne,.,$.,--,55633,,
qd,spd6.0,9259,9268,CARL,carl,Küßt,VVFIN,küßen,55633,,
qd,spd6.0,9259,9268,CARL,carl,sie,PPER,sie,55633,,
qd,spd6.0,9259,9268,CARL,carl,.,$.,--,55633,,
qd,spd6.0,9508,9522,CARL,carl,Trompetenstoß,NN,trompetenstoß,55633,,
qd,spd6.0,9508,9522,CARL,carl,.,$.,--,55633,,
qd,spd6.0,9577,9613,CARL,carl,Sie,PPER,sie,55633,,
qd,spd6.0,9577,9613,CARL,carl,laufen,VVFIN,laufen,55633,,
qd,spd6.0,9577,9613,CARL,carl,zusammen,PTKVZ,zusammen,55633,,
qd,spd6.0,9577,9613,CARL,carl,und,KON,und,55633,,
qd,spd6.0,9577,9613,CARL,carl,küssen,VVFIN,küssen,55633,,
qd,spd6.0,9577,9613,CARL,carl,sich,PRF,sich,55633,,
qd,spd6.0,9577,9613,CARL,carl,.,$.,--,55633,,
qd,spd6.0,9621,9624,CARL,carl,Ab,APPR,ab,55633,,
qd,spd6.0,9621,9624,CARL,carl,.,$.,--,55633,,
qd,spd6.0,9766,9778,_Stage,_Stage,Schloß-Saal,NE,schloß-saal,55633,,
qd,spd6.0,9766,9778,_Stage,_Stage,.,$.,--,55633,,
qd,spd6.0,9781,9850,_Stage,_Stage,Genovefa,NE,genovefa,55633,,(10)
qd,spd6.0,9781,9850,_Stage,_Stage,",","$,",--,55633,,
qd,spd6.0,9781,9850,_Stage,_Stage,auf,APPR,auf,55633,,
qd,spd6.0,9781,9850,_Stage,_Stage,einem,ART,ein,55633,,
qd,spd6.0,9781,9850,_Stage,_Stage,Stuhl,NN,stuhl,55633,,
qd,spd6.0,9781,9850,_Stage,_Stage,sitzend,ADJD,sitzend,55633,,
qd,spd6.0,9781,9850,_Stage,_Stage,",","$,",--,55633,,
qd,spd6.0,9781,9850,_Stage,_Stage,Mädchen,NN,mädchen,55633,,
qd,spd6.0,9781,9850,_Stage,_Stage,bringen,VVFIN,bringen,55633,,
qd,spd6.0,9781,9850,_Stage,_Stage,Siegfrieds,NE,siegfried,55633,,
qd,spd6.0,9781,9850,_Stage,_Stage,Waffen,NN,waffe,55633,,
qd,spd6.0,9781,9850,_Stage,_Stage,.,$.,--,55633,,
qd,spd6.0,10598,10601,MÄDCHEN,mädchen,Ab,APPR,ab,55633,,
qd,spd6.0,10598,10601,MÄDCHEN,mädchen,.,$.,--,55633,,
qd,spd6.0,11349,11407,GENOVEFA,genovefa,Adolf,NE,adolf,55633,,(7)
qd,spd6.0,11349,11407,GENOVEFA,genovefa,mit,APPR,mit,55633,,
qd,spd6.0,11349,11407,GENOVEFA,genovefa,Knechten,NN,knecht,55633,,
qd,spd6.0,11349,11407,GENOVEFA,genovefa,",","$,",--,55633,,
qd,spd6.0,11349,11407,GENOVEFA,genovefa,die,ART,der,55633,,
qd,spd6.0,11349,11407,GENOVEFA,genovefa,Sattel,NN,sattel,55633,,
qd,spd6.0,11349,11407,GENOVEFA,genovefa,und,KON,und,55633,,
qd,spd6.0,11349,11407,GENOVEFA,genovefa,Zeug,NN,zeug,55633,,
qd,spd6.0,11349,11407,GENOVEFA,genovefa,und,KON,und,55633,,
qd,spd6.0,11349,11407,GENOVEFA,genovefa,Gewehr,NN,gewehr,55633,,
qd,spd6.0,11349,11407,GENOVEFA,genovefa,tragen,VVINF,tragen,55633,,
qd,spd6.0,11349,11407,GENOVEFA,genovefa,.,$.,--,55633,,
qd,spd6.0,11499,11509,GENOVEFA,genovefa,Steht,NN,stehen,55633,,
qd,spd6.0,11499,11509,GENOVEFA,genovefa,auf,PTKVZ,auf,55633,,
qd,spd6.0,11499,11509,GENOVEFA,genovefa,.,$.,--,55633,,
qd,spd6.0,11930,11955,ADOLF,adolf,Andre,NE,andre,55633,,
qd,spd6.0,11930,11955,ADOLF,adolf,Knechte,NN,knecht,55633,,
qd,spd6.0,11930,11955,ADOLF,adolf,mit,APPR,mit,55633,,
qd,spd6.0,11930,11955,ADOLF,adolf,Waffen,NN,waffe,55633,,
qd,spd6.0,11930,11955,ADOLF,adolf,.,$.,--,55633,,
qd,spd6.0,12537,12540,ADOLF,adolf,Ab,APPR,ab,55633,,
qd,spd6.0,12537,12540,ADOLF,adolf,.,$.,--,55633,,
qd,spd6.0,12544,12579,ADOLF,adolf,Siegfried,NE,siegfried,55633,,(11)
qd,spd6.0,12544,12579,ADOLF,adolf,",","$,",--,55633,,
qd,spd6.0,12544,12579,ADOLF,adolf,Golo,NE,golo,55633,,(12)
qd,spd6.0,12544,12579,ADOLF,adolf,",","$,",--,55633,,
qd,spd6.0,12544,12579,ADOLF,adolf,Gericht,NN,gericht,55633,,
qd,spd6.0,12544,12579,ADOLF,adolf,und,KON,und,55633,,
qd,spd6.0,12544,12579,ADOLF,adolf,Räthe,NN,räthe,55633,,
qd,spd6.0,12544,12579,ADOLF,adolf,.,$.,--,55633,,
qd,spd6.0,12594,12603,GENOVEFA,genovefa,vor,APPR,vor,55633,,
qd,spd6.0,12594,12603,GENOVEFA,genovefa,sich,PRF,sich,55633,,
qd,spd6.0,12594,12603,GENOVEFA,genovefa,.,$.,--,55633,,
qd,spd6.0,12669,12693,SIEGFRIED,siegfried,nimmt,VVFIN,nehmen,55633,,
qd,spd6.0,12669,12693,SIEGFRIED,siegfried,Golo,NE,golo,55633,,(12)
qd,spd6.0,12669,12693,SIEGFRIED,siegfried,bey,NE,bey,55633,,
qd,spd6.0,12669,12693,SIEGFRIED,siegfried,der,ART,der,55633,,
qd,spd6.0,12669,12693,SIEGFRIED,siegfried,Hand,NN,hand,55633,,
qd,spd6.0,12669,12693,SIEGFRIED,siegfried,.,$.,--,55633,,
qd,spd6.0,12807,12829,GOLO,golo,hängt,VVFIN,hängen,55633,,
qd,spd6.0,12807,12829,GOLO,golo,an,APPR,an,55633,,
qd,spd6.0,12807,12829,GOLO,golo,seinem,PPOSAT,sein,55633,,
qd,spd6.0,12807,12829,GOLO,golo,Halse,NN,halse,55633,,
qd,spd6.0,12807,12829,GOLO,golo,.,$.,--,55633,,
qd,spd6.0,13925,13935,SIEGFRIED,siegfried,bey,NE,bey,55633,,
qd,spd6.0,13925,13935,SIEGFRIED,siegfried,Seite,NE,seite,55633,,
qd,spd6.0,13925,13935,SIEGFRIED,siegfried,.,$.,--,55633,,
qd,spd6.0,13994,14004,SIEGFRIED,siegfried,Knecht,NE,knecht,55633,,(1)
qd,spd6.0,13994,14004,SIEGFRIED,siegfried,ab,PTKVZ,ab,55633,,
qd,spd6.0,13994,14004,SIEGFRIED,siegfried,.,$.,--,55633,,
qd,spd6.0,14442,14451,SIEGFRIED,siegfried,küßt,VVFIN,küssen,55633,,
