corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,spd6.0,1063,1115,BERNHARD,bernhard,Stärker,ADJA,stark,53801,,
qd,spd6.0,1063,1115,BERNHARD,bernhard,"!",$.,--,53801,,
qd,spd6.0,1063,1115,BERNHARD,bernhard,Schlafen,NN,schlafen,53801,,
qd,spd6.0,1063,1115,BERNHARD,bernhard,drinnen,ADV,drinnen,53801,,
qd,spd6.0,1063,1115,BERNHARD,bernhard,wie,KOKOM,wie,53801,,
qd,spd6.0,1063,1115,BERNHARD,bernhard,die,ART,der,53801,,
qd,spd6.0,1063,1115,BERNHARD,bernhard,Ratzen,NN,ratze,53801,,
qd,spd6.0,1063,1115,BERNHARD,bernhard,.,$.,--,53801,,
qd,spd6.0,1120,1172,KNECHT,knecht,He,NN,--,53801,,
qd,spd6.0,1120,1172,KNECHT,knecht,da,ADV,da,53801,,
qd,spd6.0,1120,1172,KNECHT,knecht,",","$,",--,53801,,
qd,spd6.0,1120,1172,KNECHT,knecht,drinnen,ADV,drinnen,53801,,
qd,spd6.0,1120,1172,KNECHT,knecht,"!",$.,--,53801,,
qd,spd6.0,1120,1172,KNECHT,knecht,Wacht,NN,wacht,53801,,
qd,spd6.0,1120,1172,KNECHT,knecht,auf,APPR,auf,53801,,
qd,spd6.0,1120,1172,KNECHT,knecht,"!",$.,--,53801,,
qd,spd6.0,1120,1172,KNECHT,knecht,He,NN,--,53801,,
qd,spd6.0,1120,1172,KNECHT,knecht,",","$,",--,53801,,
qd,spd6.0,1120,1172,KNECHT,knecht,Thorwächter,NN,thorwächter,53801,,
qd,spd6.0,1120,1172,KNECHT,knecht,"!",$.,--,53801,,
qd,spd6.0,1177,1216,WÄCHTER,wächter,Wer,PWS,wer,53801,,
qd,spd6.0,1177,1216,WÄCHTER,wächter,klopft,VVFIN,klopfen,53801,,
qd,spd6.0,1177,1216,WÄCHTER,wächter,draus,PROAV,draus,53801,,
qd,spd6.0,1177,1216,WÄCHTER,wächter,?,$.,--,53801,,
qd,spd6.0,1221,1302,BERNHARD,bernhard,Geh,VVIMP,geh,53801,,
qd,spd6.0,1221,1302,BERNHARD,bernhard,',$[,--,53801,,
qd,spd6.0,1221,1302,BERNHARD,bernhard,hin,PTKVZ,hin,53801,,
qd,spd6.0,1221,1302,BERNHARD,bernhard,",","$,",--,53801,,
qd,spd6.0,1221,1302,BERNHARD,bernhard,du,PPER,du,53801,,
qd,spd6.0,1221,1302,BERNHARD,bernhard,",","$,",--,53801,,
qd,spd6.0,1221,1302,BERNHARD,bernhard,sag,VVIMP,sag,53801,,
qd,spd6.0,1221,1302,BERNHARD,bernhard,',$[,--,53801,,
