corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,str1.0,678,792,_Stage,_Stage,Bauernmädchen,NN,bauernmädchen,23278,,
qd,str1.0,678,792,_Stage,_Stage,",","$,",--,23278,,
qd,str1.0,678,792,_Stage,_Stage,darunter,PROAV,darunter,23278,,
qd,str1.0,678,792,_Stage,_Stage,Hannerl,NE,hannerl,23278,,
qd,str1.0,678,792,_Stage,_Stage,",","$,",--,23278,,
qd,str1.0,678,792,_Stage,_Stage,treten,VVFIN,treten,23278,,
qd,str1.0,678,792,_Stage,_Stage,während,APPR,während,23278,,
qd,str1.0,678,792,_Stage,_Stage,dem,ART,der,23278,,
qd,str1.0,678,792,_Stage,_Stage,Ritornell,NN,ritornell,23278,,
qd,str1.0,678,792,_Stage,_Stage,des,ART,der,23278,,
qd,str1.0,678,792,_Stage,_Stage,folgenden,ADJA,folgend,23278,,
qd,str1.0,678,792,_Stage,_Stage,Chores,NN,chore,23278,,
qd,str1.0,678,792,_Stage,_Stage,aus,APPR,aus,23278,,
qd,str1.0,678,792,_Stage,_Stage,dem,ART,der,23278,,
qd,str1.0,678,792,_Stage,_Stage,Hintergrunde,NN,hintergrunde,23278,,
qd,str1.0,678,792,_Stage,_Stage,links,ADV,links,23278,,
qd,str1.0,678,792,_Stage,_Stage,auf,PTKVZ,auf,23278,,
qd,str1.0,678,792,_Stage,_Stage,.,$.,--,23278,,
qd,str1.0,795,800,_Stage,_Stage,Chor,NN,chor,23278,,
qd,str1.0,795,800,_Stage,_Stage,.,$.,--,23278,,
qd,str1.0,935,996,DIE BURSCHE,die_bauernbursche,darunter,PROAV,darunter,23278,,
qd,str1.0,935,996,DIE BURSCHE,die_bauernbursche,Christoph,NE,christoph,23278,,
qd,str1.0,935,996,DIE BURSCHE,die_bauernbursche,und,KON,und,23278,,
qd,str1.0,935,996,DIE BURSCHE,die_bauernbursche,Hanns,NE,hanns,23278,,
qd,str1.0,935,996,DIE BURSCHE,die_bauernbursche,von,APPR,von,23278,,
