corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,strd.0,858,1201,CHOR,chor,Das,PDS,der,19181,,
qd,strd.0,858,1201,CHOR,chor,wird,VAFIN,werden,19181,,
qd,strd.0,858,1201,CHOR,chor,ein,ART,ein,19181,,
qd,strd.0,858,1201,CHOR,chor,Tag,NN,tag,19181,,
qd,strd.0,858,1201,CHOR,chor,der,ART,der,19181,,
qd,strd.0,858,1201,CHOR,chor,Freude,NN,freude,19181,,
qd,strd.0,858,1201,CHOR,chor,sein,VAINF,sein,19181,,
qd,strd.0,858,1201,CHOR,chor,",","$,",--,19181,,
qd,strd.0,858,1201,CHOR,chor,Heut,NE,heut,19181,,
qd,strd.0,858,1201,CHOR,chor,',$[,--,19181,,
qd,strd.0,858,1201,CHOR,chor,ziehet,VVFIN,ziehet,19181,,
qd,strd.0,858,1201,CHOR,chor,unser,PPOSAT,unser,19181,,
qd,strd.0,858,1201,CHOR,chor,Gutsherr,NN,gutsherr,19181,,
qd,strd.0,858,1201,CHOR,chor,ein,PTKVZ,ein,19181,,
qd,strd.0,858,1201,CHOR,chor,.,$.,--,19181,,
qd,strd.0,858,1201,CHOR,chor,Schwingt,VVFIN,schwingen,19181,,
qd,strd.0,858,1201,CHOR,chor,in,APPR,in,19181,,
qd,strd.0,858,1201,CHOR,chor,der,ART,der,19181,,
qd,strd.0,858,1201,CHOR,chor,Luft,NN,luft,19181,,
qd,strd.0,858,1201,CHOR,chor,den,ART,der,19181,,
qd,strd.0,858,1201,CHOR,chor,Blumenkranz,NN,blumenkranz,19181,,
qd,strd.0,858,1201,CHOR,chor,",","$,",--,19181,,
qd,strd.0,858,1201,CHOR,chor,Beim,APPRART,bei,19181,,
qd,strd.0,858,1201,CHOR,chor,Feste,NN,fest,19181,,
qd,strd.0,858,1201,CHOR,chor,winkt,VVFIN,winken,19181,,
qd,strd.0,858,1201,CHOR,chor,uns,PPER,uns,19181,,
qd,strd.0,858,1201,CHOR,chor,Spiel,NN,spiel,19181,,
qd,strd.0,858,1201,CHOR,chor,und,KON,und,19181,,
qd,strd.0,858,1201,CHOR,chor,Tanz,NN,tanz,19181,,
qd,strd.0,858,1201,CHOR,chor,",","$,",--,19181,,
qd,strd.0,858,1201,CHOR,chor,Da,KOUS,da,19181,,
qd,strd.0,858,1201,CHOR,chor,wird,VAFIN,werden,19181,,
qd,strd.0,858,1201,CHOR,chor,gescherzt,VVPP,scherzen,19181,,
qd,strd.0,858,1201,CHOR,chor,",","$,",--,19181,,
qd,strd.0,858,1201,CHOR,chor,da,ADV,da,19181,,
qd,strd.0,858,1201,CHOR,chor,wird,VAFIN,werden,19181,,
qd,strd.0,858,1201,CHOR,chor,gelacht,VVPP,lachen,19181,,
qd,strd.0,858,1201,CHOR,chor,",","$,",--,19181,,
qd,strd.0,858,1201,CHOR,chor,Der,ART,der,19181,,
qd,strd.0,858,1201,CHOR,chor,Jubel,NN,jubel,19181,,
qd,strd.0,858,1201,CHOR,chor,währt,VVFIN,währen,19181,,
qd,strd.0,858,1201,CHOR,chor,bis,APPR,bis,19181,,
qd,strd.0,858,1201,CHOR,chor,in,APPR,in,19181,,
qd,strd.0,858,1201,CHOR,chor,die,ART,der,19181,,
qd,strd.0,858,1201,CHOR,chor,Nacht,NN,nacht,19181,,
qd,strd.0,858,1201,CHOR,chor,;,$.,--,19181,,
qd,strd.0,858,1201,CHOR,chor,Heut,NE,heut,19181,,
qd,strd.0,858,1201,CHOR,chor,',$[,--,19181,,
qd,strd.0,858,1201,CHOR,chor,ziehet,VVFIN,ziehet,19181,,
qd,strd.0,858,1201,CHOR,chor,unser,PPOSAT,unser,19181,,
qd,strd.0,858,1201,CHOR,chor,Gutsherr,NN,gutsherr,19181,,
qd,strd.0,858,1201,CHOR,chor,ein,PTKVZ,ein,19181,,
qd,strd.0,858,1201,CHOR,chor,",","$,",--,19181,,
qd,strd.0,858,1201,CHOR,chor,Das,PDS,der,19181,,
qd,strd.0,858,1201,CHOR,chor,wird,VAFIN,werden,19181,,
qd,strd.0,858,1201,CHOR,chor,ein,ART,ein,19181,,
qd,strd.0,858,1201,CHOR,chor,Tag,NN,tag,19181,,
qd,strd.0,858,1201,CHOR,chor,der,ART,der,19181,,
qd,strd.0,858,1201,CHOR,chor,Freude,NN,freude,19181,,
qd,strd.0,858,1201,CHOR,chor,sein,VAINF,sein,19181,,
qd,strd.0,858,1201,CHOR,chor,"!",$.,--,19181,,
qd,strd.0,1378,1441,HEINRICH,heinrich,Jetzt,ADV,jetzt,19181,,
qd,strd.0,1378,1441,HEINRICH,heinrich,",","$,",--,19181,,
qd,strd.0,1378,1441,HEINRICH,heinrich,hoffe,VVFIN,hoffen,19181,,
qd,strd.0,1378,1441,HEINRICH,heinrich,ich,PPER,ich,19181,heinrich,(1)
qd,strd.0,1378,1441,HEINRICH,heinrich,",","$,",--,19181,,
qd,strd.0,1378,1441,HEINRICH,heinrich,wird,VAFIN,werden,19181,,
qd,strd.0,1378,1441,HEINRICH,heinrich,der,ART,der,19181,,
qd,strd.0,1378,1441,HEINRICH,heinrich,günstige,ADJA,günstig,19181,,
qd,strd.0,1378,1441,HEINRICH,heinrich,Augenblick,NN,augenblick,19181,,
qd,strd.0,1378,1441,HEINRICH,heinrich,sein,VAINF,sein,19181,,
qd,strd.0,1378,1441,HEINRICH,heinrich,.,$.,--,19181,,
qd,strd.0,1446,1608,JOHANN,johann,Alles,PIS,alle,19181,,
qd,strd.0,1446,1608,JOHANN,johann,eilt,VVFIN,eilen,19181,,
qd,strd.0,1446,1608,JOHANN,johann,schon,ADV,schon,19181,,
qd,strd.0,1446,1608,JOHANN,johann,zum,APPRART,zu,19181,,
qd,strd.0,1446,1608,JOHANN,johann,Schloß,NN,schloß,19181,,
qd,strd.0,1446,1608,JOHANN,johann,hinauf,ADV,hinauf,19181,,
qd,strd.0,1446,1608,JOHANN,johann,",","$,",--,19181,,
qd,strd.0,1446,1608,JOHANN,johann,der,ART,der,19181,,
qd,strd.0,1446,1608,JOHANN,johann,Müller,NE,müller,19181,,
qd,strd.0,1446,1608,JOHANN,johann,ist,VAFIN,sein,19181,,
qd,strd.0,1446,1608,JOHANN,johann,früher,ADV,früh,19181,,
qd,strd.0,1446,1608,JOHANN,johann,schon,ADV,schon,19181,,
qd,strd.0,1446,1608,JOHANN,johann,fortgegangen,VVPP,fortgehen,19181,,
qd,strd.0,1446,1608,JOHANN,johann,",","$,",--,19181,,
qd,strd.0,1446,1608,JOHANN,johann,du,PPER,du,19181,,
qd,strd.0,1446,1608,JOHANN,johann,kannst,VMFIN,können,19181,,
qd,strd.0,1446,1608,JOHANN,johann,also,ADV,also,19181,,
qd,strd.0,1446,1608,JOHANN,johann,ungestört,ADJD,ungestört,19181,,
qd,strd.0,1446,1608,JOHANN,johann,eine,ART,ein,19181,,
qd,strd.0,1446,1608,JOHANN,johann,Viertelstunde,NN,viertelstunde,19181,,
qd,strd.0,1446,1608,JOHANN,johann,bei,APPR,bei,19181,,
qd,strd.0,1446,1608,JOHANN,johann,deiner,ADJA,dein,19181,,
qd,strd.0,1446,1608,JOHANN,johann,Geliebten,NN,geliebter,19181,,
qd,strd.0,1446,1608,JOHANN,johann,zubringen,VVINF,zubringen,19181,,
qd,strd.0,1446,1608,JOHANN,johann,.,$.,--,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,Wenn,KOUS,wenn,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,nur,ADV,nur,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,auf,APPR,auf,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,dem,ART,der,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,Schloß,NN,schloß,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,alles,PIS,alle,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,in,APPR,in,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,Ordnung,NN,ordnung,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,ist,VAFIN,sein,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,"!",$.,--,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,Der,ART,der,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,gnädige,ADJA,gnädig,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,Herr,NN,herr,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,kann,VMFIN,können,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,jeden,PIDAT,jeder,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,Augenblick,NN,augenblick,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,hier,ADV,hier,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,sein,VAINF,sein,19181,,
qd,strd.0,1614,1720,HEINRICH,heinrich,.,$.,--,19181,,
qd,strd.0,1725,2252,JOHANN,johann,Sei,VAIMP,sein,19181,,
