corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,strx.0,2298,2504,CYPRIAN,cyprian,Der,ART,der,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,gnädige,ADJA,gnädig,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,Herr,NN,herr,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,raucht,VVFIN,rauchen,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,jetzt,ADV,jetzt,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,Tobak,NN,tobak,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,",","$,",--,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,Ist,VAFIN,sein,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,nicht,PTKNEG,nicht,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,zu,PTKZU,zu,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,sprechen,VVINF,sprechen,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,vormittag,ADV,vormittag,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,.,$.,--,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,Was,PWS,was,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,',$[,--,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,kocht,ADJD,kochen,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,wird,VAFIN,werden,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,",","$,",--,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,ihn,PPER,ihn,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,nicht,PTKNEG,nicht,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,kümmern,VVINF,kümmern,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,tut,VVFIN,tun,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,",","$,",--,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,Es,PPER,es,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,soll,VMFIN,sollen,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,nur,ADV,nur,32624,,
qd,strx.0,2298,2504,CYPRIAN,cyprian,viel,PIDAT,viel,32624,,
