corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,t25v.0,493,521,_Stage,_Stage,Sir,NN,Sir,32042,,
qd,t25v.0,493,521,_Stage,_Stage,Willhelm,NE,willhelm,32042,,(0)
qd,t25v.0,493,521,_Stage,_Stage,und,KON,und,32042,,
qd,t25v.0,493,521,_Stage,_Stage,Sir,NN,Sir,32042,,
qd,t25v.0,493,521,_Stage,_Stage,Robert,NE,robert,32042,,(1)
qd,t25v.0,493,521,_Stage,_Stage,.,$.,--,32042,,
qd,t25v.0,6695,6703,ROBERT,robert,Geht,VVFIN,gehen,32042,,
qd,t25v.0,6695,6703,ROBERT,robert,ab,PTKVZ,ab,32042,,
qd,t25v.0,6695,6703,ROBERT,robert,.,$.,--,32042,,
qd,t25v.0,6757,6791,_Stage,_Stage,Willhelm,NE,willhelm,32042,,(0)
qd,t25v.0,6757,6791,_Stage,_Stage,Southwell,NE,southwell,32042,,
qd,t25v.0,6757,6791,_Stage,_Stage,.,$.,--,32042,,
qd,t25v.0,6757,6791,_Stage,_Stage,Lucie,NE,lucie,32042,,(2)
qd,t25v.0,6757,6791,_Stage,_Stage,Woodvil,NE,woodvil,32042,,
qd,t25v.0,6757,6791,_Stage,_Stage,.,$.,--,32042,,
qd,t25v.0,8228,8237,LUCIE,lucie,beiseite,ADV,beiseite,32042,,
qd,t25v.0,8228,8237,LUCIE,lucie,.,$.,--,32042,,
qd,t25v.0,8255,8268,LUCIE,lucie,Zu,PTKZU,zu,32042,,
qd,t25v.0,8255,8268,LUCIE,lucie,Southwell,VVINF,southwell,32042,,
qd,t25v.0,8255,8268,LUCIE,lucie,.,$.,--,32042,,
qd,t25v.0,13289,13301,LUCIE,lucie,Sie,PPER,sie,32042,,
qd,t25v.0,13289,13301,LUCIE,lucie,seufzet,VVFIN,seufzet,32042,,
qd,t25v.0,13289,13301,LUCIE,lucie,.,$.,--,32042,,
qd,t25v.0,14757,14779,_Stage,_Stage,Die,ART,der,32042,,
qd,t25v.0,14757,14779,_Stage,_Stage,Vorigen,NN,vorige,32042,,
qd,t25v.0,14757,14779,_Stage,_Stage,und,KON,und,32042,,
qd,t25v.0,14757,14779,_Stage,_Stage,Betty,NE,betty,32042,,(3)
