corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,t977.0,890,1056,LIDI,lidi,Vergiß,ADV,vergiß,14280,,
qd,t977.0,890,1056,LIDI,lidi,nicht,PTKNEG,nicht,14280,,
qd,t977.0,890,1056,LIDI,lidi,",","$,",--,14280,,
qd,t977.0,890,1056,LIDI,lidi,erhabene,ADJA,erhaben,14280,,
qd,t977.0,890,1056,LIDI,lidi,Fee,NN,fee,14280,FEE,fee
qd,t977.0,890,1056,LIDI,lidi,",","$,",--,14280,,
qd,t977.0,890,1056,LIDI,lidi,daß,KOUS,daß,14280,,
qd,t977.0,890,1056,LIDI,lidi,heute,ADV,heute,14280,,
qd,t977.0,890,1056,LIDI,lidi,wieder,ADV,wieder,14280,,
qd,t977.0,890,1056,LIDI,lidi,hundert,CARD,hundert,14280,,
qd,t977.0,890,1056,LIDI,lidi,Jahre,NN,jahr,14280,,
qd,t977.0,890,1056,LIDI,lidi,herum,APZR,herum,14280,,
qd,t977.0,890,1056,LIDI,lidi,sind,VAFIN,sein,14280,,
qd,t977.0,890,1056,LIDI,lidi,und,KON,und,14280,,
qd,t977.0,890,1056,LIDI,lidi,du,PPER,du,14280,,
qd,t977.0,890,1056,LIDI,lidi,dich,PRF,dich,14280,,
qd,t977.0,890,1056,LIDI,lidi,entschließen,VVFIN,entschließen,14280,,
qd,t977.0,890,1056,LIDI,lidi,mußt,VMFIN,mussen,14280,,
qd,t977.0,890,1056,LIDI,lidi,",","$,",--,14280,,
qd,t977.0,890,1056,LIDI,lidi,die,ART,der,14280,,
qd,t977.0,890,1056,LIDI,lidi,Zaubergaben,NN,zaubergabe,14280,,
qd,t977.0,890,1056,LIDI,lidi,wieder,ADV,wieder,14280,,
qd,t977.0,890,1056,LIDI,lidi,einem,PIS,einer,14280,,
qd,t977.0,890,1056,LIDI,lidi,der,ART,der,14280,,
qd,t977.0,890,1056,LIDI,lidi,Sterblichen,NN,sterbliche,14280,,
qd,t977.0,890,1056,LIDI,lidi,zu,PTKZU,zu,14280,,
qd,t977.0,890,1056,LIDI,lidi,verleihen,VVINF,verleihen,14280,,
qd,t977.0,890,1056,LIDI,lidi,.,$.,--,14280,,
qd,t977.0,1061,1146,FEE,fee,Verdienen,NN,verdeinen,14280,,
qd,t977.0,1061,1146,FEE,fee,denn,ADV,denn,14280,,
qd,t977.0,1061,1146,FEE,fee,die,ART,der,14280,,
qd,t977.0,1061,1146,FEE,fee,Menschen,NN,mensch,14280,,
qd,t977.0,1061,1146,FEE,fee,der,ART,der,14280,,
qd,t977.0,1061,1146,FEE,fee,heutigen,ADJA,heutig,14280,,
qd,t977.0,1061,1146,FEE,fee,Zeit,NN,zeit,14280,,
qd,t977.0,1061,1146,FEE,fee,",","$,",--,14280,,
qd,t977.0,1061,1146,FEE,fee,daß,KOUS,daß,14280,,
qd,t977.0,1061,1146,FEE,fee,eine,ART,ein,14280,,
qd,t977.0,1061,1146,FEE,fee,Fee,NN,fee,14280,FEE,fee
qd,t977.0,1061,1146,FEE,fee,ihrer,PPOSAT,ihr,14280,,
qd,t977.0,1061,1146,FEE,fee,noch,ADV,noch,14280,,
qd,t977.0,1061,1146,FEE,fee,gedenke,ADJA,gedenken,14280,,
qd,t977.0,1061,1146,FEE,fee,?,$.,--,14280,,
qd,t977.0,1151,1228,LIDI,lidi,Es,PPER,es,14280,,
qd,t977.0,1151,1228,LIDI,lidi,gibt,VVFIN,geben,14280,,
qd,t977.0,1151,1228,LIDI,lidi,mitunter,ADV,mitunter,14280,,
qd,t977.0,1151,1228,LIDI,lidi,recht,ADV,recht,14280,,
qd,t977.0,1151,1228,LIDI,lidi,artige,ADJA,artig,14280,,
qd,t977.0,1151,1228,LIDI,lidi,Menschen,NN,mensch,14280,,
qd,t977.0,1151,1228,LIDI,lidi,",","$,",--,14280,,
qd,t977.0,1151,1228,LIDI,lidi,denen,PRELS,der,14280,,
qd,t977.0,1151,1228,LIDI,lidi,ich,PPER,ich,14280,LIDI,lidi
qd,t977.0,1151,1228,LIDI,lidi,gar,ADV,gar,14280,,
qd,t977.0,1151,1228,LIDI,lidi,nicht,PTKNEG,nicht,14280,,
qd,t977.0,1151,1228,LIDI,lidi,feind,ADJD,feind,14280,,
qd,t977.0,1151,1228,LIDI,lidi,bin,VAFIN,sein,14280,,
qd,t977.0,1151,1228,LIDI,lidi,.,$.,--,14280,,
qd,t977.0,1233,1553,FEE,fee,Du,PPER,du,14280,,
qd,t977.0,1233,1553,FEE,fee,scheinst,ADV,scheinst,14280,,
qd,t977.0,1233,1553,FEE,fee,von,APPR,von,14280,,
qd,t977.0,1233,1553,FEE,fee,jeher,ADV,jeher,14280,,
qd,t977.0,1233,1553,FEE,fee,mehr,PIAT,mehr,14280,,
qd,t977.0,1233,1553,FEE,fee,Vorliebe,NN,vorliebe,14280,,
qd,t977.0,1233,1553,FEE,fee,für,APPR,für,14280,,
qd,t977.0,1233,1553,FEE,fee,sie,PPER,sie,14280,,
qd,t977.0,1233,1553,FEE,fee,zu,PTKZU,zu,14280,,
qd,t977.0,1233,1553,FEE,fee,haben,VAINF,haben,14280,,
qd,t977.0,1233,1553,FEE,fee,",","$,",--,14280,,
qd,t977.0,1233,1553,FEE,fee,als,APPR,als,14280,,
qd,t977.0,1233,1553,FEE,fee,der,ART,der,14280,,
qd,t977.0,1233,1553,FEE,fee,Feenwelt,NN,feenwelt,14280,,
qd,t977.0,1233,1553,FEE,fee,anzugehören,VVIZU,anzuhören,14280,,
qd,t977.0,1233,1553,FEE,fee,.,$.,--,14280,,
qd,t977.0,1233,1553,FEE,fee,Ich,PPER,ich,14280,,
qd,t977.0,1233,1553,FEE,fee,bedaure,VVFIN,bedauern,14280,,
qd,t977.0,1233,1553,FEE,fee,dich,PRF,dich,14280,,
qd,t977.0,1233,1553,FEE,fee,;,$.,--,14280,,
qd,t977.0,1233,1553,FEE,fee,denn,KON,denn,14280,,
qd,t977.0,1233,1553,FEE,fee,ich,PPER,ich,14280,FEE,fee
qd,t977.0,1233,1553,FEE,fee,kenne,VVFIN,kennen,14280,,
qd,t977.0,1233,1553,FEE,fee,diese,PDAT,dieser,14280,,
qd,t977.0,1233,1553,FEE,fee,Menschen,NN,mensch,14280,,
qd,t977.0,1233,1553,FEE,fee,.,$.,--,14280,,
qd,t977.0,1233,1553,FEE,fee,–,XY,–,14280,,
qd,t977.0,1233,1553,FEE,fee,Uns,PPER,uns,14280,,
qd,t977.0,1233,1553,FEE,fee,Feen,NN,feen,14280,,
qd,t977.0,1233,1553,FEE,fee,selbst,ADV,selbst,14280,,
qd,t977.0,1233,1553,FEE,fee,schont,VVFIN,schonen,14280,,
qd,t977.0,1233,1553,FEE,fee,ihre,PPOSAT,ihr,14280,,
qd,t977.0,1233,1553,FEE,fee,Sucht,NN,sucht,14280,,
qd,t977.0,1233,1553,FEE,fee,zu,PTKZU,zu,14280,,
qd,t977.0,1233,1553,FEE,fee,spotten,VVINF,spotten,14280,,
qd,t977.0,1233,1553,FEE,fee,nicht,PTKNEG,nicht,14280,,
qd,t977.0,1233,1553,FEE,fee,mehr,ADV,mehr,14280,,
qd,t977.0,1233,1553,FEE,fee,"!",$.,--,14280,,
qd,t977.0,1233,1553,FEE,fee,Müßt,VVFIN,müssen,14280,,
qd,t977.0,1233,1553,FEE,fee,ich,PPER,ich,14280,FEE,fee
qd,t977.0,1233,1553,FEE,fee,nicht,PTKNEG,nicht,14280,,
qd,t977.0,1233,1553,FEE,fee,den,ART,der,14280,,
qd,t977.0,1233,1553,FEE,fee,Spruch,NN,spruch,14280,,
qd,t977.0,1233,1553,FEE,fee,des,ART,der,14280,,
qd,t977.0,1233,1553,FEE,fee,Schicksals,NN,schicksal,14280,,
qd,t977.0,1233,1553,FEE,fee,erfüllen,VVINF,erfüllen,14280,,
qd,t977.0,1233,1553,FEE,fee,",","$,",--,14280,,
qd,t977.0,1233,1553,FEE,fee,ich,PPER,ich,14280,FEE,fee
qd,t977.0,1233,1553,FEE,fee,würde,VAFIN,werden,14280,,
qd,t977.0,1233,1553,FEE,fee,die,ART,der,14280,,
qd,t977.0,1233,1553,FEE,fee,Zaubergaben,NN,zaubergabe,14280,,
qd,t977.0,1233,1553,FEE,fee,auf,APPR,auf,14280,,
qd,t977.0,1233,1553,FEE,fee,ewig,ADJD,ewig,14280,,
qd,t977.0,1233,1553,FEE,fee,in,APPR,in,14280,,
qd,t977.0,1233,1553,FEE,fee,ihrer,PPOSAT,ihr,14280,,
qd,t977.0,1233,1553,FEE,fee,Vergessenheit,NN,vergessenheit,14280,,
qd,t977.0,1233,1553,FEE,fee,ruhen,VVFIN,ruhen,14280,,
qd,t977.0,1233,1553,FEE,fee,lassen,VVINF,lassen,14280,,
qd,t977.0,1233,1553,FEE,fee,.,$.,--,14280,,
qd,t977.0,1558,1629,LIDI,lidi,Wem,PWS,wem,14280,,
qd,t977.0,1558,1629,LIDI,lidi,willst,VMFIN,wollen,14280,,
qd,t977.0,1558,1629,LIDI,lidi,du,PPER,du,14280,,
qd,t977.0,1558,1629,LIDI,lidi,sie,PPER,sie,14280,,
qd,t977.0,1558,1629,LIDI,lidi,dann,ADV,dann,14280,,
qd,t977.0,1558,1629,LIDI,lidi,zuwenden,VVINF,zuwenden,14280,,
qd,t977.0,1558,1629,LIDI,lidi,?,$.,--,14280,,
qd,t977.0,1558,1629,LIDI,lidi,Du,PPER,du,14280,,
qd,t977.0,1558,1629,LIDI,lidi,mußt,VMFIN,mussen,14280,,
qd,t977.0,1558,1629,LIDI,lidi,dich,PRF,dich,14280,,
qd,t977.0,1558,1629,LIDI,lidi,doch,ADV,doch,14280,,
qd,t977.0,1558,1629,LIDI,lidi,entschließen,VVFIN,entschließen,14280,,
qd,t977.0,1558,1629,LIDI,lidi,"!",$.,--,14280,,
qd,t977.0,1634,1939,FEE,fee,Ein,ART,ein,14280,,
qd,t977.0,1634,1939,FEE,fee,verhaßter,ADJA,verhaßt,14280,,
qd,t977.0,1634,1939,FEE,fee,Zwang,NN,zwang,14280,,
qd,t977.0,1634,1939,FEE,fee,"!",$.,--,14280,,
qd,t977.0,1634,1939,FEE,fee,Wer,PWS,wer,14280,,
qd,t977.0,1634,1939,FEE,fee,verdient,VVFIN,verdienen,14280,,
qd,t977.0,1634,1939,FEE,fee,noch,ADV,noch,14280,,
qd,t977.0,1634,1939,FEE,fee,",","$,",--,14280,,
qd,t977.0,1634,1939,FEE,fee,glücklich,ADJD,glücklich,14280,,
qd,t977.0,1634,1939,FEE,fee,zu,PTKZU,zu,14280,,
qd,t977.0,1634,1939,FEE,fee,werden,VAINF,werden,14280,,
qd,t977.0,1634,1939,FEE,fee,?,$.,--,14280,,
qd,t977.0,1634,1939,FEE,fee,Bin,NE,sein,14280,,
qd,t977.0,1634,1939,FEE,fee,ich,PPER,ich,14280,FEE,fee
qd,t977.0,1634,1939,FEE,fee,nicht,PTKNEG,nicht,14280,,
qd,t977.0,1634,1939,FEE,fee,immer,ADV,immer,14280,,
qd,t977.0,1634,1939,FEE,fee,betrogen,VVPP,betrügen,14280,,
qd,t977.0,1634,1939,FEE,fee,worden,VAPP,werden,14280,,
qd,t977.0,1634,1939,FEE,fee,?,$.,--,14280,,
qd,t977.0,1634,1939,FEE,fee,Beglückte,VVFIN,beglücken,14280,,
qd,t977.0,1634,1939,FEE,fee,ich,PPER,ich,14280,FEE,fee
qd,t977.0,1634,1939,FEE,fee,einen,ART,ein,14280,,
qd,t977.0,1634,1939,FEE,fee,Armen,NN,arme,14280,,
qd,t977.0,1634,1939,FEE,fee,",","$,",--,14280,,
qd,t977.0,1634,1939,FEE,fee,so,ADV,so,14280,,
qd,t977.0,1634,1939,FEE,fee,mißbrauchte,ADJA,mißbrauchen,14280,,
qd,t977.0,1634,1939,FEE,fee,er,PPER,er,14280,,
qd,t977.0,1634,1939,FEE,fee,im,APPRART,in,14280,,
qd,t977.0,1634,1939,FEE,fee,frechen,ADJA,frechen,14280,,
qd,t977.0,1634,1939,FEE,fee,Übermute,NN,übermut,14280,,
qd,t977.0,1634,1939,FEE,fee,meine,PPOSAT,mein,14280,FEE,fee
qd,t977.0,1634,1939,FEE,fee,Gaben,NN,gabe,14280,,
qd,t977.0,1634,1939,FEE,fee,–,XY,–,14280,,
qd,t977.0,1634,1939,FEE,fee,wandte,VVFIN,wenden,14280,,
qd,t977.0,1634,1939,FEE,fee,ich,PPER,ich,14280,FEE,fee
qd,t977.0,1634,1939,FEE,fee,sie,PPER,sie,14280,,
qd,t977.0,1634,1939,FEE,fee,einem,ART,ein,14280,,
qd,t977.0,1634,1939,FEE,fee,Reichen,NN,reichen,14280,,
qd,t977.0,1634,1939,FEE,fee,zu,PTKVZ,zu,14280,,
qd,t977.0,1634,1939,FEE,fee,",","$,",--,14280,,
qd,t977.0,1634,1939,FEE,fee,so,ADV,so,14280,,
qd,t977.0,1634,1939,FEE,fee,ward,VVFIN,werden,14280,,
qd,t977.0,1634,1939,FEE,fee,es,PPER,es,14280,,
qd,t977.0,1634,1939,FEE,fee,für,APPR,für,14280,,
qd,t977.0,1634,1939,FEE,fee,ihn,PPER,ihn,14280,,
qd,t977.0,1634,1939,FEE,fee,nur,ADV,nur,14280,,
qd,t977.0,1634,1939,FEE,fee,eine,ART,ein,14280,,
qd,t977.0,1634,1939,FEE,fee,neue,ADJA,neu,14280,,
qd,t977.0,1634,1939,FEE,fee,Quelle,NN,quelle,14280,,
qd,t977.0,1634,1939,FEE,fee,",","$,",--,14280,,
qd,t977.0,1634,1939,FEE,fee,den,ART,der,14280,,
qd,t977.0,1634,1939,FEE,fee,Armen,NN,arme,14280,,
qd,t977.0,1634,1939,FEE,fee,zu,PTKZU,zu,14280,,
qd,t977.0,1634,1939,FEE,fee,höhnen,VVINF,höhnen,14280,,
qd,t977.0,1634,1939,FEE,fee,.,$.,--,14280,,
qd,t977.0,1634,1939,FEE,fee,Wem,PWS,wem,14280,,
qd,t977.0,1634,1939,FEE,fee,soll,VMFIN,sollen,14280,,
qd,t977.0,1634,1939,FEE,fee,ich,PPER,ich,14280,FEE,fee
qd,t977.0,1634,1939,FEE,fee,sie,PPER,sie,14280,,
qd,t977.0,1634,1939,FEE,fee,verleihen,VVINF,verleihen,14280,,
qd,t977.0,1634,1939,FEE,fee,?,$.,--,14280,,
qd,t977.0,1944,2129,LIDI,lidi,Überlasse,NN,überlasse,14280,,
qd,t977.0,1944,2129,LIDI,lidi,es,PPER,es,14280,,
qd,t977.0,1944,2129,LIDI,lidi,dem,ART,der,14280,,
qd,t977.0,1944,2129,LIDI,lidi,Zufalle,NN,zufalle,14280,,
qd,t977.0,1944,2129,LIDI,lidi,.,$.,--,14280,,
qd,t977.0,1944,2129,LIDI,lidi,Lasse,NN,lasse,14280,,
qd,t977.0,1944,2129,LIDI,lidi,sie,PPER,sie,14280,,
qd,t977.0,1944,2129,LIDI,lidi,jenen,PDAT,jener,14280,,
qd,t977.0,1944,2129,LIDI,lidi,finden,VVINF,finden,14280,,
qd,t977.0,1944,2129,LIDI,lidi,",","$,",--,14280,,
qd,t977.0,1944,2129,LIDI,lidi,der,PRELS,der,14280,,
qd,t977.0,1944,2129,LIDI,lidi,in,APPR,in,14280,,
qd,t977.0,1944,2129,LIDI,lidi,diesem,PDAT,dieser,14280,,
qd,t977.0,1944,2129,LIDI,lidi,Augenblicke,NN,augenblick,14280,,
qd,t977.0,1944,2129,LIDI,lidi,sich,PRF,sich,14280,,
qd,t977.0,1944,2129,LIDI,lidi,am,APPRART,an,14280,,
qd,t977.0,1944,2129,LIDI,lidi,nächsten,ADJA,nächster,14280,,
qd,t977.0,1944,2129,LIDI,lidi,bei,APPR,bei,14280,,
qd,t977.0,1944,2129,LIDI,lidi,den,ART,der,14280,,
qd,t977.0,1944,2129,LIDI,lidi,Ruinen,NN,ruine,14280,,
qd,t977.0,1944,2129,LIDI,lidi,im,APPRART,in,14280,,
qd,t977.0,1944,2129,LIDI,lidi,Palmentale,NN,palmental,14280,,
qd,t977.0,1944,2129,LIDI,lidi,",","$,",--,14280,,
qd,t977.0,1944,2129,LIDI,lidi,in,APPR,in,14280,,
qd,t977.0,1944,2129,LIDI,lidi,welchem,PWAT,welcher,14280,,
qd,t977.0,1944,2129,LIDI,lidi,diese,PDAT,dieser,14280,,
qd,t977.0,1944,2129,LIDI,lidi,Zaubergaben,NN,zaubergabe,14280,,
qd,t977.0,1944,2129,LIDI,lidi,aufbewahrt,VVPP,aufbewahren,14280,,
qd,t977.0,1944,2129,LIDI,lidi,sind,VAFIN,sein,14280,,
qd,t977.0,1944,2129,LIDI,lidi,",","$,",--,14280,,
qd,t977.0,1944,2129,LIDI,lidi,befindet,VVFIN,befinden,14280,,
qd,t977.0,1944,2129,LIDI,lidi,.,$.,--,14280,,
qd,t977.0,2134,2530,FEE,fee,Lidi,NE,lidi,14280,LIDI,lidi
qd,t977.0,2134,2530,FEE,fee,hat,VAFIN,haben,14280,,
qd,t977.0,2134,2530,FEE,fee,recht,ADJD,recht,14280,,
qd,t977.0,2134,2530,FEE,fee,"!",$.,--,14280,,
qd,t977.0,2134,2530,FEE,fee,Nach,APPR,nach,14280,,
qd,t977.0,2134,2530,FEE,fee,Zufall,NN,zufall,14280,,
qd,t977.0,2134,2530,FEE,fee,will,VMFIN,wollen,14280,,
