corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,t97f.0,628,730,_Stage,_Stage,Garten,NN,garten,16187,,
qd,t97f.0,628,730,_Stage,_Stage,in,APPR,in,16187,,
qd,t97f.0,628,730,_Stage,_Stage,Hermionens,NE,hermionen,16187,,
qd,t97f.0,628,730,_Stage,_Stage,Palaste,NE,palaste,16187,,
qd,t97f.0,628,730,_Stage,_Stage,.,$.,--,16187,,
qd,t97f.0,628,730,_Stage,_Stage,In,APPR,in,16187,,
qd,t97f.0,628,730,_Stage,_Stage,der,ART,der,16187,,
qd,t97f.0,628,730,_Stage,_Stage,Mitte,NN,mitte,16187,,
qd,t97f.0,628,730,_Stage,_Stage,ein,ART,ein,16187,,
qd,t97f.0,628,730,_Stage,_Stage,erhabener,ADJA,erhaben,16187,,
qd,t97f.0,628,730,_Stage,_Stage,Thron,NN,thron,16187,,
qd,t97f.0,628,730,_Stage,_Stage,mit,APPR,mit,16187,,
qd,t97f.0,628,730,_Stage,_Stage,Veilchengirlanden,NN,veilchengirland,16187,,
qd,t97f.0,628,730,_Stage,_Stage,auf,APPR,auf,16187,,
qd,t97f.0,628,730,_Stage,_Stage,Blumenstufen,NN,blumenstufe,16187,,
qd,t97f.0,628,730,_Stage,_Stage,.,$.,--,16187,,
qd,t97f.0,733,776,_Stage,_Stage,Affriduro,NE,affriduro,16187,,
qd,t97f.0,733,776,_Stage,_Stage,.,$.,--,16187,,
qd,t97f.0,733,776,_Stage,_Stage,Odi,NE,odi,16187,,
qd,t97f.0,733,776,_Stage,_Stage,.,$.,--,16187,,
qd,t97f.0,733,776,_Stage,_Stage,Opferdiener,NE,opferdiener,16187,,
qd,t97f.0,733,776,_Stage,_Stage,.,$.,--,16187,,
qd,t97f.0,733,776,_Stage,_Stage,Inselbewohner,NN,inselbewohner,16187,,
qd,t97f.0,733,776,_Stage,_Stage,.,$.,--,16187,,
qd,t97f.0,779,799,_Stage,_Stage,Alles,PIS,alle,16187,,
qd,t97f.0,779,799,_Stage,_Stage,in,APPR,in,16187,,
qd,t97f.0,779,799,_Stage,_Stage,Bestürzung,NN,bestürzung,16187,,
qd,t97f.0,779,799,_Stage,_Stage,.,$.,--,16187,,
qd,t97f.0,1237,1290,_Stage,_Stage,Vorige,NN,vorige,16187,,
qd,t97f.0,1237,1290,_Stage,_Stage,.,$.,--,16187,,
qd,t97f.0,1237,1290,_Stage,_Stage,Distichon,NN,distichon,16187,,
qd,t97f.0,1237,1290,_Stage,_Stage,mit,APPR,mit,16187,,
qd,t97f.0,1237,1290,_Stage,_Stage,einer,ART,ein,16187,,
qd,t97f.0,1237,1290,_Stage,_Stage,Menge,NN,menge,16187,,
qd,t97f.0,1237,1290,_Stage,_Stage,Gedichte,NN,gedicht,16187,,
qd,t97f.0,1237,1290,_Stage,_Stage,in,APPR,in,16187,,
qd,t97f.0,1237,1290,_Stage,_Stage,Rollen,NN,rolle,16187,,
qd,t97f.0,1237,1290,_Stage,_Stage,.,$.,--,16187,,
qd,t97f.0,1300,1305,,,ruft,VVFIN,rufen,16187,,
qd,t97f.0,1300,1305,,,.,$.,--,16187,,
qd,t97f.0,1346,1356,DISTICHON,distichon,feierlich,ADJD,feierlich,16187,,
qd,t97f.0,1346,1356,DISTICHON,distichon,.,$.,--,16187,,
qd,t97f.0,1624,1639,MEHRERE,mehrere,Zeigen,ADJA,zeigen,16187,,
qd,t97f.0,1624,1639,MEHRERE,mehrere,sie,PPER,sie,16187,,
qd,t97f.0,1624,1639,MEHRERE,mehrere,vor,PTKVZ,vor,16187,,
qd,t97f.0,1624,1639,MEHRERE,mehrere,.,$.,--,16187,,
qd,t97f.0,2869,2886,_Stage,_Stage,Vorige,NN,vorige,16187,,
