corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Auf's,NE,auf,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Meer,NN,meer,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,auf's,APPRART,auf,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Meer,NN,meer,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,"!",$.,--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Wie,PWAV,wie,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,leuchtet,VVFIN,leuchten,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,durch,APPR,durch,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,die,ART,der,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,stille,ADJA,still,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Nacht,NN,nacht,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Der,ART,der,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Sterne,NN,stern,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,schimmernde,ADJA,schimmernd,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,goldene,ADJA,golden,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Pracht,NN,pracht,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,"!",$.,--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Fischer,NE,fischer,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,am,APPRART,an,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Strand,NN,strand,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Die,ART,der,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Netze,NN,netz,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,zur,APPRART,zu,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Hand,NN,hand,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Und,KON,und,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,fleht,VVFIN,flehen,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,um,APPR,um,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,glückliche,ADJA,glücklich,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Fahrt,NN,fahrt,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,"!",$.,--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Süße,ADJA,süße,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Reine,NN,reine,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Einzig-Eine,NN,einzig-eine,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Du,PPER,du,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,hast,VAFIN,haben,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,uns,PPER,uns,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,stets,ADV,stets,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,getreu,ADJD,getreu,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,bewahrt,VVPP,bewahren,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,"!",$.,--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Maria,NE,maria,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,"!",$.,--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Auf's,NE,auf,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Meer,NN,meer,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,auf's,APPRART,auf,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Meer,NN,meer,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,"!",$.,--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Wenn,KOUS,wenn,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Sturmeswind,NN,sturmeswind,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,sich,PRF,sich,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,wild,ADJD,wild,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,erhebt,VVFIN,erheben,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Das,ART,der,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Meer,NN,meer,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,in,APPR,in,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,seinen,PPOSAT,sein,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Tiefen,NN,tiefe,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,bebt,VVFIN,beben,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Fischer,NE,fischer,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,im,APPRART,in,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Boot,NN,boot,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Habet,NE,habet,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,nicht,PTKNEG,nicht,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Noth,NE,noth,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Ihr,PPOSAT,ihr,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,steht,VVFIN,stehen,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,in,APPR,in,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,der,ART,der,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Jungfrau,NN,jungfrau,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Geleit,NN,geleit,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,"!",$.,--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Süße,ADJA,süße,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Reine,NN,reine,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Einzig-Eine,NN,einzig-eine,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Dein,PPOSAT,dein,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Name,NN,name,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,sei,VAFIN,sein,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,gebenedeit,VVPP,gebenedeit,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Maria,NE,maria,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,"!",$.,--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,(,TRUNC,--,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,Nonnenchor,NN,nonnenchor,7492,,
qd,tg37.0,460,996,EINIGE FISCHER,chor_der_fischer,:,$.,--,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,Ha,NN,ha,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,seht,VVFIN,sehen,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,durch,APPR,durch,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,den,ART,der,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,Hohlweg,NE,hohlweg,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,dort,ADV,dort,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,Bei,APPR,bei,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,Fackelschimmer,NN,fackelschimmer,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,wer,PWS,wer,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,naht,VVFIN,nahen,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,?,$.,--,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,Eine,ART,ein,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,Schaar,NE,schaar,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,ist's,NE,ist's,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,vermummter,ADJA,vermummt,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,Männer,NN,mann,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,Und,KON,und,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,eine,ART,ein,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,Schaar,NE,schaar,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,von,APPR,von,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,büßenden,ADJA,büßend,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,Nonnen,NN,nonne,7492,,
qd,tg37.0,1004,1160,EINIGE FISCHER,chor_der_fischer,.,$.,--,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,Verbannte,NN,verbannter,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,sind,VAFIN,sein,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,es,PPER,es,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,.,$.,--,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,Werden,VAFIN,werden,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,sie,PPER,sie,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,hier,ADV,hier,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,entdeckt,VVPP,entdecken,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,",","$,",--,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,So,ADV,so,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,sind,VAFIN,sein,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,sie,PPER,sie,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,dem,ART,der,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,Tode,NN,tod,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,geweiht,VVPP,weihen,7492,,
qd,tg37.0,1165,1250,EINIGE FISCHER,chor_der_fischer,"!",$.,--,7492,,
qd,tg37.0,1399,1445,FASANELLA,fasanella,Fischer,NE,fischer,7492,,
qd,tg37.0,1399,1445,FASANELLA,fasanella,dort,ADV,dort,7492,,
qd,tg37.0,1399,1445,FASANELLA,fasanella,"!",$.,--,7492,,
qd,tg37.0,1399,1445,FASANELLA,fasanella,–,XY,–,7492,,
qd,tg37.0,1399,1445,FASANELLA,fasanella,Wir,PPER,wir,7492,,
qd,tg37.0,1399,1445,FASANELLA,fasanella,sind,VAFIN,sein,7492,,
qd,tg37.0,1399,1445,FASANELLA,fasanella,verrathen,VVINF,verrathen,7492,,
qd,tg37.0,1399,1445,FASANELLA,fasanella,"!",$.,--,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,Steckt,NN,stecken,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,eure,VVFIN,euer,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,Schwerter,NN,schwerter,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,ein,ART,ein,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,"!",$.,--,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,Freunde,NN,freund,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,sind,VAFIN,sein,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,es,PPER,es,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,.,$.,--,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,Sie,PPER,sie,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,kommen,VVFIN,kommen,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,hierher,PROAV,hierher,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,Das,ART,der,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,Land,NN,land,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,zu,PTKZU,zu,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,erkunden,VVINF,erkunden,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,",","$,",--,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,Nun,ADV,nun,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,leitet,VVFIN,leiten,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,sie,PPER,sie,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,wieder,ADV,wieder,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,Sicher,ADV,sicher,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,von,APPR,von,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,dannen,ADV,dannen,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,",","$,",--,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,Sie,PPER,sie,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,fliehn,VVFIN,fliehn,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,vor,APPR,vor,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,dem,ART,der,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,Abgrundentstiegenen,NN,abgrundentstiegener,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,",","$,",--,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,Sie,PPER,sie,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,fliehen,VVFIN,fliehen,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,vor,APPR,vor,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,Manfred,NE,manfred,7492,,
qd,tg37.0,1450,1659,GHISMONDE,ghismonde,"!",$.,--,7492,,
qd,tg37.0,1665,1722,EINIGE FISCHER,chor_der_fischer,Den,ART,der,7492,,
qd,tg37.0,1665,1722,EINIGE FISCHER,chor_der_fischer,Segen,NN,segen,7492,,
qd,tg37.0,1665,1722,EINIGE FISCHER,chor_der_fischer,o,ADV,O,7492,,
qd,tg37.0,1665,1722,EINIGE FISCHER,chor_der_fischer,gieb,VVFIN,geiben,7492,,
qd,tg37.0,1665,1722,EINIGE FISCHER,chor_der_fischer,uns,PPER,uns,7492,,
qd,tg37.0,1665,1722,EINIGE FISCHER,chor_der_fischer,Zu,APPR,zu,7492,,
qd,tg37.0,1665,1722,EINIGE FISCHER,chor_der_fischer,diesem,PDAT,dieser,7492,,
qd,tg37.0,1665,1722,EINIGE FISCHER,chor_der_fischer,Werke,NN,werk,7492,,
qd,tg37.0,1665,1722,EINIGE FISCHER,chor_der_fischer,"!",$.,--,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,Wo,PWAV,wo,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,ist,VAFIN,sein,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,die,ART,der,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,Hand,NN,hand,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,",","$,",--,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,die,PRELS,der,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,segnen,VVINF,segnen,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,könnte,VMFIN,können,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,",","$,",--,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,Da,KOUS,da,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,auf,APPR,auf,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,uns,PPER,uns,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,Allen,PIDAT,allen,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,Ruhet,NN,ruhet,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,der,ART,der,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,Fluch,NN,fluch,7492,,
qd,tg37.0,1728,1812,GHISMONDE,ghismonde,?,$.,--,7492,,
qd,tg37.0,1818,1849,EINIGE FISCHER,chor_der_fischer,Weh,NE,weh,7492,,
qd,tg37.0,1818,1849,EINIGE FISCHER,chor_der_fischer,über,APPR,über,7492,,
qd,tg37.0,1818,1849,EINIGE FISCHER,chor_der_fischer,uns,PPER,uns,7492,,
qd,tg37.0,1818,1849,EINIGE FISCHER,chor_der_fischer,"!",$.,--,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,Herrschet,NE,herrschet,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,nicht,PTKNEG,nicht,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,immer,ADV,immer,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,noch,ADV,noch,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,hier,ADV,hier,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,Der,ART,der,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,Abgrundentstiegene,NN,abgrundentstiegener,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,",","$,",--,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,Der,PRELS,der,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,die,ART,der,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,Kirche,NN,kirche,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,verfolgt,VVFIN,verfolgen,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,",","$,",--,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,Ihre,PPOSAT,ihr,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,Heiligen,ADJA,heilige,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,tödtet,VVFIN,tödten,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,?,$.,--,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,Herrschet,NE,herrschet,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,nicht,PTKNEG,nicht,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,Manfred,NE,manfred,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,hier,ADV,hier,7492,,
qd,tg37.0,1854,2002,GHISMONDE,ghismonde,?,$.,--,7492,,
qd,tg37.0,2008,2057,,,Weh,NE,weh,7492,,
qd,tg37.0,2008,2057,,,über,APPR,über,7492,,
qd,tg37.0,2008,2057,,,Manfred,NE,manfred,7492,,
qd,tg37.0,2008,2057,,,"!",$.,--,7492,,
qd,tg37.0,2008,2057,EINIGE FISCHER,chor_der_fischer,Weh,NE,weh,7492,,
qd,tg37.0,2008,2057,EINIGE FISCHER,chor_der_fischer,über,APPR,über,7492,,
qd,tg37.0,2008,2057,EINIGE FISCHER,chor_der_fischer,Manfred,NE,manfred,7492,,
qd,tg37.0,2008,2057,EINIGE FISCHER,chor_der_fischer,"!",$.,--,7492,,
qd,tg37.0,2062,2468,GHISMONDE,ghismonde,Sitzt,NE,sitzt,7492,,
qd,tg37.0,2062,2468,GHISMONDE,ghismonde,auf,APPR,auf,7492,,
