corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tgw6.0,2518,2610,MAARI,maari,Pst,NN,pst,27859,,
qd,tgw6.0,2518,2610,MAARI,maari,"!",$.,--,27859,,
qd,tgw6.0,2518,2610,MAARI,maari,Se,PPER,--,27859,,
qd,tgw6.0,2518,2610,MAARI,maari,steht,VVFIN,stehen,27859,,
qd,tgw6.0,2518,2610,MAARI,maari,oben,ADV,oben,27859,,
qd,tgw6.0,2518,2610,MAARI,maari,an,APPR,an,27859,,
qd,tgw6.0,2518,2610,MAARI,maari,der,ART,der,27859,,
qd,tgw6.0,2518,2610,MAARI,maari,Treppe,NN,treppe,27859,,
qd,tgw6.0,2518,2610,MAARI,maari,.,$.,--,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,Une,NE,une,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,.,$.,--,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,.,$.,--,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,.,$.,--,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,alsu,VVIMP,alsu,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,is,VAFIN,--,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,se,PPER,--,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,noch,ADV,noch,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,im,APPRART,in,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,Hause,NN,haus,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,?,$.,--,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,Da,ADV,da,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,soll,VMFIN,sollen,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,se,PPER,--,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,doch,ADV,doch,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,glei,ADV,glei,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,',$[,--,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,.,$.,--,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,.,$.,--,27859,,
qd,tgw6.0,2615,2799,FRAU ERMISCHER,frau_ermischer,.,$.,--,27859,,
qd,tgw6.0,2805,2830,MAARI,maari,Da,ADV,da,27859,,
qd,tgw6.0,2805,2830,MAARI,maari,oben,ADV,oben,27859,,
qd,tgw6.0,2805,2830,MAARI,maari,steht,VVFIN,stehen,27859,,
qd,tgw6.0,2805,2830,MAARI,maari,se,PPER,--,27859,,
qd,tgw6.0,2805,2830,MAARI,maari,.,$.,--,27859,,
qd,tgw6.0,2835,2882,,,Hieze,NE,hieze,27859,,
qd,tgw6.0,2835,2882,,,–,XY,–,27859,,
qd,tgw6.0,2835,2882,,,Hieze,NN,hieze,27859,,
qd,tgw6.0,2835,2882,,,–,XY,–,27859,,
qd,tgw6.0,2835,2882,,,Hieze,NN,hieze,27859,,
qd,tgw6.0,2835,2882,,,"!",$.,--,27859,,
qd,tgw6.0,2887,3100,FRAU ERMISCHER,frau_ermischer,Still,NE,still,27859,,
qd,tgw6.0,2887,3100,FRAU ERMISCHER,frau_ermischer,",","$,",--,27859,,
qd,tgw6.0,2887,3100,FRAU ERMISCHER,frau_ermischer,itze,ADV,itze,27859,,
qd,tgw6.0,2887,3100,FRAU ERMISCHER,frau_ermischer,kommt,VVFIN,kommen,27859,,
qd,tgw6.0,2887,3100,FRAU ERMISCHER,frau_ermischer,se,PPER,--,27859,,
qd,tgw6.0,2887,3100,FRAU ERMISCHER,frau_ermischer,.,$.,--,27859,,
qd,tgw6.0,3105,3316,ERMISCHER,ermischer,Himmelkreizdunnerwedder,NN,himmelkreizdunnerwedder,27859,,
qd,tgw6.0,3105,3316,ERMISCHER,ermischer,"!",$.,--,27859,,
qd,tgw6.0,3374,3418,ERMISCHER,ermischer,Wer,PWS,wer,27859,,
qd,tgw6.0,3374,3418,ERMISCHER,ermischer,hot,VVFIN,--,27859,,
qd,tgw6.0,3374,3418,ERMISCHER,ermischer,die,ART,der,27859,,
qd,tgw6.0,3374,3418,ERMISCHER,ermischer,Scherben,NN,scherbe,27859,,
qd,tgw6.0,3374,3418,ERMISCHER,ermischer,ang'richt,VVFIN,ang'rechen,27859,,
qd,tgw6.0,3374,3418,ERMISCHER,ermischer,?,$.,--,27859,,
qd,tgw6.0,3374,3418,ERMISCHER,ermischer,"!",$.,--,27859,,
qd,tgw6.0,3423,3457,FRAU ERMISCHER,frau_ermischer,Die,ART,der,27859,,
qd,tgw6.0,3423,3457,FRAU ERMISCHER,frau_ermischer,Maari,NE,maari,27859,,(1)
qd,tgw6.0,3423,3457,FRAU ERMISCHER,frau_ermischer,hot,VVFIN,--,27859,,
qd,tgw6.0,3423,3457,FRAU ERMISCHER,frau_ermischer,.,$.,--,27859,,
