corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,th0n.0,672,782,_Stage,_Stage,Der,ART,der,30209,,(0
qd,th0n.0,672,782,_Stage,_Stage,Mann,NN,mann,30209,,0)
qd,th0n.0,672,782,_Stage,_Stage,.,$.,--,30209,,
qd,th0n.0,672,782,_Stage,_Stage,Ein,ART,ein,30209,,(4
qd,th0n.0,672,782,_Stage,_Stage,Junge,NN,junge,30209,,4)
qd,th0n.0,672,782,_Stage,_Stage,aus,APPR,aus,30209,,(16
qd,th0n.0,672,782,_Stage,_Stage,der,ART,der,30209,,
qd,th0n.0,672,782,_Stage,_Stage,Menge,NN,menge,30209,,16)|(16)
qd,th0n.0,672,782,_Stage,_Stage,.,$.,--,30209,,
qd,th0n.0,672,782,_Stage,_Stage,Eine,ART,ein,30209,,(1|(1
qd,th0n.0,672,782,_Stage,_Stage,Frau,NN,frau,30209,,1)
qd,th0n.0,672,782,_Stage,_Stage,aus,APPR,aus,30209,,(16
qd,th0n.0,672,782,_Stage,_Stage,der,ART,der,30209,,
qd,th0n.0,672,782,_Stage,_Stage,Menge,NN,menge,30209,,1)|16)|(16)
qd,th0n.0,672,782,_Stage,_Stage,.,$.,--,30209,,
qd,th0n.0,672,782,_Stage,_Stage,Ein,ART,ein,30209,,(2
qd,th0n.0,672,782,_Stage,_Stage,alter,ADJA,alt,30209,,
qd,th0n.0,672,782,_Stage,_Stage,Mann,NN,mann,30209,,2)
qd,th0n.0,672,782,_Stage,_Stage,.,$.,--,30209,,
qd,th0n.0,672,782,_Stage,_Stage,Ein,ART,ein,30209,,(3
qd,th0n.0,672,782,_Stage,_Stage,Herr,NN,herr,30209,,3)
qd,th0n.0,672,782,_Stage,_Stage,mit,APPR,mit,30209,,
qd,th0n.0,672,782,_Stage,_Stage,Zylinder,NN,zylinder,30209,,
qd,th0n.0,672,782,_Stage,_Stage,.,$.,--,30209,,
qd,th0n.0,672,782,_Stage,_Stage,Volksmenge,NN,volksmenge,30209,,
qd,th0n.0,672,782,_Stage,_Stage,.,$.,--,30209,,
qd,th0n.0,795,818,DER MANN,der_mann,an,APPR,an,30209,,
qd,th0n.0,795,818,DER MANN,der_mann,einer,ART,ein,30209,,
qd,th0n.0,795,818,DER MANN,der_mann,Ecke,NN,ecke,30209,,
qd,th0n.0,795,818,DER MANN,der_mann,",","$,",--,30209,,
qd,th0n.0,795,818,DER MANN,der_mann,schreit,VVFIN,schreien,30209,,
qd,th0n.0,795,818,DER MANN,der_mann,.,$.,--,30209,,
qd,th0n.0,865,884,DER MANN,der_mann,Menge,NN,menge,30209,,(16)
qd,th0n.0,865,884,DER MANN,der_mann,sammelt,VVFIN,sammeln,30209,,
qd,th0n.0,865,884,DER MANN,der_mann,sich,PRF,sich,30209,,
qd,th0n.0,865,884,DER MANN,der_mann,.,$.,--,30209,,
qd,th0n.0,900,914,DIE FFRAU,die_ffrau,aus,APPR,aus,30209,,(16
