corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tv63.0,227,302,_Stage,_Stage,Rechts,ADV,rechts,2181,,
qd,tv63.0,227,302,_Stage,_Stage,eine,ART,ein,2181,,
qd,tv63.0,227,302,_Stage,_Stage,weisse,ADJA,weissen,2181,,
qd,tv63.0,227,302,_Stage,_Stage,Wand,NN,wand,2181,,
qd,tv63.0,227,302,_Stage,_Stage,–,XY,–,2181,,
qd,tv63.0,227,302,_Stage,_Stage,links,ADV,links,2181,,
qd,tv63.0,227,302,_Stage,_Stage,eine,ART,ein,2181,,
qd,tv63.0,227,302,_Stage,_Stage,weisse,ADJA,weissen,2181,,
qd,tv63.0,227,302,_Stage,_Stage,Wand,NN,wand,2181,,
qd,tv63.0,227,302,_Stage,_Stage,–,XY,–,2181,,
qd,tv63.0,227,302,_Stage,_Stage,hinten,ADV,hinten,2181,,
qd,tv63.0,227,302,_Stage,_Stage,eine,ART,ein,2181,,
qd,tv63.0,227,302,_Stage,_Stage,weisse,ADJA,weissen,2181,,
qd,tv63.0,227,302,_Stage,_Stage,Wand,NN,wand,2181,,
qd,tv63.0,227,302,_Stage,_Stage,.,$.,--,2181,,
qd,tv63.0,305,380,_Stage,_Stage,Und,KON,und,2181,,
qd,tv63.0,305,380,_Stage,_Stage,mitten,ADV,mitten,2181,,
qd,tv63.0,305,380,_Stage,_Stage,auf,APPR,auf,2181,,
qd,tv63.0,305,380,_Stage,_Stage,der,ART,der,2181,,
qd,tv63.0,305,380,_Stage,_Stage,Bühne,NN,bühne,2181,,
qd,tv63.0,305,380,_Stage,_Stage,steht,VVFIN,stehen,2181,,
qd,tv63.0,305,380,_Stage,_Stage,eine,ART,ein,2181,,
qd,tv63.0,305,380,_Stage,_Stage,alte,ADJA,alt,2181,,
qd,tv63.0,305,380,_Stage,_Stage,Trittleiter,NN,trittleiter,2181,,
qd,tv63.0,305,380,_Stage,_Stage,als,APPR,als,2181,,
qd,tv63.0,305,380,_Stage,_Stage,einziges,ADJA,einzig,2181,,
qd,tv63.0,305,380,_Stage,_Stage,Möbel,NN,möbel,2181,,
qd,tv63.0,305,380,_Stage,_Stage,da,PTKVZ,da,2181,,
qd,tv63.0,305,380,_Stage,_Stage,.,$.,--,2181,,
qd,tv63.0,383,771,_Stage,_Stage,Und,KON,und,2181,,
qd,tv63.0,383,771,_Stage,_Stage,auf,APPR,auf,2181,,
qd,tv63.0,383,771,_Stage,_Stage,der,ART,der,2181,,
qd,tv63.0,383,771,_Stage,_Stage,Trittleiter,NN,trittleiter,2181,,
qd,tv63.0,383,771,_Stage,_Stage,ganz,ADV,ganz,2181,,
qd,tv63.0,383,771,_Stage,_Stage,hoch,ADJD,hoch,2181,,
qd,tv63.0,383,771,_Stage,_Stage,oben,ADV,oben,2181,,
qd,tv63.0,383,771,_Stage,_Stage,steht,VVFIN,stehen,2181,,
qd,tv63.0,383,771,_Stage,_Stage,der,ART,der,2181,,
qd,tv63.0,383,771,_Stage,_Stage,grosse,ADJA,groß,2181,,
qd,tv63.0,383,771,_Stage,_Stage,Napoléon,NE,napoléon,2181,,
qd,tv63.0,383,771,_Stage,_Stage,.,$.,--,2181,,
qd,tv63.0,383,771,_Stage,_Stage,Er,PPER,er,2181,,
qd,tv63.0,383,771,_Stage,_Stage,hat,VAFIN,haben,2181,,
qd,tv63.0,383,771,_Stage,_Stage,wie,KOKOM,wie,2181,,
qd,tv63.0,383,771,_Stage,_Stage,gewöhnlich,ADJD,gewöhnlich,2181,,
qd,tv63.0,383,771,_Stage,_Stage,die,ART,der,2181,,
qd,tv63.0,383,771,_Stage,_Stage,Arme,NN,arm,2181,,
qd,tv63.0,383,771,_Stage,_Stage,über,APPR,über,2181,,
qd,tv63.0,383,771,_Stage,_Stage,der,ART,der,2181,,
qd,tv63.0,383,771,_Stage,_Stage,Brust,NN,brust,2181,,
qd,tv63.0,383,771,_Stage,_Stage,gekreuzt,VVPP,kreuzen,2181,,
qd,tv63.0,383,771,_Stage,_Stage,.,$.,--,2181,,
qd,tv63.0,383,771,_Stage,_Stage,Das,PDS,der,2181,,
qd,tv63.0,383,771,_Stage,_Stage,mit,APPR,mit,2181,,
qd,tv63.0,383,771,_Stage,_Stage,dem,ART,der,2181,,
qd,tv63.0,383,771,_Stage,_Stage,bekannten,ADJA,bekannt,2181,,
qd,tv63.0,383,771,_Stage,_Stage,Hut,NN,hut,2181,,
qd,tv63.0,383,771,_Stage,_Stage,bedeckte,VVFIN,bedeckt,2181,,
qd,tv63.0,383,771,_Stage,_Stage,Haupt,NE,haupt,2181,,
qd,tv63.0,383,771,_Stage,_Stage,ist,VAFIN,sein,2181,,
qd,tv63.0,383,771,_Stage,_Stage,sinnend,ADJD,sinnend,2181,,
qd,tv63.0,383,771,_Stage,_Stage,nach,APPR,nach,2181,,
qd,tv63.0,383,771,_Stage,_Stage,vorn,ADV,vorn,2181,,
qd,tv63.0,383,771,_Stage,_Stage,gebeugt,VVPP,beugen,2181,,
qd,tv63.0,383,771,_Stage,_Stage,.,$.,--,2181,,
qd,tv63.0,383,771,_Stage,_Stage,Die,ART,der,2181,,
qd,tv63.0,383,771,_Stage,_Stage,Stulpstiefel,NN,stulpstiefel,2181,,
qd,tv63.0,383,771,_Stage,_Stage,glänzen,VVINF,glänzen,2181,,
qd,tv63.0,383,771,_Stage,_Stage,",","$,",--,2181,,
