corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,v341.0,388,412,_Stage,_Stage,Ein,ART,ein,12423,,
qd,v341.0,388,412,_Stage,_Stage,Zimmer,NN,zimmer,12423,,
qd,v341.0,388,412,_Stage,_Stage,der,ART,der,12423,,
qd,v341.0,388,412,_Stage,_Stage,Infantin,NN,infantin,12423,,
qd,v341.0,388,412,_Stage,_Stage,.,$.,--,12423,,
qd,v341.0,415,523,_Stage,_Stage,Solisa,NE,solisa,12423,,
qd,v341.0,415,523,_Stage,_Stage,",","$,",--,12423,,
qd,v341.0,415,523,_Stage,_Stage,Don,NE,don,12423,,
qd,v341.0,415,523,_Stage,_Stage,Alvaro,NE,alvaro,12423,,
qd,v341.0,415,523,_Stage,_Stage,in,APPR,in,12423,,
qd,v341.0,415,523,_Stage,_Stage,Jagdkleidern,NN,jagdkleid,12423,,
qd,v341.0,415,523,_Stage,_Stage,",","$,",--,12423,,
qd,v341.0,415,523,_Stage,_Stage,Laura,NE,laura,12423,,
qd,v341.0,415,523,_Stage,_Stage,;,$.,--,12423,,
qd,v341.0,415,523,_Stage,_Stage,im,APPRART,in,12423,,
qd,v341.0,415,523,_Stage,_Stage,Hintergrunde,NN,hintergrunde,12423,,
qd,v341.0,415,523,_Stage,_Stage,noch,ADV,noch,12423,,
qd,v341.0,415,523,_Stage,_Stage,einige,PIAT,einiger,12423,,
qd,v341.0,415,523,_Stage,_Stage,Herren,NN,herr,12423,,
qd,v341.0,415,523,_Stage,_Stage,von,APPR,von,12423,,
qd,v341.0,415,523,_Stage,_Stage,der,ART,der,12423,,
qd,v341.0,415,523,_Stage,_Stage,Begleitung,NN,begleitung,12423,,
qd,v341.0,415,523,_Stage,_Stage,.,$.,--,12423,,
qd,v341.0,415,523,_Stage,_Stage,Jagdmusik,NN,jagdmusik,12423,,
qd,v341.0,415,523,_Stage,_Stage,.,$.,--,12423,,
qd,v341.0,921,950,ALVARO,alvaro,Die,ART,der,12423,,
qd,v341.0,921,950,ALVARO,alvaro,Begleitung,NN,begleitung,12423,,
qd,v341.0,921,950,ALVARO,alvaro,entfernt,VVFIN,entfernen,12423,,
qd,v341.0,921,950,ALVARO,alvaro,sich,PRF,sich,12423,,
qd,v341.0,921,950,ALVARO,alvaro,.,$.,--,12423,,
qd,v341.0,1522,1532,LAURA,laura,Sie,PPER,sie,12423,,
qd,v341.0,1522,1532,LAURA,laura,singt,VVFIN,singen,12423,,
qd,v341.0,1522,1532,LAURA,laura,.,$.,--,12423,,
qd,v341.0,2376,2400,SOLISA,solisa,Sie,PPER,sie,12423,,
qd,v341.0,2376,2400,SOLISA,solisa,zerbricht,VVFIN,zerbrechen,12423,,
qd,v341.0,2376,2400,SOLISA,solisa,die,ART,der,12423,,
qd,v341.0,2376,2400,SOLISA,solisa,Laute,NN,laute,12423,,
qd,v341.0,2376,2400,SOLISA,solisa,.,$.,--,12423,,
qd,v341.0,3878,3908,SOLISA,solisa,Laura,NE,laura,12423,,
qd,v341.0,3878,3908,SOLISA,solisa,bringt,VVFIN,bringen,12423,,
qd,v341.0,3878,3908,SOLISA,solisa,ihr,PPER,ihr,12423,,
qd,v341.0,3878,3908,SOLISA,solisa,ein,ART,ein,12423,,
qd,v341.0,3878,3908,SOLISA,solisa,Kästchen,NN,kästchen,12423,,
qd,v341.0,3878,3908,SOLISA,solisa,.,$.,--,12423,,
qd,v341.0,4187,4234,SOLISA,solisa,Sie,PPER,sie,12423,,
qd,v341.0,4187,4234,SOLISA,solisa,nimmt,VVFIN,nehmen,12423,,
qd,v341.0,4187,4234,SOLISA,solisa,das,ART,der,12423,,
qd,v341.0,4187,4234,SOLISA,solisa,Bildnis,NN,bildnis,12423,,
qd,v341.0,4187,4234,SOLISA,solisa,heraus,PTKVZ,heraus,12423,,
qd,v341.0,4187,4234,SOLISA,solisa,und,KON,und,12423,,
qd,v341.0,4187,4234,SOLISA,solisa,betrachtet,VVFIN,betrachten,12423,,
qd,v341.0,4187,4234,SOLISA,solisa,es,PPER,es,12423,,
qd,v341.0,4187,4234,SOLISA,solisa,.,$.,--,12423,,
qd,v341.0,5436,5494,SOLISA,solisa,Sie,PPER,sie,12423,,
qd,v341.0,5436,5494,SOLISA,solisa,gibt,VVFIN,geben,12423,,
qd,v341.0,5436,5494,SOLISA,solisa,das,ART,der,12423,,
qd,v341.0,5436,5494,SOLISA,solisa,Bildnis,NN,bildnis,12423,,
qd,v341.0,5436,5494,SOLISA,solisa,an,APPR,an,12423,,
qd,v341.0,5436,5494,SOLISA,solisa,Laura,NE,laura,12423,,
qd,v341.0,5436,5494,SOLISA,solisa,",","$,",--,12423,,
qd,v341.0,5436,5494,SOLISA,solisa,welche,PWAT,welcher,12423,,
qd,v341.0,5436,5494,SOLISA,solisa,sich,PRF,sich,12423,,
qd,v341.0,5436,5494,SOLISA,solisa,damit,PROAV,damit,12423,,
qd,v341.0,5436,5494,SOLISA,solisa,entfernt,ADJD,entfernen,12423,,
qd,v341.0,5436,5494,SOLISA,solisa,.,$.,--,12423,,
qd,v341.0,8313,8328,SOLISA,solisa,Alvaro,NE,alvaro,12423,,
qd,v341.0,8313,8328,SOLISA,solisa,geht,VVFIN,gehen,12423,,
qd,v341.0,8313,8328,SOLISA,solisa,ab,PTKVZ,ab,12423,,
qd,v341.0,8313,8328,SOLISA,solisa,.,$.,--,12423,,
qd,v341.0,8987,9009,_Stage,_Stage,Ein,ART,ein,12423,,
qd,v341.0,8987,9009,_Stage,_Stage,Zimmer,NN,zimmer,12423,,
qd,v341.0,8987,9009,_Stage,_Stage,des,ART,der,12423,,
qd,v341.0,8987,9009,_Stage,_Stage,Königs,NN,könig,12423,,
qd,v341.0,8987,9009,_Stage,_Stage,.,$.,--,12423,,
qd,v341.0,9012,9029,_Stage,_Stage,Ricardo,NE,ricardo,12423,,
qd,v341.0,9012,9029,_Stage,_Stage,.,$.,--,12423,,
qd,v341.0,9012,9029,_Stage,_Stage,Octavio,NE,octavio,12423,,
