corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vmwh.0,664,698,_Stage,_Stage,Ein,ART,ein,24842,,
qd,vmwh.0,664,698,_Stage,_Stage,Zimmer,NN,zimmer,24842,,
qd,vmwh.0,664,698,_Stage,_Stage,im,APPRART,in,24842,,
qd,vmwh.0,664,698,_Stage,_Stage,Palaste,NN,palast,24842,,
qd,vmwh.0,664,698,_Stage,_Stage,des,ART,der,24842,,
qd,vmwh.0,664,698,_Stage,_Stage,Herzogs,NN,herzog,24842,,
qd,vmwh.0,664,698,_Stage,_Stage,.,$.,--,24842,,
qd,vmwh.0,702,740,_Stage,_Stage,Der,ART,der,24842,,
qd,vmwh.0,702,740,_Stage,_Stage,Herzog,NE,herzog,24842,,
qd,vmwh.0,702,740,_Stage,_Stage,",","$,",--,24842,,
qd,vmwh.0,702,740,_Stage,_Stage,Curio,NE,curio,24842,,
qd,vmwh.0,702,740,_Stage,_Stage,und,KON,und,24842,,
qd,vmwh.0,702,740,_Stage,_Stage,Herren,NN,herr,24842,,
qd,vmwh.0,702,740,_Stage,_Stage,vom,APPRART,von,24842,,
qd,vmwh.0,702,740,_Stage,_Stage,Hofe,NE,hof,24842,,
qd,vmwh.0,702,740,_Stage,_Stage,.,$.,--,24842,,
qd,vmwh.0,743,770,_Stage,_Stage,Musikanten,NN,musikant,24842,,
qd,vmwh.0,743,770,_Stage,_Stage,im,APPRART,in,24842,,
qd,vmwh.0,743,770,_Stage,_Stage,Hintergrunde,NN,hintergrunde,24842,,
qd,vmwh.0,743,770,_Stage,_Stage,.,$.,--,24842,,
qd,vmwh.0,1794,1809,HERZOG,herzog,Valentin,NE,valentin,24842,,
qd,vmwh.0,1794,1809,HERZOG,herzog,kommt,VVFIN,kommen,24842,,
qd,vmwh.0,1794,1809,HERZOG,herzog,.,$.,--,24842,,
qd,vmwh.0,2684,2692,HERZOG,herzog,Alle,PIDAT,alle,24842,,
qd,vmwh.0,2684,2692,HERZOG,herzog,ab,PTKVZ,ab,24842,,
qd,vmwh.0,2684,2692,HERZOG,herzog,.,$.,--,24842,,
qd,vmwh.0,2740,2752,_Stage,_Stage,Eine,ART,ein,24842,,
qd,vmwh.0,2740,2752,_Stage,_Stage,Straße,NN,straße,24842,,
