corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Edle,NE,edel,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Patrizier,NE,patrizier,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,",","$,",--,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Schirmer,NN,schirmer,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,meines,PPOSAT,mein,23233,SATURNINUS,saturninus
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Rechts,NN,recht,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,",","$,",--,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Verteidigt,VVPP,verteidigt,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,meinen,PPOSAT,mein,23233,SATURNINUS,saturninus
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Anspruch,NN,anspruch,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,mit,APPR,mit,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,dem,ART,der,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Schwert,NN,schwert,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,;,$.,--,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Und,KON,und,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,ihr,PPOSAT,ihr,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,",","$,",--,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Mitbürger,NN,mitbürger,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,",","$,",--,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Freunde,NN,freund,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,wert,ADJD,wert,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,und,KON,und,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,treu,ADJD,treu,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,",","$,",--,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Werbt,PWAV,werbt,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,mit,APPR,mit,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,den,ART,der,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Waffen,NN,waffe,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,um,APPR,um,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,mein,PPOSAT,mein,23233,SATURNINUS,saturninus
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,erblich,ADJD,erblich,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Recht,NN,recht,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,"!",$.,--,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Ich,PPER,ich,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,bin,VAFIN,sein,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,des,ART,der,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Erstgeborner,NN,erstgeborner,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,",","$,",--,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,den,ART,der,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,zuletzt,ADV,zuletzt,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Geschmückt,NN,geschmückt,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Roms,NE,rom,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,kaiserliches,ADJA,kaiserlich,23233,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Diadem,NN,diadem,23233,,
