corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vn11.0,1051,1306,THESEUS,theseus,Nun,ADV,nun,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,rückt,VVFIN,rücken,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,",","$,",--,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,Hippolyta,NE,hippolyta,19445,HIPPOLYTA,hippolyta
qd,vn11.0,1051,1306,THESEUS,theseus,",","$,",--,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,die,ART,der,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,Hochzeitstunde,NN,hochzeitstunde,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,Mit,APPR,mit,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,Eil,NN,eil,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,',$[,--,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,heran,PTKVZ,heran,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,;,$.,--,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,vier,CARD,vier,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,frohe,ADJA,froh,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,Tage,NN,tag,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,bringen,VVFIN,bringen,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,Den,ART,der,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,neuen,ADJA,neu,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,Mond,NN,mond,19445,MOND,mond
qd,vn11.0,1051,1306,THESEUS,theseus,:,$.,--,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,doch,ADV,doch,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,",","$,",--,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,o,ADV,O,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,wie,KOKOM,wie,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,langsam,ADJD,langsam,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,nimmt,VVFIN,nehmen,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,Der,ART,der,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,alte,ADJA,alt,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,ab,PTKVZ,ab,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,"!",$.,--,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,Er,PPER,er,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,hält,VVFIN,halten,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,mein,PPOSAT,mein,19445,THESEUS,theseus
qd,vn11.0,1051,1306,THESEUS,theseus,Sehnen,NN,sehnen,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,hin,PTKVZ,hin,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,",","$,",--,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,Gleich,ADV,gleich,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,einer,ART,ein,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,Witwe,NN,witwe,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,",","$,",--,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,deren,PRELAT,der,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,dürres,ADJA,dürr,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,Alter,NN,alter,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,Von,APPR,von,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,ihres,PPOSAT,ihr,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,Stiefsohns,NN,stiefsohn,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,Renten,NN,rente,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,lange,ADV,lange,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,zehrt,VVFIN,zehren,19445,,
qd,vn11.0,1051,1306,THESEUS,theseus,.,$.,--,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,Vier,CARD,vier,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,Tage,NN,tag,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,tauchen,VVFIN,tauchen,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,sich,PRF,sich,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,ja,ADV,ja,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,schnell,ADJD,schnell,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,in,APPR,in,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,Nächte,NN,nacht,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,:,$.,--,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,Vier,CARD,vier,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,Nächte,NN,nacht,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,träumen,VVINF,träumen,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,schnell,ADJD,schnell,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,die,ART,der,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,Zeit,NN,zeit,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,hinweg,APZR,hinweg,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,:,$.,--,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,Dann,ADV,dann,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,soll,VMFIN,sollen,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,der,ART,der,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,Mond,NN,mond,19445,MOND,mond
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,",","$,",--,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,gleich,ADV,gleich,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,einem,ART,ein,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,Silberbogen,NN,silberbog,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,Am,APPRART,an,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,Himmel,NN,himmel,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,neu,ADJD,neu,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,gespannt,VVPP,gespannt,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,",","$,",--,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,die,ART,der,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,Nacht,NN,nacht,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,beschaun,VVFIN,beschaun,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,Von,APPR,von,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,unserm,APPRART,unser,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,Fest,NN,fest,19445,,
qd,vn11.0,1312,1522,HIPPOLYTA,hippolyta,.,$.,--,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,Geh,VVIMP,geh,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,",","$,",--,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,Philostrat,NN,philostrat,19445,PHILOSTRAT,philostrat
qd,vn11.0,1528,2007,THESEUS,theseus,",","$,",--,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,berufe,VVFIN,berufen,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,Die,ART,der,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,junge,ADJA,jung,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,Welt,NN,welt,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,Athens,NE,athen,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,zu,APPR,zu,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,Lustbarkeiten,NN,lustbarkeit,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,"!",$.,--,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,Erweck,NE,erweck,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,',$[,--,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,den,ART,der,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,raschen,ADJA,rasch,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,leichten,ADJA,leicht,19445,,
qd,vn11.0,1528,2007,THESEUS,theseus,Geist,NN,geist,19445,,
