corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vn2c.0,687,727,_Stage,_Stage,Sizilien,NE,sizilien,30718,,
qd,vn2c.0,687,727,_Stage,_Stage,.,$.,--,30718,,
qd,vn2c.0,687,727,_Stage,_Stage,Ein,ART,ein,30718,,
qd,vn2c.0,687,727,_Stage,_Stage,Zimmer,NN,zimmer,30718,,
qd,vn2c.0,687,727,_Stage,_Stage,in,APPR,in,30718,,
qd,vn2c.0,687,727,_Stage,_Stage,Leontes,NN,leont,30718,,(27)
qd,vn2c.0,687,727,_Stage,_Stage,',$[,--,30718,,
qd,vn2c.0,687,727,_Stage,_Stage,Palast,NN,palast,30718,,
qd,vn2c.0,687,727,_Stage,_Stage,.,$.,--,30718,,
qd,vn2c.0,731,765,_Stage,_Stage,Camillo,NE,camillo,30718,,(5)
qd,vn2c.0,731,765,_Stage,_Stage,und,KON,und,30718,,
qd,vn2c.0,731,765,_Stage,_Stage,Archidamus,NN,archidamus,30718,,(2)
qd,vn2c.0,731,765,_Stage,_Stage,treten,VVFIN,treten,30718,,
qd,vn2c.0,731,765,_Stage,_Stage,auf,PTKVZ,auf,30718,,
qd,vn2c.0,731,765,_Stage,_Stage,.,$.,--,30718,,
qd,vn2c.0,3321,3387,ARCHIDAMUS,archidamus,Es,PPER,es,30718,,
qd,vn2c.0,3321,3387,ARCHIDAMUS,archidamus,treten,VVFIN,treten,30718,,
qd,vn2c.0,3321,3387,ARCHIDAMUS,archidamus,auf,APPR,auf,30718,,
qd,vn2c.0,3321,3387,ARCHIDAMUS,archidamus,Leontes,NN,leont,30718,,(27)
qd,vn2c.0,3321,3387,ARCHIDAMUS,archidamus,",","$,",--,30718,,
qd,vn2c.0,3321,3387,ARCHIDAMUS,archidamus,Polyxenes,NN,polyxen,30718,,(33)
qd,vn2c.0,3321,3387,ARCHIDAMUS,archidamus,",","$,",--,30718,,
qd,vn2c.0,3321,3387,ARCHIDAMUS,archidamus,Hermione,NN,hermione,30718,,(21)
qd,vn2c.0,3321,3387,ARCHIDAMUS,archidamus,",","$,",--,30718,,
qd,vn2c.0,3321,3387,ARCHIDAMUS,archidamus,Mamillius,NN,mamillius,30718,,(28)
qd,vn2c.0,3321,3387,ARCHIDAMUS,archidamus,und,KON,und,30718,,
qd,vn2c.0,3321,3387,ARCHIDAMUS,archidamus,Gefolge,NN,gefolge,30718,,
qd,vn2c.0,3321,3387,ARCHIDAMUS,archidamus,.,$.,--,30718,,
qd,vn2c.0,8927,8957,HERMIONE,hermione,Sie,PPER,sie,30718,,
qd,vn2c.0,8927,8957,HERMIONE,hermione,reicht,VVFIN,reichen,30718,,
qd,vn2c.0,8927,8957,HERMIONE,hermione,Polyxenes,NE,polyxene,30718,,(33)
qd,vn2c.0,8927,8957,HERMIONE,hermione,die,ART,der,30718,,
qd,vn2c.0,8927,8957,HERMIONE,hermione,Hand,NN,hand,30718,,
qd,vn2c.0,8927,8957,HERMIONE,hermione,.,$.,--,30718,,
qd,vn2c.0,8972,8981,LEONTES,leontes,für,APPR,für,30718,,
qd,vn2c.0,8972,8981,LEONTES,leontes,sich,PRF,sich,30718,,
qd,vn2c.0,8972,8981,LEONTES,leontes,.,$.,--,30718,,
qd,vn2c.0,12664,12671,LEONTES,leontes,beiseit,VVFIN,beiseit,30718,,
qd,vn2c.0,12769,12806,LEONTES,leontes,Er,PPER,er,30718,,
qd,vn2c.0,12769,12806,LEONTES,leontes,beobachtet,VVFIN,beobachten,30718,,
qd,vn2c.0,12769,12806,LEONTES,leontes,Polyxenes,NN,polyxene,30718,,(33)
qd,vn2c.0,12769,12806,LEONTES,leontes,und,KON,und,30718,,
qd,vn2c.0,12769,12806,LEONTES,leontes,Hermione,NN,hermione,30718,,(21)
qd,vn2c.0,12769,12806,LEONTES,leontes,.,$.,--,30718,,
qd,vn2c.0,12955,12998,LEONTES,leontes,Polyxenes,NN,polyxen,30718,,(33)
qd,vn2c.0,12955,12998,LEONTES,leontes,und,KON,und,30718,,
qd,vn2c.0,12955,12998,LEONTES,leontes,Hermione,NN,hermione,30718,,(21)
qd,vn2c.0,12955,12998,LEONTES,leontes,gehn,CARD,gehn,30718,,
qd,vn2c.0,12955,12998,LEONTES,leontes,mit,APPR,mit,30718,,
qd,vn2c.0,12955,12998,LEONTES,leontes,Gefolge,NN,gefolge,30718,,
qd,vn2c.0,12955,12998,LEONTES,leontes,ab,PTKVZ,ab,30718,,
qd,vn2c.0,12955,12998,LEONTES,leontes,.,$.,--,30718,,
qd,vn2c.0,14244,14262,LEONTES,leontes,Mamillius,NE,mamillius,30718,,(28)
qd,vn2c.0,14244,14262,LEONTES,leontes,geht,VVFIN,gehen,30718,,
qd,vn2c.0,14244,14262,LEONTES,leontes,ab,PTKVZ,ab,30718,,
qd,vn2c.0,14244,14262,LEONTES,leontes,.,$.,--,30718,,
qd,vn2c.0,21037,21048,LEONTES,leontes,Er,PPER,er,30718,,
qd,vn2c.0,21037,21048,LEONTES,leontes,geht,VVFIN,gehen,30718,,
qd,vn2c.0,21037,21048,LEONTES,leontes,ab,PTKVZ,ab,30718,,
qd,vn2c.0,21037,21048,LEONTES,leontes,.,$.,--,30718,,
qd,vn2c.0,21683,21703,CAMILLO,camillo,Polyxenes,NE,polyxen,30718,,(33)
qd,vn2c.0,21683,21703,CAMILLO,camillo,tritt,VVFIN,treten,30718,,
qd,vn2c.0,21683,21703,CAMILLO,camillo,auf,PTKVZ,auf,30718,,
qd,vn2c.0,21683,21703,CAMILLO,camillo,.,$.,--,30718,,
qd,vn2c.0,26734,26746,CAMILLO,camillo,Sie,PPER,sie,30718,,
qd,vn2c.0,26734,26746,CAMILLO,camillo,gehn,VVFIN,gehn,30718,,
qd,vn2c.0,26734,26746,CAMILLO,camillo,ab,PTKVZ,ab,30718,,
qd,vn2c.0,26734,26746,CAMILLO,camillo,.,$.,--,30718,,
qd,vn2c.0,26815,26835,_Stage,_Stage,Sizilien,NE,sizilien,30718,,
qd,vn2c.0,26815,26835,_Stage,_Stage,",","$,",--,30718,,
qd,vn2c.0,26815,26835,_Stage,_Stage,im,APPRART,in,30718,,
qd,vn2c.0,26815,26835,_Stage,_Stage,Palast,NN,palast,30718,,
qd,vn2c.0,26815,26835,_Stage,_Stage,.,$.,--,30718,,
qd,vn2c.0,26839,26872,_Stage,_Stage,Hermione,NN,hermione,30718,,(21)
qd,vn2c.0,26839,26872,_Stage,_Stage,",","$,",--,30718,,
qd,vn2c.0,26839,26872,_Stage,_Stage,Mamillius,NN,mamillius,30718,,(28)
qd,vn2c.0,26839,26872,_Stage,_Stage,und,KON,und,30718,,
qd,vn2c.0,26839,26872,_Stage,_Stage,Hofdamen,NN,hofdamen,30718,,
qd,vn2c.0,26839,26872,_Stage,_Stage,.,$.,--,30718,,
qd,vn2c.0,28748,28807,HERMIONE,hermione,Es,PPER,es,30718,,
qd,vn2c.0,28748,28807,HERMIONE,hermione,treten,VVFIN,treten,30718,,
qd,vn2c.0,28748,28807,HERMIONE,hermione,auf,APPR,auf,30718,,
qd,vn2c.0,28748,28807,HERMIONE,hermione,Leontes,NN,leont,30718,,(27)
qd,vn2c.0,28748,28807,HERMIONE,hermione,",","$,",--,30718,,
