corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vn7q.0,591,612,_Stage,_Stage,Venedig,NE,venedig,32469,,
qd,vn7q.0,591,612,_Stage,_Stage,.,$.,--,32469,,
qd,vn7q.0,591,612,_Stage,_Stage,Eine,ART,ein,32469,,
qd,vn7q.0,591,612,_Stage,_Stage,Straße,NN,straße,32469,,
qd,vn7q.0,591,612,_Stage,_Stage,.,$.,--,32469,,
qd,vn7q.0,616,647,_Stage,_Stage,Es,PPER,es,32469,,
qd,vn7q.0,616,647,_Stage,_Stage,treten,VVFIN,treten,32469,,
qd,vn7q.0,616,647,_Stage,_Stage,auf,APPR,auf,32469,,
qd,vn7q.0,616,647,_Stage,_Stage,Rodrigo,NE,rodrigo,32469,,(22)
qd,vn7q.0,616,647,_Stage,_Stage,und,KON,und,32469,,
qd,vn7q.0,616,647,_Stage,_Stage,Jago,NE,jago,32469,,(15)
qd,vn7q.0,616,647,_Stage,_Stage,.,$.,--,32469,,
qd,vn7q.0,4437,4463,JAGO,jago,Brabantio,NE,brabantio,32469,,(3)
qd,vn7q.0,4437,4463,JAGO,jago,oben,ADV,oben,32469,,
qd,vn7q.0,4437,4463,JAGO,jago,am,APPRART,an,32469,,
qd,vn7q.0,4437,4463,JAGO,jago,Fenster,NN,fenster,32469,,
qd,vn7q.0,4437,4463,JAGO,jago,.,$.,--,32469,,
qd,vn7q.0,7632,7640,BRABANTIO,brabantio,Geht,VVFIN,gehen,32469,,
qd,vn7q.0,7632,7640,BRABANTIO,brabantio,ab,PTKVZ,ab,32469,,
qd,vn7q.0,7632,7640,BRABANTIO,brabantio,.,$.,--,32469,,
qd,vn7q.0,8398,8411,JAGO,jago,Jago,NE,jago,32469,,(15)
qd,vn7q.0,8398,8411,JAGO,jago,geht,VVFIN,gehen,32469,,
qd,vn7q.0,8398,8411,JAGO,jago,ab,PTKVZ,ab,32469,,
qd,vn7q.0,8398,8411,JAGO,jago,.,$.,--,32469,,
qd,vn7q.0,8415,8459,JAGO,jago,Brabantio,NE,brabantio,32469,,(3)
qd,vn7q.0,8415,8459,JAGO,jago,tritt,VVFIN,treten,32469,,
qd,vn7q.0,8415,8459,JAGO,jago,auf,APPR,auf,32469,,
