corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vnbs.0,953,970,HERZOG,herzog,Escalus,NE,escalus,26715,,
qd,vnbs.0,953,970,HERZOG,herzog,–,XY,–,26715,,
qd,vnbs.0,975,997,ESCALUS,escalus,Mein,PPOSAT,mein,26715,escalus,(9)
qd,vnbs.0,975,997,ESCALUS,escalus,Fürst,NN,fürst,26715,,
qd,vnbs.0,975,997,ESCALUS,escalus,?,$.,--,26715,,
qd,vnbs.0,975,997,ESCALUS,escalus,–,XY,–,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Das,ART,der,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Wesen,NN,wesen,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,der,ART,der,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Regierung,NN,regierung,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,zu,PTKZU,zu,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,entfalten,VVINF,entfalten,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,",","$,",--,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Erschien,NE,erschien,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,',$[,--,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,in,APPR,in,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,mir,PPER,sich,26715,herzog,(12)
qd,vnbs.0,1002,1845,HERZOG,herzog,als,APPR,als,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Lust,NN,lust,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,an,APPR,an,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,eitler,ADJA,eitel,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Rede,NN,rede,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,",","$,",--,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Weil,KOUS,weil,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,mir,PPER,sich,26715,herzog,(12)
qd,vnbs.0,1002,1845,HERZOG,herzog,bewußt,ADJD,bewußt,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,",","$,",--,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,daß,KOUS,daß,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Eure,NN,euer,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,eigne,ADJA,eign,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Kenntnis,NN,kenntnis,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Die,ART,der,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Summe,NN,summe,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,alles,PIS,alle,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Rates,NN,rat,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,überschreitet,VVFIN,überschreiten,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,",","$,",--,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Den,ART,den,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,meine,PPOSAT,mein,26715,herzog,(12)
qd,vnbs.0,1002,1845,HERZOG,herzog,Macht,NN,macht,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Euch,PPER,euch,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,böte,VVFIN,böten,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,.,$.,--,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Nehmt,VVFIN,nehmen,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,sie,PPER,sie,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,denn,ADV,denn,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,",","$,",--,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Wie,PWAV,wie,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Euer,NE,euer,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Edelsinn,NE,edelsinn,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,und,KON,und,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Wert,NN,wert,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,verdient,VVPP,verdienen,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,",","$,",--,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Und,KON,und,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,laßt,VVFIN,lassen,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,sie,PPER,sie,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,wirken,VVFIN,wirken,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,.,$.,--,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Unsers,NE,unser,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Volkes,NN,volk,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Art,NN,Art,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,",","$,",--,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Der,ART,der,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Stadt,NN,stadt,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,Gesetze,NN,gesetz,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,wie,KOKOM,wie,26715,,
qd,vnbs.0,1002,1845,HERZOG,herzog,des,ART,der,26715,,
