corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,vrcn.0,6480,6801,elsabe,6529,6532,Ich,elsabe
qd,vrcn.0,6836,7173,elsabe,7052,7055,mir,elsabe
qd,vrcn.0,10364,11072,hugo,10658,10661,ich,hugo
qd,vrcn.0,10364,11072,hugo,10665,10671,meiner,hugo
qd,vrcn.0,10364,11072,hugo,10712,10715,ich,hugo
qd,vrcn.0,10364,11072,hugo,10719,10725,meiner,hugo
qd,vrcn.0,10364,11072,hugo,10771,10775,mich,hugo
qd,vrcn.0,10364,11072,hugo,10783,10786,Ich,hugo
qd,vrcn.0,10364,11072,hugo,10827,10830,Ich,hugo
qd,vrcn.0,10364,11072,hugo,10890,10894,mein,hugo
qd,vrcn.0,10364,11072,hugo,10958,10961,Ich,hugo
qd,vrcn.0,10364,11072,hugo,11026,11030,mich,hugo
qd,vrcn.0,10364,11072,hugo,11034,11037,Ich,hugo
qd,vrcn.0,12429,12483,willem_wütend,12438,12441,Ich,willem_wütend
qd,vrcn.0,15991,16034,hugo,15998,16001,Ich,hugo
qd,vrcn.0,19256,19547,willem_wütend,19474,19477,Ich,willem_wütend
qd,vrcn.0,20152,20285,elsabe,20172,20175,Ich,elsabe
qd,vrcn.0,25526,25617,mudder,25556,25559,Ich,mudder
qd,vrcn.0,25899,26061,lisbeth,25961,25966,meine,lisbeth
qd,vrcn.0,27113,27233,elsabe,27197,27200,Ich,elsabe
qd,vrcn.0,27238,27593,lisbeth,27402,27406,mich,lisbeth
qd,vrcn.0,27238,27593,lisbeth,27408,27411,Ich,lisbeth
qd,vrcn.0,27663,27709,lisbeth,27689,27692,ich,lisbeth
qd,vrcn.0,28901,28974,lisbeth,28916,28920,mein,lisbeth
qd,vrcn.0,29098,29296,lisbeth,29124,29127,ich,lisbeth
qd,vrcn.0,29098,29296,lisbeth,29261,29264,ich,lisbeth
qd,vrcn.0,30883,31104,lisbeth,30893,30896,Ich,lisbeth
qd,vrcn.0,30883,31104,lisbeth,30926,30929,ich,lisbeth
qd,vrcn.0,30883,31104,lisbeth,31062,31065,ich,lisbeth
qd,vrcn.0,32243,32418,lisbeth,32374,32377,mir,lisbeth
qd,vrcn.0,32973,33100,willem_wütend,33087,33091,mein,willem_wütend
qd,vrcn.0,33541,33586,lisbeth,33582,33585,ich,lisbeth
qd,vrcn.0,33925,34044,lisbeth,33986,33990,Mein,lisbeth
qd,vrcn.0,33925,34044,lisbeth,34009,34012,ich,lisbeth
qd,vrcn.0,33925,34044,lisbeth,34033,34036,ich,lisbeth
qd,vrcn.0,34786,34821,lisbeth,34803,34807,Mein,lisbeth
qd,vrcn.0,34826,34925,mudder,34835,34839,Mein,mudder
qd,vrcn.0,34826,34925,mudder,34846,34850,Mein,mudder
qd,vrcn.0,35343,35516,mudder,35419,35423,Mein,mudder
qd,vrcn.0,35343,35516,mudder,35440,35444,mein,mudder
qd,vrcn.0,44856,44923,mudder,44874,44877,ich,mudder
qd,vrcn.0,59440,59555,mudder,59453,59457,mein,mudder
qd,vrcn.0,60218,60339,elsabe,60256,60260,mein,elsabe
qd,vrcn.0,63007,63256,willem_wütend,63073,63076,ich,willem_wütend
qd,vrcn.0,68774,68866,willem_wütend,68818,68821,mir,willem_wütend
qd,vrcn.0,69517,69682,hugo,69601,69605,mein,hugo
qd,vrcn.0,69775,69927,hugo,69846,69850,mein,hugo
qd,vrcn.0,70006,70159,hugo,70078,70082,mein,hugo
qd,vrcn.0,72603,72634,willem_wütend,72612,72616,Mein,willem_wütend
qd,vrcn.0,73628,73719,elsabe,73678,73682,mich,elsabe
qd,vrcn.0,73829,73928,elsabe,73862,73865,mir,elsabe
qd,vrcn.0,73829,73928,elsabe,73884,73887,Ich,elsabe
qd,vrcn.0,86654,86907,lisbeth,86693,86696,ich,lisbeth
qd,vrcn.0,86654,86907,lisbeth,86763,86766,Ich,lisbeth
qd,vrcn.0,86941,87100,lisbeth,86956,86960,mein,lisbeth
qd,vrcn.0,86941,87100,lisbeth,87041,87044,ich,lisbeth
qd,vrcn.0,87326,87770,lisbeth,87340,87343,ich,lisbeth
qd,vrcn.0,87326,87770,lisbeth,87422,87425,ich,lisbeth
qd,vrcn.0,87326,87770,lisbeth,87448,87451,Ich,lisbeth
qd,vrcn.0,87326,87770,lisbeth,87560,87563,ich,lisbeth
qd,vrcn.0,87797,88323,lisbeth,88148,88151,ich,lisbeth
qd,vrcn.0,88540,89156,lisbeth,88613,88616,ich,lisbeth
qd,vrcn.0,88540,89156,lisbeth,88629,88632,Ich,lisbeth
qd,vrcn.0,88540,89156,lisbeth,88674,88677,mir,lisbeth
qd,vrcn.0,88540,89156,lisbeth,88712,88715,ich,lisbeth
qd,vrcn.0,88540,89156,lisbeth,88746,88749,ich,lisbeth
qd,vrcn.0,88540,89156,lisbeth,88831,88834,mir,lisbeth
qd,vrcn.0,88540,89156,lisbeth,88987,88991,mein,lisbeth
qd,vrcn.0,88540,89156,lisbeth,89005,89008,Ich,lisbeth
qd,vrcn.0,89309,89561,lisbeth,89319,89322,Ich,lisbeth
qd,vrcn.0,89309,89561,lisbeth,89363,89367,Mein,lisbeth
qd,vrcn.0,89765,89805,lisbeth,89797,89800,ich,lisbeth
qd,vrcn.0,90338,90619,lisbeth,90398,90401,Ich,lisbeth
qd,vrcn.0,91054,91090,lisbeth,91067,91070,ich,lisbeth
qd,vrcn.0,91177,91290,lisbeth,91218,91221,ich,lisbeth
qd,vrcn.0,91341,91541,lisbeth,91472,91475,ich,lisbeth
qd,vrcn.0,94970,95399,willem_wütend,95044,95047,mir,willem_wütend
qd,vrcn.0,96755,96783,elsabe,96764,96767,Ich,elsabe
qd,vrcn.0,97292,98306,willem_wütend,98046,98049,ich,willem_wütend
qd,vrcn.0,104993,105503,mudder,105027,105030,ich,mudder
