corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,w40m.0,1202,1610,LYKON,lykon,Nun,ADV,nun,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,ich,PPER,ich,24942,LYKON,lykon
qd,w40m.0,1202,1610,LYKON,lykon,dich,PRF,dich,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,rufe,VVFIN,rufen,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,",","$,",--,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,Schlaf,NN,schlaf,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,",","$,",--,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,enteilst,VVFIN,enteilen,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,du,PPER,du,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,mir,PPER,sich,24942,LYKON,lykon
qd,w40m.0,1202,1610,LYKON,lykon,?,$.,--,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,So,ADV,so,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,will,VMFIN,wollen,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,ich,PPER,ich,24942,LYKON,lykon
qd,w40m.0,1202,1610,LYKON,lykon,denn,ADV,denn,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,die,ART,der,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,halbgelösten,ADJA,halbgelöst,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,Glieder,NN,glied,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,Zu,APPR,zu,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,neuem,ADJA,neu,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,Wollen,NN,wolle,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,straffen,VVFIN,straffen,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,.,$.,--,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,–,XY,–,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,Hier,ADV,hier,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,ist,VAFIN,sein,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,Wein,NN,wein,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,"!",$.,--,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,Du,PPER,du,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,Wachmann,NN,wachmann,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,dort,ADV,dort,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,"!",$.,--,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,Falls,KOUS,falls,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,Arratos,NE,arrato,24942,ARRATOS,arratos
qd,w40m.0,1202,1610,LYKON,lykon,nicht,PTKNEG,nicht,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,schläft,VVFIN,schlafen,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,–,XY,–,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,–,XY,–,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,Ich,PPER,ich,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,glaub,VVFIN,glaub,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,',$[,--,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,es,PPER,es,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,fast,ADV,fast,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,–,XY,–,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,auf,APPR,auf,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,seiner,PPOSAT,sein,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,Treue,NN,treue,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,lastet,VVFIN,lasten,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,Entscheidungsnot,NN,entscheidungsnot,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,–,XY,–,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,so,ADV,so,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,sag,VVIMP,sag,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,ihm,PPER,ihm,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,",","$,",--,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,euer,ADJA,euer,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,Feldherr,NN,feldherr,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,Begehre,NN,begehre,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,sein,VAINF,sein,24942,,
qd,w40m.0,1202,1610,LYKON,lykon,.,$.,--,24942,,
qd,w40m.0,1616,1702,DER ZELTWÄCHTER,der_zeltwächter,Herr,NN,herr,24942,,
qd,w40m.0,1616,1702,DER ZELTWÄCHTER,der_zeltwächter,",","$,",--,24942,,
qd,w40m.0,1616,1702,DER ZELTWÄCHTER,der_zeltwächter,Arratos,NE,arrato,24942,ARRATOS,arratos
qd,w40m.0,1616,1702,DER ZELTWÄCHTER,der_zeltwächter,steht,VVFIN,stehen,24942,,
qd,w40m.0,1616,1702,DER ZELTWÄCHTER,der_zeltwächter,dort,ADV,dort,24942,,
qd,w40m.0,1616,1702,DER ZELTWÄCHTER,der_zeltwächter,Und,KON,und,24942,,
qd,w40m.0,1616,1702,DER ZELTWÄCHTER,der_zeltwächter,steht,VVFIN,stehen,24942,,
qd,w40m.0,1616,1702,DER ZELTWÄCHTER,der_zeltwächter,seit,APPR,seit,24942,,
qd,w40m.0,1616,1702,DER ZELTWÄCHTER,der_zeltwächter,einer,ART,ein,24942,,
qd,w40m.0,1616,1702,DER ZELTWÄCHTER,der_zeltwächter,Stunde,NN,stunde,24942,,
qd,w40m.0,1616,1702,DER ZELTWÄCHTER,der_zeltwächter,–,CARD,–,24942,,
qd,w40m.0,1616,1702,DER ZELTWÄCHTER,der_zeltwächter,rufgewärtig,ADJD,rufgewärtig,24942,,
qd,w40m.0,1616,1702,DER ZELTWÄCHTER,der_zeltwächter,.,$.,--,24942,,
qd,w40m.0,1708,1796,LYKON,lykon,Komm,VVIMP,komm,24942,,
qd,w40m.0,1708,1796,LYKON,lykon,her,PTKVZ,her,24942,,
