corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,wznj.0,851,963,MARIANEL,marianel,Sie,PPER,sie,27931,,
qd,wznj.0,851,963,MARIANEL,marianel,haben,VAFIN,haben,27931,,
qd,wznj.0,851,963,MARIANEL,marianel,schon,ADV,schon,27931,,
qd,wznj.0,851,963,MARIANEL,marianel,befohlen,VVPP,befehlen,27931,,
qd,wznj.0,851,963,MARIANEL,marianel,?,$.,--,27931,,
qd,wznj.0,968,1053,FRAU HUMBRECHT,frau_humbrecht,Herr,NN,herr,27931,,
qd,wznj.0,968,1053,FRAU HUMBRECHT,frau_humbrecht,Hauptmann,NE,hauptmann,27931,,
qd,wznj.0,968,1053,FRAU HUMBRECHT,frau_humbrecht,"!",$.,--,27931,,
qd,wznj.0,968,1053,FRAU HUMBRECHT,frau_humbrecht,Sie,PPER,sie,27931,,
qd,wznj.0,968,1053,FRAU HUMBRECHT,frau_humbrecht,stehn,VVFIN,stehn,27931,,
qd,wznj.0,968,1053,FRAU HUMBRECHT,frau_humbrecht,mir,PPER,sich,27931,frau_humbrecht,(1)
qd,wznj.0,968,1053,FRAU HUMBRECHT,frau_humbrecht,doch,ADV,doch,27931,,
qd,wznj.0,968,1053,FRAU HUMBRECHT,frau_humbrecht,–,ADV,–,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,Für,APPR,für,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,alles,PIS,alle,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,",","$,",--,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,liebe,VVFIN,lieb,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,Frau,NN,frau,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,Humbrecht,NE,humbrecht,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,"!",$.,--,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,für,APPR,für,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,alles,PIS,alle,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,"!",$.,--,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,–,XY,–,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,Ein,ART,ein,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,Mäulchen,NN,mäulchen,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,",","$,",--,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,Kleine,ADJA,kleine,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,;,$.,--,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,das,PDS,der,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,ist,VAFIN,sein,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,Ballrecht,NN,ballrecht,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,:,$.,--,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,sei,VAFIN,sein,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,doch,ADV,doch,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,nicht,PTKNEG,nicht,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,so,ADV,so,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,kleinstädtisch,ADJD,kleinstädtisch,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,;,$.,--,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,ein,ART,ein,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,Mäulchen,NN,mäulchen,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,"!",$.,--,27931,,
qd,wznj.0,1058,1401,VON GRÖNINGSECK,von_gröningseck,sag,VVIMP,sögen,27931,,
