corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,wzph.0,204,228,_Stage,_Stage,Vorspiel,NE,vorspiel,12214,,
qd,wzph.0,204,228,_Stage,_Stage,und,KON,und,12214,,
qd,wzph.0,204,228,_Stage,_Stage,Erste,ADJA,erster,12214,,
qd,wzph.0,204,228,_Stage,_Stage,Szene,NN,szene,12214,,
qd,wzph.0,231,255,_Stage,_Stage,In,APPR,in,12214,,
qd,wzph.0,231,255,_Stage,_Stage,der,ART,der,12214,,
qd,wzph.0,231,255,_Stage,_Stage,Tiefe,NN,tiefe,12214,,
qd,wzph.0,231,255,_Stage,_Stage,des,ART,der,12214,,
qd,wzph.0,231,255,_Stage,_Stage,Rheines,NN,rheine,12214,,
qd,wzph.0,258,270,_Stage,_Stage,Zweite,ADJA,zweiter,12214,,
qd,wzph.0,258,270,_Stage,_Stage,Szene,NN,szene,12214,,
qd,wzph.0,273,301,_Stage,_Stage,Freie,ADJA,frei,12214,,
qd,wzph.0,273,301,_Stage,_Stage,Gegend,NN,gegend,12214,,
qd,wzph.0,273,301,_Stage,_Stage,auf,APPR,auf,12214,,
qd,wzph.0,273,301,_Stage,_Stage,Bergeshöhen,NN,bergeshöh,12214,,
qd,wzph.0,304,316,_Stage,_Stage,Dritte,ADJA,dritter,12214,,
qd,wzph.0,304,316,_Stage,_Stage,Szene,NN,szene,12214,,
qd,wzph.0,319,328,_Stage,_Stage,Nibelheim,NE,nibelheim,12214,,
qd,wzph.0,331,343,_Stage,_Stage,Vierte,VVFIN,vierter,12214,,
qd,wzph.0,331,343,_Stage,_Stage,Szene,NN,szene,12214,,
qd,wzph.0,346,374,_Stage,_Stage,Freie,ADJA,frei,12214,,
qd,wzph.0,346,374,_Stage,_Stage,Gegend,NN,gegend,12214,,
qd,wzph.0,346,374,_Stage,_Stage,auf,APPR,auf,12214,,
qd,wzph.0,346,374,_Stage,_Stage,Bergeshöhen,NN,bergeshöh,12214,,
qd,wzph.0,669,1330,_Stage,_Stage,Grünliche,ADJA,grünlich,12214,,
qd,wzph.0,669,1330,_Stage,_Stage,Dämmerung,NN,dämmerung,12214,,
qd,wzph.0,669,1330,_Stage,_Stage,",","$,",--,12214,,
qd,wzph.0,669,1330,_Stage,_Stage,nach,APPR,nach,12214,,
qd,wzph.0,669,1330,_Stage,_Stage,oben,ADV,oben,12214,,
qd,wzph.0,669,1330,_Stage,_Stage,zu,PTKZU,zu,12214,,
