corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,wzph.0,1562,1685,WOGLINDE,woglinde,Weia,NE,weia,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,"!",$.,--,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,Waga,NE,waga,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,"!",$.,--,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,Woge,NN,woge,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,",","$,",--,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,du,PPER,du,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,Welle,NN,welle,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,",","$,",--,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,walle,PWAV,wallen,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,zur,APPRART,zu,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,Wiege,NN,wiege,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,"!",$.,--,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,wagala,PWAV,wagala,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,weia,ITJ,weia,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,"!",$.,--,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,wallala,NE,wallala,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,weiala,NE,weiala,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,weia,NE,weia,12214,,
qd,wzph.0,1562,1685,WOGLINDE,woglinde,"!",$.,--,12214,,
qd,wzph.0,1691,1748,WELLGUNDES STIMME,wellgundes_stimme,Woglinde,NN,woglinde,12214,,
qd,wzph.0,1691,1748,WELLGUNDES STIMME,wellgundes_stimme,",","$,",--,12214,,
