corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,Hört,NE,hören,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,"!",$.,--,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,Grafen,NN,grafe,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,",","$,",--,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,Edle,NN,edel,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,",","$,",--,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,Freie,ADJA,freie,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,von,APPR,von,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,Brabant,NN,brabant,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,"!",$.,--,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,Heinrich,NE,heinrich,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,",","$,",--,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,der,ART,der,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,Deutschen,ADJA,deutsch,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,König,NN,könig,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,",","$,",--,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,kam,VVFIN,kommen,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,zur,APPRART,zu,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,Statt,KOUI,statt,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,",","$,",--,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,mit,APPR,mit,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,euch,PPER,euch,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,zu,APPR,zu,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,dingen,ADJA,dingen,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,nach,APPR,nach,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,des,ART,der,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,Reiches,NN,reich,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,Recht,NN,recht,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,.,$.,--,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,Gebt,NE,geben,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,ihr,PPOSAT,ihr,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,nun,ADV,nun,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,Fried,NE,Fried,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,',$[,--,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,und,KON,und,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,Folge,NN,folge,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,dem,ART,der,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,Gebot,NN,gebot,13897,,
qd,wzpz.0,919,1106,DER HEERRUFER,der_heerrufer,?,$.,--,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,Wir,PPER,wir,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,geben,VVFIN,geben,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,Fried,NE,Fried,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,',$[,--,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,und,KON,und,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,Folge,NN,folge,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,dem,ART,der,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,Gebot,NN,gebot,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,.,$.,--,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,Willkommen,NN,willkommen,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,",","$,",--,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,willkommen,ADJD,willkommen,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,",","$,",--,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,König,NN,könig,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,",","$,",--,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,in,APPR,in,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,Brabant,NE,brabant,13897,,
qd,wzpz.0,1112,1260,DIE BRABANTER,die_brabanter,"!",$.,--,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,Gott,NN,gott,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,grüß,ADJD,grüß,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,euch,PRF,euch,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,",","$,",--,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,liebe,VVFIN,lieb,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,Männer,NN,mann,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,von,APPR,von,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,Brabant,NN,brabant,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,"!",$.,--,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,Nicht,PTKNEG,nicht,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,müßig,ADJD,müßig,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,tat,VVFIN,taten,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,zu,APPR,zu,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,euch,PPER,euch,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,ich,PPER,ich,13897,könig_heinrich,(2)
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,diese,PDAT,dieser,13897,,
qd,wzpz.0,1265,2192,KÖNIG,könig_heinrich,Fahrt,NN,fahrt,13897,,
