corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,x4vx.0,676,690,_Stage,_Stage,Opku,NE,opku,19432,,
qd,x4vx.0,676,690,_Stage,_Stage,.,$.,--,19432,,
qd,x4vx.0,676,690,_Stage,_Stage,Goffier,NE,goffier,19432,,
qd,x4vx.0,676,690,_Stage,_Stage,.,$.,--,19432,,
qd,x4vx.0,702,712,GOFFIER,goffier,tritt,VVFIN,treten,19432,,
qd,x4vx.0,702,712,GOFFIER,goffier,ein,PTKVZ,ein,19432,,
qd,x4vx.0,702,712,GOFFIER,goffier,.,$.,--,19432,,
qd,x4vx.0,911,928,GOFFIER,goffier,nach,APPR,nach,19432,,
qd,x4vx.0,911,928,GOFFIER,goffier,einer,ART,ein,19432,,
qd,x4vx.0,911,928,GOFFIER,goffier,Pause,NN,pause,19432,,
qd,x4vx.0,911,928,GOFFIER,goffier,.,$.,--,19432,,
qd,x4vx.0,1303,1312,OPKU,opku,schwacher,ADJA,schwach,19432,,
qd,x4vx.0,1561,1575,OPKU,opku,reden,VVINF,reden,19432,,
qd,x4vx.0,1561,1575,OPKU,opku,",","$,",--,19432,,
qd,x4vx.0,1561,1575,OPKU,opku,rathen,VVFIN,rathen,19432,,
qd,x4vx.0,1561,1575,OPKU,opku,",","$,",--,19432,,
qd,x4vx.0,1661,1663,OPKU,opku,ja,ADV,ja,19432,,
qd,x4vx.0,1668,1673,OPKU,opku,nein,PTKANT,nein,19432,,
qd,x4vx.0,1668,1673,OPKU,opku,.,$.,--,19432,,
qd,x4vx.0,1678,1693,OPKU,opku,Fährt,NE,fährt,19432,,
qd,x4vx.0,1678,1693,OPKU,opku,zusammen,PTKVZ,zusammen,19432,,
qd,x4vx.0,1678,1693,OPKU,opku,.,$.,--,19432,,
qd,x4vx.0,1841,1865,_Stage,_Stage,Dessalines,NE,dessalines,19432,,
qd,x4vx.0,1841,1865,_Stage,_Stage,",","$,",--,19432,,
qd,x4vx.0,1841,1865,_Stage,_Stage,die,ART,der,19432,,
qd,x4vx.0,1841,1865,_Stage,_Stage,Vorigen,NN,vorige,19432,,
qd,x4vx.0,1841,1865,_Stage,_Stage,.,$.,--,19432,,
qd,x4vx.0,1880,1901,DESSALINES,dessalines,noch,ADV,noch,19432,,
qd,x4vx.0,1880,1901,DESSALINES,dessalines,unter,APPR,unter,19432,,
qd,x4vx.0,1880,1901,DESSALINES,dessalines,der,ART,der,19432,,
qd,x4vx.0,1880,1901,DESSALINES,dessalines,Thüre,NN,thüre,19432,,
qd,x4vx.0,1880,1901,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,1952,1970,DESSALINES,dessalines,Zu,APPR,zu,19432,,
qd,x4vx.0,1952,1970,DESSALINES,dessalines,den,ART,der,19432,,
qd,x4vx.0,1952,1970,DESSALINES,dessalines,Offizieren,NN,offizier,19432,,
qd,x4vx.0,1952,1970,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,2213,2221,GOFFIER,goffier,schnell,ADJD,schnell,19432,,
qd,x4vx.0,2213,2221,GOFFIER,goffier,.,$.,--,19432,,
qd,x4vx.0,2257,2265,DESSALINES,dessalines,zu,PTKZU,zu,19432,,
qd,x4vx.0,2257,2265,DESSALINES,dessalines,Opku,VVINF,opku,19432,,
qd,x4vx.0,2257,2265,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,2512,2522,GOFFIER,goffier,mit,APPR,mit,19432,,
qd,x4vx.0,2512,2522,GOFFIER,goffier,Feuer,NN,feuer,19432,,
qd,x4vx.0,2512,2522,GOFFIER,goffier,.,$.,--,19432,,
qd,x4vx.0,2900,2904,DESSALINES,dessalines,Volk,NN,volk,19432,,
qd,x4vx.0,3232,3240,OPKU,opku,geht,VVFIN,gehen,19432,,
qd,x4vx.0,3232,3240,OPKU,opku,ab,PTKVZ,ab,19432,,
qd,x4vx.0,3232,3240,OPKU,opku,.,$.,--,19432,,
qd,x4vx.0,3254,3267,GOFFIER,goffier,schmeichelnd,ADJD,schmeichelnd,19432,,
qd,x4vx.0,3254,3267,GOFFIER,goffier,.,$.,--,19432,,
qd,x4vx.0,3995,4008,OPKU,opku,kömmt,VVFIN,kömmen,19432,,
qd,x4vx.0,3995,4008,OPKU,opku,zurück,PTKVZ,zurück,19432,,
qd,x4vx.0,3995,4008,OPKU,opku,.,$.,--,19432,,
qd,x4vx.0,4169,4172,OPKU,opku,ab,PTKVZ,ab,19432,,
qd,x4vx.0,4169,4172,OPKU,opku,.,$.,--,19432,,
qd,x4vx.0,4505,4534,_Stage,_Stage,Die,ART,der,19432,,
qd,x4vx.0,4505,4534,_Stage,_Stage,Vorigen,NN,vorige,19432,,
qd,x4vx.0,4505,4534,_Stage,_Stage,",","$,",--,19432,,
qd,x4vx.0,4505,4534,_Stage,_Stage,Opku,NE,opku,19432,,
qd,x4vx.0,4505,4534,_Stage,_Stage,mit,APPR,mit,19432,,
qd,x4vx.0,4505,4534,_Stage,_Stage,Walter,NE,walter,19432,,
qd,x4vx.0,4505,4534,_Stage,_Stage,.,$.,--,19432,,
qd,x4vx.0,4602,4607,WALTER,walter,kalt,ADJD,kalt,19432,,
qd,x4vx.0,4602,4607,WALTER,walter,.,$.,--,19432,,
qd,x4vx.0,4645,4651,DESSALINES,dessalines,stolz,ADJD,stolz,19432,,
qd,x4vx.0,4645,4651,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,4789,4796,DESSALINES,dessalines,heftig,ADJD,heftig,19432,,
qd,x4vx.0,4789,4796,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,4906,4948,DESSALINES,dessalines,Die,ART,der,19432,,
qd,x4vx.0,4906,4948,DESSALINES,dessalines,Offiziere,NN,offizier,19432,,
qd,x4vx.0,4906,4948,DESSALINES,dessalines,treten,VVFIN,treten,19432,,
qd,x4vx.0,4906,4948,DESSALINES,dessalines,vor,PTKVZ,vor,19432,,
qd,x4vx.0,4906,4948,DESSALINES,dessalines,",","$,",--,19432,,
qd,x4vx.0,4906,4948,DESSALINES,dessalines,und,KON,und,19432,,
qd,x4vx.0,4906,4948,DESSALINES,dessalines,umgeben,VVPP,umgeben,19432,,
qd,x4vx.0,4906,4948,DESSALINES,dessalines,ihn,PPER,ihn,19432,,
qd,x4vx.0,4906,4948,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,4996,5002,WALTER,walter,ruhig,ADJD,ruhig,19432,,
qd,x4vx.0,4996,5002,WALTER,walter,.,$.,--,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,geht,VVFIN,gehen,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,heftig,ADJD,heftig,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,auf,APPR,auf,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,ihn,PPER,ihn,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,zu,PTKVZ,zu,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,",","$,",--,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,dann,ADV,dann,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,bleibt,VVFIN,bleiben,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,er,PPER,er,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,vor,APPR,vor,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,ihm,PPER,ihm,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,stehen,VVFIN,stehen,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,",","$,",--,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,und,KON,und,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,sieht,VVFIN,sehen,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,ihn,PPER,ihn,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,an,PTKVZ,an,19432,,
qd,x4vx.0,5235,5307,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,5702,5708,WALTER,walter,stolz,ADJD,stolz,19432,,
qd,x4vx.0,5702,5708,WALTER,walter,.,$.,--,19432,,
qd,x4vx.0,6019,6024,WALTER,walter,keck,ADJD,keck,19432,,
qd,x4vx.0,6019,6024,WALTER,walter,.,$.,--,19432,,
qd,x4vx.0,6029,6034,WALTER,walter,jedem,PIDAT,jeder,19432,,
qd,x4vx.0,6067,6072,DESSALINES,dessalines,Einen,ART,ein,19432,,
qd,x4vx.0,6083,6091,DESSALINES,dessalines,Zu,PTKZU,zu,19432,,
qd,x4vx.0,6083,6091,DESSALINES,dessalines,Opku,VVINF,opku,19432,,
qd,x4vx.0,6083,6091,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,6137,6147,DESSALINES,dessalines,Zu,APPR,zu,19432,,
qd,x4vx.0,6137,6147,DESSALINES,dessalines,Walter,NE,walter,19432,,
qd,x4vx.0,6137,6147,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,6386,6395,WALTER,walter,lächelnd,ADJD,lächelnd,19432,,
qd,x4vx.0,6386,6395,WALTER,walter,.,$.,--,19432,,
qd,x4vx.0,6661,6672,DESSALINES,dessalines,Sinnt,NE,sinnen,19432,,
qd,x4vx.0,6661,6672,DESSALINES,dessalines,nach,PTKVZ,nach,19432,,
qd,x4vx.0,6661,6672,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,6790,6797,DESSALINES,dessalines,heftig,ADJD,heftig,19432,,
qd,x4vx.0,6790,6797,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,6809,6814,DESSALINES,dessalines,kann,VMFIN,können,19432,,
qd,x4vx.0,6809,6814,DESSALINES,dessalines,",","$,",--,19432,,
qd,x4vx.0,6904,6914,WALTER,walter,Mit,APPR,mit,19432,,
qd,x4vx.0,6904,6914,WALTER,walter,Feuer,NN,feuer,19432,,
qd,x4vx.0,6904,6914,WALTER,walter,.,$.,--,19432,,
qd,x4vx.0,8378,8388,WALTER,walter,mit,APPR,mit,19432,,
qd,x4vx.0,8378,8388,WALTER,walter,Feuer,NN,feuer,19432,,
qd,x4vx.0,8378,8388,WALTER,walter,.,$.,--,19432,,
qd,x4vx.0,8665,8679,WALTER,walter,Geht,VVFIN,gehen,19432,,
qd,x4vx.0,8665,8679,WALTER,walter,stolz,ADJD,stolz,19432,,
qd,x4vx.0,8665,8679,WALTER,walter,ab,PTKVZ,ab,19432,,
qd,x4vx.0,8665,8679,WALTER,walter,.,$.,--,19432,,
qd,x4vx.0,8696,8722,DESSALINES,dessalines,ruft,VVFIN,rufen,19432,,
qd,x4vx.0,8696,8722,DESSALINES,dessalines,wüthend,ADJD,wüthend,19432,,
qd,x4vx.0,8696,8722,DESSALINES,dessalines,vor,APPR,vor,19432,,
qd,x4vx.0,8696,8722,DESSALINES,dessalines,die,ART,der,19432,,
qd,x4vx.0,8696,8722,DESSALINES,dessalines,Thür,NN,thür,19432,,
qd,x4vx.0,8696,8722,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,8870,8921,DESSALINES,dessalines,Einer,PIS,einer,19432,,
qd,x4vx.0,8870,8921,DESSALINES,dessalines,von,APPR,von,19432,,
qd,x4vx.0,8870,8921,DESSALINES,dessalines,der,ART,der,19432,,
qd,x4vx.0,8870,8921,DESSALINES,dessalines,Wache,NN,wache,19432,,
qd,x4vx.0,8870,8921,DESSALINES,dessalines,tritt,VVFIN,treten,19432,,
qd,x4vx.0,8870,8921,DESSALINES,dessalines,unter,APPR,unter,19432,,
qd,x4vx.0,8870,8921,DESSALINES,dessalines,die,ART,der,19432,,
qd,x4vx.0,8870,8921,DESSALINES,dessalines,Thüre,NN,thüre,19432,,
qd,x4vx.0,8870,8921,DESSALINES,dessalines,und,KON,und,19432,,
qd,x4vx.0,8870,8921,DESSALINES,dessalines,sagt,VVFIN,sagen,19432,,
qd,x4vx.0,8870,8921,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,9173,9193,DESSALINES,dessalines,Zu,APPR,zu,19432,,
qd,x4vx.0,9173,9193,DESSALINES,dessalines,Goffier,NN,goffier,19432,,
qd,x4vx.0,9173,9193,DESSALINES,dessalines,und,KON,und,19432,,
qd,x4vx.0,9173,9193,DESSALINES,dessalines,Opku,NE,opku,19432,,
qd,x4vx.0,9173,9193,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,9759,9791,_Stage,_Stage,Ein,ART,ein,19432,,
qd,x4vx.0,9759,9791,_Stage,_Stage,Offizier,NN,offizier,19432,,
qd,x4vx.0,9759,9791,_Stage,_Stage,bringt,VVFIN,bringen,19432,,
qd,x4vx.0,9759,9791,_Stage,_Stage,einen,ART,ein,19432,,
qd,x4vx.0,9759,9791,_Stage,_Stage,Brief,NN,brief,19432,,
qd,x4vx.0,9759,9791,_Stage,_Stage,.,$.,--,19432,,
qd,x4vx.0,9831,9834,OFFIZIER,offizier,Ab,APPR,ab,19432,,
qd,x4vx.0,9831,9834,OFFIZIER,offizier,.,$.,--,19432,,
qd,x4vx.0,9851,9869,DESSALINES,dessalines,öffnet,VVFIN,öffnen,19432,,
qd,x4vx.0,9851,9869,DESSALINES,dessalines,und,KON,und,19432,,
qd,x4vx.0,9851,9869,DESSALINES,dessalines,lies't,VVFIN,lies't,19432,,
qd,x4vx.0,9851,9869,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,10152,10159,DESSALINES,dessalines,gethan,ADJD,gethan,19432,,
qd,x4vx.0,10152,10159,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,10164,10175,DESSALINES,dessalines,Zu,PTKZU,zu,19432,,
qd,x4vx.0,10164,10175,DESSALINES,dessalines,Goffier,VVINF,goffier,19432,,
qd,x4vx.0,10164,10175,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,10217,10237,DESSALINES,dessalines,Goffier,NN,goffier,19432,,
qd,x4vx.0,10217,10237,DESSALINES,dessalines,ab,PTKVZ,ab,19432,,
qd,x4vx.0,10217,10237,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,10217,10237,DESSALINES,dessalines,Zu,PTKZU,zu,19432,,
qd,x4vx.0,10217,10237,DESSALINES,dessalines,Opku,VVINF,opku,19432,,
qd,x4vx.0,10217,10237,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,10452,10460,DESSALINES,dessalines,Opku,NE,opku,19432,,
qd,x4vx.0,10452,10460,DESSALINES,dessalines,ab,PTKVZ,ab,19432,,
qd,x4vx.0,10452,10460,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,10580,10589,DESSALINES,dessalines,herrsche,VVFIN,herrschen,19432,,
qd,x4vx.0,10580,10589,DESSALINES,dessalines,",","$,",--,19432,,
qd,x4vx.0,10614,10619,DESSALINES,dessalines,neben,APPR,neben,19432,,
qd,x4vx.0,10630,10640,DESSALINES,dessalines,über,APPR,über,19432,,
qd,x4vx.0,10630,10640,DESSALINES,dessalines,Dich,NE,dich,19432,,
qd,x4vx.0,10630,10640,DESSALINES,dessalines,",","$,",--,19432,,
qd,x4vx.0,10669,10673,DESSALINES,dessalines,Dein,PPOSAT,dein,19432,,
qd,x4vx.0,11089,11108,_Stage,_Stage,Diakue,NN,diakue,19432,,
qd,x4vx.0,11089,11108,_Stage,_Stage,",","$,",--,19432,,
qd,x4vx.0,11089,11108,_Stage,_Stage,Dessalines,NE,dessalines,19432,,
qd,x4vx.0,11089,11108,_Stage,_Stage,.,$.,--,19432,,
qd,x4vx.0,11802,11817,DIAKUE,diakue,sehr,ADV,sehr,19432,,
qd,x4vx.0,11802,11817,DIAKUE,diakue,betroffen,ADJD,betreffen,19432,,
qd,x4vx.0,11802,11817,DIAKUE,diakue,.,$.,--,19432,,
qd,x4vx.0,11897,11900,DESSALINES,dessalines,Dir,NE,dir,19432,,
qd,x4vx.0,12341,12357,DIAKUE,diakue,hat,VAFIN,haben,19432,,
qd,x4vx.0,12341,12357,DIAKUE,diakue,sich,PRF,sich,19432,,
qd,x4vx.0,12341,12357,DIAKUE,diakue,gefaßt,VVPP,fassen,19432,,
qd,x4vx.0,12341,12357,DIAKUE,diakue,.,$.,--,19432,,
qd,x4vx.0,12407,12414,DIAKUE,diakue,dieser,PDAT,dieser,19432,,
qd,x4vx.0,12407,12414,DIAKUE,diakue,",","$,",--,19432,,
qd,x4vx.0,12554,12561,DESSALINES,dessalines,zornig,PTKVZ,zornig,19432,,
qd,x4vx.0,12554,12561,DESSALINES,dessalines,.,$.,--,19432,,
qd,x4vx.0,13553,13562,DIAKUE,diakue,für,APPR,für,19432,,
qd,x4vx.0,13553,13562,DIAKUE,diakue,sich,PRF,sich,19432,,
qd,x4vx.0,13553,13562,DIAKUE,diakue,.,$.,--,19432,,
qd,x4vx.0,13709,13711,DIAKUE,diakue,Fr,NE,fr,19432,,
qd,x4vx.0,13718,13727,DIAKUE,diakue,Für,APPR,für,19432,,
qd,x4vx.0,13718,13727,DIAKUE,diakue,sich,PRF,sich,19432,,
qd,x4vx.0,13718,13727,DIAKUE,diakue,.,$.,--,19432,,
qd,x4vx.0,13869,13885,DIAKUE,diakue,hat,VAFIN,haben,19432,,
qd,x4vx.0,13869,13885,DIAKUE,diakue,sich,PRF,sich,19432,,
qd,x4vx.0,13869,13885,DIAKUE,diakue,gefaßt,VVPP,fassen,19432,,
