corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,x8nq.0,4208,4230,_Stage,_Stage,Hamatelliwa,NE,hamatelliwa,22806,,
qd,x8nq.0,4208,4230,_Stage,_Stage,.,$.,--,22806,,
qd,x8nq.0,4208,4230,_Stage,_Stage,Abdallah,NE,abdallah,22806,,
qd,x8nq.0,4208,4230,_Stage,_Stage,.,$.,--,22806,,
qd,x8nq.0,4246,4300,HAMATELLIWA,hamatelliwa,sitzt,VVFIN,sitzen,22806,,
qd,x8nq.0,4246,4300,HAMATELLIWA,hamatelliwa,an,APPR,an,22806,,
qd,x8nq.0,4246,4300,HAMATELLIWA,hamatelliwa,eine,PIS,einer,22806,,
qd,x8nq.0,4246,4300,HAMATELLIWA,hamatelliwa,der,ART,der,22806,,
qd,x8nq.0,4246,4300,HAMATELLIWA,hamatelliwa,Säulen,NN,säule,22806,,
qd,x8nq.0,4246,4300,HAMATELLIWA,hamatelliwa,der,ART,der,22806,,
qd,x8nq.0,4246,4300,HAMATELLIWA,hamatelliwa,Hinterwand,NN,hinterwand,22806,,
qd,x8nq.0,4246,4300,HAMATELLIWA,hamatelliwa,zurückgelehnt,VVPP,zurücklehnen,22806,,
qd,x8nq.0,4246,4300,HAMATELLIWA,hamatelliwa,.,$.,--,22806,,
qd,x8nq.0,4391,4439,ABDALLAH,abdallah,steht,VVFIN,stehen,22806,,
qd,x8nq.0,4391,4439,ABDALLAH,abdallah,hinter,APPR,hinter,22806,,
qd,x8nq.0,4391,4439,ABDALLAH,abdallah,ihr,PPOSAT,ihr,22806,,
qd,x8nq.0,4391,4439,ABDALLAH,abdallah,",","$,",--,22806,,
qd,x8nq.0,4391,4439,ABDALLAH,abdallah,düster,ADJD,düster,22806,,
qd,x8nq.0,4391,4439,ABDALLAH,abdallah,auf,APPR,auf,22806,,
qd,x8nq.0,4391,4439,ABDALLAH,abdallah,sie,PPER,sie,22806,,
qd,x8nq.0,4391,4439,ABDALLAH,abdallah,niederblickend,ADJD,niederblickend,22806,,
qd,x8nq.0,4391,4439,ABDALLAH,abdallah,.,$.,--,22806,,
qd,x8nq.0,4457,4482,HAMATELLIWA,hamatelliwa,ohne,APPR,ohne,22806,,
qd,x8nq.0,4457,4482,HAMATELLIWA,hamatelliwa,die,ART,der,22806,,
qd,x8nq.0,4457,4482,HAMATELLIWA,hamatelliwa,Augen,NN,auge,22806,,
qd,x8nq.0,4457,4482,HAMATELLIWA,hamatelliwa,zu,PTKZU,zu,22806,,
qd,x8nq.0,4457,4482,HAMATELLIWA,hamatelliwa,öffnen,VVINF,öffnen,22806,,
qd,x8nq.0,4457,4482,HAMATELLIWA,hamatelliwa,.,$.,--,22806,,
qd,x8nq.0,4551,4558,HAMATELLIWA,hamatelliwa,ebenso,ADV,ebenso,22806,,
qd,x8nq.0,4551,4558,HAMATELLIWA,hamatelliwa,.,$.,--,22806,,
qd,x8nq.0,4725,4732,HAMATELLIWA,hamatelliwa,ebenso,ADV,ebenso,22806,,
qd,x8nq.0,4725,4732,HAMATELLIWA,hamatelliwa,.,$.,--,22806,,
qd,x8nq.0,4860,4905,HAMATELLIWA,hamatelliwa,Sie,PPER,sie,22806,,
qd,x8nq.0,4860,4905,HAMATELLIWA,hamatelliwa,öffnet,VVFIN,öffnen,22806,,
qd,x8nq.0,4860,4905,HAMATELLIWA,hamatelliwa,die,ART,der,22806,,
qd,x8nq.0,4860,4905,HAMATELLIWA,hamatelliwa,Augen,NN,auge,22806,,
qd,x8nq.0,4860,4905,HAMATELLIWA,hamatelliwa,und,KON,und,22806,,
qd,x8nq.0,4860,4905,HAMATELLIWA,hamatelliwa,ergreift,VVFIN,ergreifen,22806,,
